,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Rafael Leão,17.0,pt POR,FW,21-260,45.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,3.0,4.0,75.0,0.0,3.0,1.0,0.0,0.0,32.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0,6.0,0.0,0.0,0.0,49.0,46.0,1.0,1.0,0.0,0.0,17.0,3.0,17.6,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
1,Zlatan Ibrahimović,11.0,se SWE,FW,39-145,45.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,40.0,2.0,0.0,1.0,0.0,0.1,0.1,0.4,4.0,0.0,23.0,33.0,69.7,6.0,24.0,6.0,0.0,0.0,344.0,163.0,10.0,12.0,83.3,8.0,12.0,66.7,2.0,5.0,40.0,1.0,0.0,5.0,0.0,30.0,3.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,7.0,6.0,4.0,20.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,16.0,25.0,3.0,37.0,0.0,0.0,0.0,133.0,85.0,3.0,1.0,1.0,0.0,47.0,32.0,68.1,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,3.0,62.5
2,Hakan Çalhanoğlu,10.0,tr TUR,LW,27-017,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,62.0,11.0,0.0,1.0,1.0,0.1,0.1,0.1,6.0,0.0,40.0,53.0,75.5,4.0,47.0,7.0,2.0,2.0,702.0,214.0,24.0,26.0,92.3,7.0,7.0,100.0,7.0,18.0,38.9,3.0,4.0,1.0,0.0,47.0,6.0,1.0,0.0,3.0,7.0,2.0,5.0,3.0,1.0,0.0,35.0,3.0,15.0,0.0,50.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.2,0.0,8.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,11.0,29.0,29.0,4.0,55.0,100.0,2.0,0.0,221.0,144.0,5.0,1.0,2.0,0.0,55.0,47.0,85.5,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
3,Samu Castillejo,7.0,es ESP,RW,26-038,65.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,10.0,0.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,19.0,20.0,95.0,2.0,14.0,1.0,1.0,2.0,387.0,67.0,7.0,7.0,100.0,7.0,8.0,87.5,4.0,4.0,100.0,2.0,1.0,0.0,0.0,18.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,14.0,4.0,2.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,40.0,2.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,16.0,11.0,0.0,27.0,50.0,1.0,0.0,81.0,46.0,1.0,0.0,1.0,2.0,25.0,15.0,60.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0
4,Alexis Saelemaekers,56.0,be BEL,RW,21-243,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,63.6,1.0,10.0,1.0,0.0,0.0,123.0,19.0,4.0,5.0,80.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.3,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,2.0,1.0,14.0,0.0,0.0,0.0,79.0,37.0,0.0,0.0,0.0,2.0,16.0,10.0,62.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
5,Rade Krunić,33.0,ba BIH,AM,27-141,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,1.0,6.0,9.0,66.7,0.0,13.0,2.0,0.0,0.0,159.0,38.0,2.0,4.0,50.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,1.0,16.0,0.0,0.0,0.0,56.0,17.0,0.0,1.0,3.0,0.0,16.0,12.0,75.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
6,Ante Rebić,12.0,hr CRO,AM,27-157,45.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0,8.0,0.0,0.0,1.0,0.7,0.7,0.0,0.0,0.0,11.0,22.0,50.0,3.0,22.0,5.0,1.0,1.0,210.0,49.0,6.0,9.0,66.7,4.0,6.0,66.7,1.0,1.0,100.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,8.0,13.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,19.0,10.0,28.0,100.0,1.0,0.0,104.0,67.0,0.0,3.0,2.0,1.0,32.0,24.0,75.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
7,Franck Kessié,79.0,ci CIV,CM,24-068,90.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,65.0,8.0,3.0,2.0,3.0,0.8,0.1,0.0,6.0,0.0,43.0,50.0,86.0,6.0,44.0,6.0,0.0,1.0,862.0,244.0,17.0,21.0,81.0,16.0,16.0,100.0,8.0,10.0,80.0,2.0,4.0,1.0,0.0,46.0,4.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,6.0,9.0,36.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,1.0,6.0,1.0,0.0,0.0,3.0,5.0,2.0,0.0,2.0,15.0,38.0,15.0,4.0,60.0,0.0,0.0,0.0,303.0,164.0,2.0,0.0,0.0,1.0,44.0,39.0,88.6,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,100.0
8,Soualiho Meïté,18.0,fr FRA,CM,26-345,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,18.0,2.0,3.0,6.0,0.0,0.0,0.3,1.0,0.0,34.0,46.0,73.9,2.0,35.0,1.0,0.0,0.0,477.0,135.0,21.0,22.0,95.5,12.0,16.0,75.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,44.0,2.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,8.0,6.0,32.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,3.0,16.7,9.0,7.0,2.0,0.0,0.0,6.0,5.0,1.0,0.0,1.0,14.0,39.0,8.0,0.0,55.0,0.0,0.0,0.0,118.0,57.0,0.0,0.0,0.0,0.0,30.0,27.0,90.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,16.0,5.0,6.0,45.5
9,Diogo Dalot,5.0,pt POR,"LB,RB",21-344,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,53.0,18.0,2.0,3.0,1.0,0.2,0.2,0.0,2.0,0.0,31.0,43.0,72.1,4.0,28.0,6.0,0.0,0.0,673.0,257.0,10.0,11.0,90.9,11.0,14.0,78.6,9.0,15.0,60.0,0.0,2.0,0.0,0.0,33.0,10.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,25.0,5.0,13.0,6.0,26.0,2.0,8.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,6.0,33.3,11.0,5.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,3.0,17.0,27.0,11.0,1.0,44.0,0.0,0.0,0.0,169.0,107.0,1.0,0.0,1.0,0.0,33.0,29.0,87.9,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
