,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Stéphane Bahoken,19.0,cm CMR,FW,28-115,73.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,20.0,8.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,9.0,15.0,60.0,0.0,12.0,2.0,0.0,1.0,116.0,8.0,5.0,6.0,83.3,3.0,5.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,2.0,16.0,0.0,0.0,0.0,37.0,13.0,0.0,1.0,3.0,0.0,35.0,14.0,40.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
1,Mohamed Ali Cho,21.0,fr FRA,LM,16-245,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,8.0,4.0,0.0,0.0,66.0,22.0,5.0,6.0,83.3,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,10.0,0.0,0.0,0.0,62.0,56.0,3.0,0.0,0.0,1.0,9.0,5.0,55.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2,Antonin Bobichon,23.0,fr FRA,"LW,LM,CM",25-006,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,24.0,1.0,0.0,1.0,0.1,0.1,0.1,6.0,1.0,31.0,38.0,81.6,3.0,38.0,8.0,1.0,1.0,480.0,101.0,21.0,23.0,91.3,6.0,7.0,85.7,4.0,8.0,50.0,3.0,1.0,0.0,0.0,34.0,4.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,27.0,4.0,7.0,2.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,6.0,17.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,30.0,19.0,2.0,44.0,100.0,1.0,1.0,227.0,112.0,4.0,0.0,3.0,1.0,49.0,40.0,81.6,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
3,Angelo Fulgini,10.0,fr FRA,"CM,RW",24-031,90.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,78.0,4.0,0.0,0.0,1.0,0.0,0.0,0.2,4.0,1.0,53.0,63.0,84.1,6.0,66.0,11.0,1.0,5.0,997.0,242.0,22.0,24.0,91.7,24.0,28.0,85.7,7.0,10.0,70.0,3.0,7.0,2.0,1.0,61.0,2.0,1.0,1.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,51.0,7.0,5.0,7.0,54.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,48.0,18.0,0.0,76.0,20.0,1.0,0.0,335.0,214.0,2.0,0.0,2.0,3.0,75.0,65.0,86.7,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
4,Thomas Mangani,5.0,fr FRA,"DM,CM",33-144,73.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,52.0,57.0,91.2,2.0,48.0,2.0,0.0,0.0,899.0,288.0,27.0,28.0,96.4,18.0,19.0,94.7,6.0,8.0,75.0,2.0,0.0,0.0,0.0,53.0,4.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,46.0,6.0,5.0,49.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,42.9,4.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,16.0,42.0,7.0,0.0,61.0,0.0,0.0,0.0,197.0,55.0,0.0,0.0,1.0,0.0,53.0,50.0,94.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
5,Lois Diony,9.0,fr FRA,FW,27-275,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,80.0,1.0,5.0,1.0,0.0,0.0,42.0,10.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,6.0,0.0,0.0,0.0,22.0,9.0,0.0,0.0,2.0,0.0,7.0,5.0,71.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Lassana Coulibaly,14.0,ml MLI,DM,24-163,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,27.0,29.0,93.1,0.0,30.0,2.0,0.0,0.0,518.0,80.0,12.0,12.0,100.0,12.0,14.0,85.7,3.0,3.0,100.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,26.7,8.0,5.0,2.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,16.0,26.0,1.0,0.0,43.0,0.0,0.0,0.0,112.0,28.0,0.0,0.0,1.0,0.0,27.0,26.0,96.3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
7,Sada Thioub,22.0,sn SEN,RM,25-111,28.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,3.0,0.0,11.0,13.0,84.6,1.0,17.0,2.0,0.0,2.0,167.0,41.0,6.0,8.0,75.0,3.0,3.0,100.0,2.0,2.0,100.0,2.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,10.0,2.0,19.0,0.0,0.0,0.0,130.0,66.0,1.0,0.0,0.0,1.0,18.0,17.0,94.4,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
8,Pierrick Capelle,15.0,fr FRA,"WB,DM,RM",33-158,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,68.0,19.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,43.0,52.0,82.7,3.0,41.0,3.0,1.0,1.0,667.0,160.0,22.0,24.0,91.7,18.0,20.0,90.0,2.0,6.0,33.3,0.0,2.0,0.0,0.0,45.0,7.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,35.0,9.0,8.0,40.0,3.0,2.0,6.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,50.0,1.0,3.0,15.8,9.0,6.0,4.0,0.0,0.0,2.0,6.0,3.0,0.0,3.0,26.0,39.0,8.0,1.0,61.0,100.0,1.0,0.0,127.0,63.0,2.0,0.0,0.0,1.0,44.0,36.0,81.8,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,7.0,12.5
9,Abdoulaye Bamba,25.0,ci CIV,"RB,WB",30-148,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,16.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,53.0,64.0,82.8,7.0,52.0,4.0,1.0,3.0,910.0,375.0,22.0,23.0,95.7,29.0,31.0,93.5,2.0,9.0,22.2,0.0,3.0,1.0,0.0,52.0,12.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,11.0,11.0,1.0,50.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.8,9.0,4.0,3.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,25.0,39.0,14.0,1.0,66.0,33.3,1.0,0.0,127.0,87.0,0.0,0.0,0.0,2.0,58.0,53.0,91.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
10,Enzo Ebosse,6.0,cm CMR,"CB,LB",21-193,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,54.0,85.2,0.0,46.0,1.0,0.0,0.0,791.0,266.0,19.0,19.0,100.0,24.0,26.0,92.3,3.0,7.0,42.9,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,6.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,33.3,8.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,12.0,31.0,31.0,0.0,0.0,59.0,0.0,0.0,0.0,126.0,69.0,0.0,0.0,0.0,0.0,45.0,45.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
