,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Marcus Thuram,10.0,fr FRA,FW,23-262,74.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,27.0,11.0,0.0,0.0,1.0,0.8,0.8,0.1,4.0,0.0,16.0,18.0,88.9,2.0,21.0,2.0,2.0,2.0,228.0,60.0,11.0,12.0,91.7,4.0,5.0,80.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,17.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0,2.0,2.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,0.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,6.0,26.0,100.0,2.0,0.0,81.0,49.0,1.0,2.0,2.0,1.0,42.0,23.0,54.8,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0
1,Alassane Pléa,14.0,fr FRA,FW,28-046,16.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.1,0.1,0.6,2.0,0.0,3.0,3.0,100.0,2.0,4.0,2.0,0.0,0.0,48.0,38.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,37.0,26.0,0.0,0.0,0.0,0.0,5.0,4.0,80.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Breel Embolo,36.0,ch SUI,FW,24-070,90.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,47.0,9.0,1.0,0.0,0.0,1.1,1.1,0.2,5.0,2.0,30.0,35.0,85.7,7.0,41.0,1.0,2.0,2.0,332.0,112.0,24.0,26.0,92.3,5.0,7.0,71.4,0.0,1.0,0.0,2.0,2.0,4.0,0.0,35.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,2.0,2.0,5.0,29.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,22.2,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,21.0,26.0,7.0,47.0,100.0,2.0,0.0,107.0,54.0,0.0,1.0,2.0,4.0,51.0,41.0,80.4,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
3,Hannes Wolf,11.0,at AUT,AM,22-009,90.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,64.0,20.0,2.0,0.0,2.0,0.4,0.4,0.7,6.0,3.0,42.0,54.0,77.8,4.0,54.0,10.0,7.0,7.0,696.0,141.0,19.0,22.0,86.4,16.0,21.0,76.2,3.0,4.0,75.0,3.0,3.0,1.0,1.0,54.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0,6.0,2.0,28.0,23.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0,1.0,4.0,25.0,3.0,9.0,45.0,2.0,12.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,43.0,24.0,4.0,64.0,100.0,7.0,1.0,266.0,174.0,2.0,2.0,1.0,1.0,49.0,42.0,85.7,11.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15.0,1.0,2.0,33.3
4,Florian Neuhaus,32.0,de GER,DM,24-040,74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,6.0,0.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,56.0,65.0,86.2,5.0,66.0,7.0,2.0,2.0,1097.0,208.0,19.0,23.0,82.6,30.0,34.0,88.2,7.0,8.0,87.5,0.0,6.0,1.0,0.0,65.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,55.0,6.0,4.0,13.0,51.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.7,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,52.0,11.0,0.0,72.0,100.0,2.0,0.0,281.0,122.0,0.0,0.0,2.0,1.0,64.0,64.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,25.0
5,Christoph Kramer,6.0,de GER,DM,30-065,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,93.3,3.0,14.0,0.0,0.0,0.0,269.0,86.0,8.0,8.0,100.0,3.0,3.0,100.0,3.0,4.0,75.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,66.7,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,4.0,1.0,16.0,0.0,0.0,0.0,37.0,19.0,0.0,0.0,0.0,1.0,16.0,15.0,93.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Denis Zakaria,8.0,ch SUI,DM,24-156,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,80.0,8.0,2.0,2.0,4.0,0.4,0.4,0.7,7.0,1.0,59.0,65.0,90.8,6.0,57.0,7.0,2.0,3.0,990.0,205.0,27.0,29.0,93.1,26.0,27.0,96.3,4.0,7.0,57.1,4.0,4.0,1.0,1.0,63.0,2.0,2.0,1.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,59.0,3.0,3.0,2.0,61.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,4.0,4.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,4.0,20.0,53.0,15.0,4.0,79.0,66.7,2.0,0.0,234.0,145.0,3.0,1.0,0.0,3.0,65.0,61.0,93.8,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
7,Valentino Lazaro,19.0,at AUT,WB,25-032,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,16.0,2.0,0.0,1.0,0.0,0.0,0.1,4.0,0.0,32.0,48.0,66.7,4.0,37.0,4.0,0.0,1.0,473.0,98.0,20.0,22.0,90.9,8.0,15.0,53.3,3.0,7.0,42.9,2.0,2.0,2.0,0.0,40.0,8.0,1.0,0.0,10.0,0.0,3.0,4.0,2.0,1.0,1.0,33.0,4.0,11.0,4.0,40.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,25.0,5.0,5.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,7.0,29.0,20.0,4.0,46.0,0.0,0.0,0.0,160.0,81.0,1.0,2.0,0.0,2.0,40.0,36.0,90.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
8,Oscar Wendt,17.0,se SWE,WB,35-183,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,80.0,0.0,7.0,0.0,0.0,0.0,167.0,48.0,1.0,1.0,100.0,7.0,8.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,6.0,0.0,9.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
9,Stefan Lainer,18.0,at AUT,WB,28-241,84.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,12.0,2.0,0.0,5.0,0.0,0.0,0.3,2.0,1.0,56.0,65.0,86.2,8.0,48.0,7.0,1.0,1.0,1029.0,365.0,20.0,22.0,90.9,30.0,36.0,83.3,5.0,6.0,83.3,2.0,4.0,2.0,1.0,56.0,9.0,1.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,12.0,9.0,15.0,39.0,3.0,8.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,5.0,41.7,3.0,7.0,2.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0,15.0,53.0,17.0,1.0,70.0,100.0,1.0,0.0,326.0,188.0,2.0,0.0,1.0,2.0,55.0,52.0,94.5,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
