,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Lars Stindl,13.0,de GER,FW,32-178,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,58.0,10.0,0.0,0.0,2.0,0.1,0.1,0.1,4.0,0.0,30.0,42.0,71.4,2.0,29.0,0.0,0.0,1.0,472.0,83.0,15.0,17.0,88.2,13.0,19.0,68.4,1.0,3.0,33.3,2.0,2.0,1.0,1.0,42.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,5.0,6.0,8.0,31.0,3.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,50.0,1.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,31.0,23.0,2.0,57.0,0.0,0.0,0.0,62.0,15.0,0.0,0.0,5.0,1.0,52.0,47.0,90.4,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
1,Alassane Pléa,14.0,fr FRA,FW,27-347,72.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,32.0,13.0,0.0,0.0,1.0,0.3,0.3,0.0,2.0,0.0,13.0,18.0,72.2,1.0,18.0,2.0,1.0,1.0,138.0,28.0,12.0,13.0,92.3,1.0,1.0,100.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,16.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,1.0,3.0,13.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.8,0.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,16.0,7.0,30.0,100.0,1.0,0.0,62.0,33.0,0.0,1.0,3.0,2.0,36.0,27.0,75.0,9.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,33.3
2,Marcus Thuram,10.0,fr FRA,FW,23-198,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,3.0,0.0,0.0,0.0,33.0,4.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,6.0,3.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,Florian Neuhaus,32.0,de GER,CM,23-341,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,61.0,72.0,84.7,10.0,64.0,13.0,4.0,4.0,1120.0,234.0,30.0,33.0,90.9,24.0,26.0,92.3,7.0,12.0,58.3,1.0,6.0,4.0,0.0,71.0,1.0,1.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,57.0,5.0,10.0,13.0,58.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,55.6,2.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,14.0,52.0,16.0,3.0,74.0,100.0,4.0,0.0,388.0,256.0,4.0,1.0,2.0,0.0,75.0,66.0,88.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
4,Jonas Hofmann,23.0,de GER,CM,28-221,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,13.0,1.0,2.0,2.0,0.0,0.0,0.3,5.0,1.0,40.0,55.0,72.7,2.0,36.0,4.0,1.0,1.0,761.0,179.0,20.0,25.0,80.0,13.0,16.0,81.3,7.0,12.0,58.3,3.0,3.0,1.0,1.0,45.0,10.0,5.0,0.0,4.0,2.0,4.0,4.0,0.0,2.0,1.0,39.0,7.0,9.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,5.0,38.5,3.0,3.0,7.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,11.0,27.0,32.0,5.0,55.0,100.0,1.0,0.0,166.0,81.0,2.0,1.0,3.0,1.0,47.0,42.0,89.4,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
5,Christoph Kramer,6.0,de GER,DM,30-001,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,32.0,90.6,2.0,26.0,3.0,1.0,1.0,487.0,137.0,14.0,14.0,100.0,15.0,17.0,88.2,0.0,1.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,4.0,3.0,3.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,6.0,50.0,5.0,6.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,9.0,28.0,5.0,0.0,37.0,100.0,1.0,0.0,149.0,93.0,0.0,0.0,0.0,0.0,30.0,28.0,93.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
6,Denis Zakaria,8.0,ch SUI,DM,24-092,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,95.7,1.0,20.0,2.0,1.0,1.0,409.0,119.0,11.0,11.0,100.0,9.0,10.0,90.0,2.0,2.0,100.0,0.0,3.0,0.0,0.0,22.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,21.0,1.0,0.0,26.0,100.0,1.0,0.0,116.0,63.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
7,Valentino Lazaro,19.0,at AUT,WB,24-333,80.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,44.0,6.0,0.0,1.0,3.0,0.3,0.3,0.1,2.0,1.0,24.0,32.0,75.0,0.0,23.0,2.0,2.0,3.0,341.0,127.0,15.0,18.0,83.3,7.0,8.0,87.5,2.0,6.0,33.3,1.0,0.0,1.0,1.0,26.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,19.0,8.0,5.0,5.0,21.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,33.3,1.0,2.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,5.0,20.0,19.0,5.0,38.0,66.7,2.0,0.0,86.0,46.0,0.0,1.0,1.0,2.0,34.0,28.0,82.4,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,1.0,3.0,25.0
8,Hannes Wolf,11.0,at AUT,WB,21-310,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,17.0,4.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
9,Stefan Lainer,18.0,at AUT,WB,28-177,88.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,11.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,0.0,23.0,34.0,67.6,1.0,20.0,1.0,0.0,0.0,340.0,170.0,14.0,16.0,87.5,8.0,13.0,61.5,1.0,4.0,25.0,1.0,2.0,0.0,0.0,26.0,8.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,9.0,8.0,5.0,19.0,2.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,8.0,16.0,20.0,1.0,36.0,0.0,0.0,0.0,69.0,23.0,0.0,0.0,1.0,2.0,35.0,27.0,77.1,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,50.0
