,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Júnior Moraes,10.0,ua UKR,FW,33-235,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,30.0,14.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,19.0,23.0,82.6,0.0,17.0,0.0,0.0,2.0,303.0,13.0,10.0,14.0,71.4,8.0,8.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,18.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,14.3,0.0,8.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,15.0,2.0,25.0,0.0,0.0,0.0,70.0,3.0,0.0,0.0,1.0,0.0,40.0,20.0,50.0,7.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0
1,Manor Solomon,19.0,il ISR,LW,21-124,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,96.0,0.0,27.0,5.0,0.0,1.0,412.0,36.0,12.0,12.0,100.0,10.0,10.0,100.0,2.0,3.0,66.7,0.0,1.0,1.0,1.0,23.0,2.0,1.0,0.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,20.0,1.0,4.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,33.3,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,16.0,10.0,0.0,29.0,0.0,0.0,0.0,177.0,72.0,2.0,0.0,4.0,0.0,43.0,26.0,60.5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
2,Fernando,99.0,br BRA,LW,21-269,32.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,6.0,0.0,1.0,2.0,0.1,0.1,0.0,0.0,0.0,13.0,14.0,92.9,0.0,15.0,4.0,0.0,1.0,199.0,50.0,7.0,7.0,100.0,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.7,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,4.0,13.0,6.0,1.0,22.0,0.0,0.0,0.0,103.0,73.0,0.0,0.0,1.0,1.0,16.0,13.0,81.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,100.0
3,Tetê,14.0,br BRA,RW,20-284,90.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,48.0,23.0,0.0,1.0,6.0,0.2,0.2,0.1,4.0,0.0,26.0,31.0,83.9,2.0,34.0,13.0,1.0,1.0,560.0,144.0,9.0,11.0,81.8,12.0,13.0,92.3,5.0,6.0,83.3,2.0,2.0,1.0,0.0,28.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,22.0,2.0,7.0,25.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,17.4,3.0,12.0,8.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,28.0,24.0,4.0,45.0,100.0,1.0,0.0,290.0,184.0,4.0,2.0,1.0,3.0,43.0,31.0,72.1,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
4,Alan Patrick,21.0,br BRA,CM,29-196,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,10.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,39.0,52.0,75.0,3.0,52.0,4.0,5.0,6.0,759.0,211.0,13.0,17.0,76.5,20.0,26.0,76.9,6.0,9.0,66.7,0.0,3.0,0.0,0.0,50.0,2.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,8.0,6.0,14.0,37.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,20.0,3.0,3.0,4.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,15.0,33.0,20.0,1.0,64.0,83.3,5.0,0.0,265.0,91.0,0.0,0.0,0.0,2.0,52.0,46.0,88.5,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3
5,Maycon,27.0,br BRA,CM,23-133,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,9.0,11.0,81.8,1.0,6.0,1.0,0.0,0.0,203.0,66.0,3.0,3.0,100.0,4.0,4.0,100.0,2.0,4.0,50.0,1.0,1.0,0.0,0.0,8.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,7.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,11.0,0.0,0.0,0.0,22.0,12.0,0.0,0.0,0.0,0.0,10.0,9.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,Marlos,11.0,ua UKR,CM,32-171,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,41.0,85.4,2.0,32.0,5.0,0.0,0.0,554.0,111.0,13.0,15.0,86.7,19.0,21.0,90.5,1.0,2.0,50.0,1.0,0.0,0.0,0.0,40.0,1.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,33.0,5.0,3.0,33.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,30.8,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,9.0,0.0,46.0,0.0,0.0,0.0,204.0,98.0,1.0,0.0,1.0,1.0,47.0,44.0,93.6,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Marcos Antônio,8.0,br BRA,CM,20-165,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,17.0,94.1,1.0,20.0,4.0,2.0,3.0,319.0,20.0,7.0,8.0,87.5,6.0,6.0,100.0,3.0,3.0,100.0,1.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,5.0,0.0,20.0,66.7,2.0,2.0,134.0,66.0,0.0,0.0,0.0,1.0,20.0,18.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Taras Stepanenko,6.0,ua UKR,DM,31-109,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,65.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,59.0,91.5,3.0,34.0,0.0,1.0,1.0,986.0,245.0,20.0,20.0,100.0,24.0,27.0,88.9,8.0,9.0,88.9,0.0,4.0,0.0,0.0,55.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,9.0,41.0,12.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,28.6,6.0,6.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,16.0,44.0,7.0,0.0,61.0,100.0,1.0,0.0,118.0,43.0,0.0,0.0,0.0,0.0,42.0,41.0,97.6,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,50.0
9,Mykola Matviyenko,22.0,ua UKR,LB,24-207,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,95.0,13.0,3.0,1.0,1.0,0.2,0.2,0.0,0.0,0.0,71.0,85.0,83.5,4.0,64.0,3.0,0.0,1.0,1369.0,317.0,19.0,19.0,100.0,44.0,47.0,93.6,8.0,16.0,50.0,0.0,1.0,0.0,0.0,77.0,8.0,1.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,60.0,10.0,15.0,63.0,8.0,5.0,7.0,0.0,1.0,3.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,30.8,4.0,7.0,2.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,30.0,49.0,20.0,1.0,89.0,0.0,0.0,0.0,229.0,98.0,0.0,0.0,2.0,2.0,72.0,71.0,98.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,50.0
