,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Wout Weghorst,9.0,nl NED,FW,28-071,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,43.0,17.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,22.0,29.0,75.9,2.0,26.0,2.0,0.0,0.0,324.0,69.0,13.0,17.0,76.5,8.0,10.0,80.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,27.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,6.0,3.0,18.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,35.3,1.0,9.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,27.0,14.0,3.0,41.0,0.0,0.0,0.0,61.0,28.0,0.0,0.0,6.0,1.0,45.0,33.0,73.3,8.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,3.0,40.0
1,Josip Brekalo,7.0,hr CRO,LW,22-116,88.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,49.0,9.0,1.0,1.0,1.0,0.3,0.3,0.0,2.0,0.0,26.0,40.0,65.0,5.0,35.0,7.0,1.0,1.0,514.0,133.0,8.0,13.0,61.5,14.0,18.0,77.8,4.0,6.0,66.7,1.0,4.0,1.0,0.0,34.0,6.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,3.0,6.0,1.0,35.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,55.6,1.0,1.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,30.0,22.0,5.0,43.0,100.0,1.0,0.0,236.0,133.0,4.0,3.0,1.0,3.0,32.0,32.0,100.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
2,Maximilian Philipp,17.0,de GER,LW,26-230,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,100.0,0.0,3.0,0.0,1.0,1.0,47.0,23.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,100.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,Admir Mehmedi,14.0,ch SUI,RW,29-215,77.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,31.0,19.0,2.0,0.0,0.0,0.3,0.3,0.1,4.0,0.0,21.0,25.0,84.0,1.0,19.0,3.0,0.0,0.0,305.0,63.0,14.0,16.0,87.5,6.0,8.0,75.0,1.0,1.0,100.0,2.0,1.0,0.0,0.0,23.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,2.0,8.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,26.3,3.0,8.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,15.0,16.0,3.0,29.0,0.0,0.0,0.0,81.0,29.0,0.0,0.0,0.0,0.0,23.0,21.0,91.3,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
4,Renato Steffen,8.0,ch SUI,RW,28-349,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,1.0,8.0,0.0,0.0,0.0,44.0,12.0,4.0,6.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,11.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,2.0,9.0,7.0,77.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
5,Maximilian Arnold,27.0,de GER,CM,26-143,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,54.0,14.0,2.0,2.0,1.0,0.0,0.0,0.2,6.0,0.0,30.0,42.0,71.4,3.0,31.0,7.0,1.0,1.0,673.0,168.0,12.0,15.0,80.0,10.0,12.0,83.3,8.0,13.0,61.5,2.0,2.0,1.0,0.0,36.0,6.0,2.0,0.0,4.0,5.0,2.0,4.0,1.0,2.0,0.0,23.0,3.0,16.0,31.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,4.0,28.6,3.0,8.0,3.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,6.0,27.0,24.0,0.0,48.0,100.0,1.0,0.0,205.0,123.0,3.0,0.0,1.0,0.0,32.0,31.0,96.9,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0
6,Xaver Schlager,24.0,at AUT,CM,23-019,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,10.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,87.0,0.0,27.0,1.0,1.0,1.0,433.0,54.0,6.0,8.0,75.0,9.0,10.0,90.0,5.0,5.0,100.0,0.0,3.0,0.0,0.0,23.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,4.0,16.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,20.0,1.0,8.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,8.0,20.0,8.0,0.0,33.0,100.0,1.0,0.0,115.0,38.0,1.0,0.0,4.0,1.0,24.0,23.0,95.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7
7,Yannick Gerhardt,31.0,de GER,CM,26-218,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,52.4,2.0,13.0,2.0,0.0,0.0,152.0,80.0,7.0,11.0,63.6,3.0,6.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,5.0,4.0,12.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,47.6,2.0,14.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,16.0,9.0,3.0,26.0,0.0,0.0,0.0,67.0,41.0,1.0,1.0,2.0,0.0,16.0,13.0,81.3,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,66.7
8,Josuha Guilavogui,23.0,fr FRA,DM,30-028,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,52.0,14.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,39.0,87.2,1.0,26.0,1.0,0.0,0.0,730.0,177.0,10.0,12.0,83.3,16.0,17.0,94.1,7.0,8.0,87.5,0.0,3.0,0.0,0.0,38.0,1.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,8.0,9.0,4.0,29.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,4.0,50.0,2.0,7.0,50.0,4.0,10.0,0.0,0.0,0.0,1.0,9.0,5.0,0.0,6.0,17.0,31.0,5.0,1.0,51.0,0.0,0.0,0.0,113.0,31.0,0.0,0.0,0.0,0.0,19.0,19.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,100.0
9,Jérôme Roussillon,15.0,fr FRA,LB,27-285,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,58.0,72.4,0.0,38.0,10.0,0.0,0.0,684.0,273.0,21.0,27.0,77.8,18.0,23.0,78.3,2.0,5.0,40.0,1.0,1.0,0.0,0.0,44.0,14.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,32.0,14.0,12.0,36.0,3.0,4.0,14.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,3.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,15.0,35.0,22.0,1.0,52.0,0.0,0.0,0.0,235.0,169.0,4.0,1.0,0.0,2.0,44.0,38.0,86.4,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,40.0
