,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Rodrigo Palacio,24.0,ar ARG,FW,39-030,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,50.0,10.0,1.0,0.0,0.0,0.1,0.1,0.2,4.0,1.0,30.0,43.0,69.8,0.0,34.0,2.0,1.0,2.0,462.0,65.0,17.0,22.0,77.3,6.0,7.0,85.7,4.0,7.0,57.1,2.0,2.0,1.0,1.0,40.0,3.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,15.0,9.0,5.0,35.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,30.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,17.0,31.0,9.0,47.0,50.0,1.0,0.0,169.0,36.0,0.0,2.0,2.0,1.0,73.0,43.0,58.9,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,25.0
1,Nicola Sansone,10.0,it ITA,LW,29-178,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,23.0,65.2,3.0,25.0,5.0,1.0,3.0,325.0,101.0,2.0,3.0,66.7,9.0,10.0,90.0,3.0,7.0,42.9,2.0,0.0,2.0,0.0,21.0,2.0,2.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,3.0,5.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,100.0,0.0,5.0,71.4,1.0,6.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,8.0,19.0,13.0,2.0,31.0,33.3,1.0,0.0,148.0,76.0,4.0,1.0,2.0,1.0,37.0,24.0,64.9,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
2,Musa Barrow,99.0,gm GAM,LW,22-113,26.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,27.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,17.0,21.0,81.0,3.0,18.0,5.0,0.0,1.0,365.0,122.0,9.0,10.0,90.0,4.0,7.0,57.1,4.0,4.0,100.0,1.0,2.0,1.0,1.0,21.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,14.0,3.0,4.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,3.0,26.0,0.0,1.0,0.0,103.0,72.0,0.0,1.0,2.0,0.0,29.0,24.0,82.8,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,Andreas Skov Olsen,11.0,dk DEN,RW,21-068,75.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,45.0,6.0,1.0,0.0,2.0,0.1,0.1,0.2,3.0,1.0,27.0,38.0,71.1,3.0,32.0,10.0,2.0,2.0,357.0,136.0,17.0,18.0,94.4,5.0,8.0,62.5,2.0,8.0,25.0,2.0,2.0,1.0,1.0,37.0,1.0,0.0,0.0,8.0,1.0,6.0,1.0,1.0,0.0,0.0,24.0,3.0,11.0,24.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,2.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,10.0,13.0,25.0,4.0,44.0,100.0,2.0,0.0,241.0,164.0,2.0,3.0,0.0,0.0,57.0,38.0,66.7,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
4,Riccardo Orsolini,7.0,it ITA,RW,24-042,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,5.0,2.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,6.0,12.0,50.0,0.0,6.0,0.0,0.0,0.0,76.0,11.0,3.0,4.0,75.0,3.0,6.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,2.0,4.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,100.0,0.0,2.0,40.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,5.0,9.0,0.0,14.0,0.0,0.0,0.0,31.0,5.0,0.0,0.0,1.0,0.0,15.0,10.0,66.7,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,Roberto Soriano,21.0,it ITA,AM,30-027,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,59.0,11.0,0.0,0.0,1.0,0.2,0.2,0.0,1.0,0.0,42.0,47.0,89.4,7.0,39.0,4.0,3.0,4.0,696.0,328.0,22.0,23.0,95.7,14.0,17.0,82.4,5.0,5.0,100.0,0.0,7.0,2.0,1.0,47.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,8.0,9.0,12.0,31.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,9.1,1.0,2.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,30.0,25.0,2.0,59.0,75.0,3.0,0.0,332.0,175.0,4.0,0.0,1.0,1.0,70.0,49.0,70.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
6,Mattias Svanberg,32.0,se SWE,DM,22-061,75.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,37.0,8.0,1.0,1.0,0.0,0.2,0.2,0.1,1.0,0.0,24.0,28.0,85.7,1.0,26.0,0.0,1.0,1.0,465.0,125.0,12.0,14.0,85.7,9.0,10.0,90.0,3.0,4.0,75.0,1.0,1.0,0.0,0.0,27.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,5.0,2.0,23.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,37.5,2.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,11.0,21.0,8.0,3.0,36.0,100.0,1.0,0.0,173.0,104.0,0.0,0.0,0.0,2.0,29.0,25.0,86.2,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
7,Emanuel Vignato,55.0,it ITA,LB,20-195,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,15.0,73.3,0.0,11.0,5.0,0.0,0.0,159.0,30.0,6.0,6.0,100.0,5.0,7.0,71.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,3.0,9.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,12.0,1.0,13.0,0.0,0.0,0.0,103.0,86.0,3.0,0.0,0.0,0.0,13.0,12.0,92.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
8,Andrea Poli,16.0,it ITA,DM,31-159,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,5.0,0.0,1.0,2.0,0.0,0.0,0.1,3.0,0.0,36.0,42.0,85.7,1.0,26.0,0.0,0.0,0.0,619.0,212.0,22.0,24.0,91.7,11.0,12.0,91.7,3.0,6.0,50.0,2.0,0.0,1.0,1.0,41.0,1.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,3.0,8.0,7.0,34.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,19.0,12.0,17.0,2.0,45.0,0.0,0.0,0.0,113.0,38.0,0.0,0.0,1.0,0.0,39.0,34.0,87.2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
9,Nicolás Domínguez,8.0,ar ARG,DM,22-252,33.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,7.0,2.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,21.0,28.0,75.0,2.0,18.0,2.0,0.0,0.0,346.0,86.0,12.0,14.0,85.7,8.0,11.0,72.7,1.0,1.0,100.0,0.0,3.0,1.0,0.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,5.0,6.0,18.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,57.1,3.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,8.0,19.0,10.0,0.0,33.0,0.0,0.0,0.0,183.0,106.0,0.0,0.0,1.0,0.0,27.0,22.0,81.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
