,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Dries Mertens,14.0,be BEL,FW,33-207,82.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,33.0,30.0,1.0,1.0,0.0,0.6,0.6,0.2,4.0,1.0,14.0,23.0,60.9,2.0,18.0,3.0,0.0,1.0,211.0,30.0,10.0,11.0,90.9,3.0,4.0,75.0,1.0,6.0,16.7,2.0,0.0,2.0,0.0,18.0,5.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,15.0,1.0,7.0,1.0,22.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,23.3,1.0,13.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,24.0,7.0,28.0,0.0,0.0,0.0,52.0,39.0,0.0,0.0,1.0,1.0,41.0,24.0,58.5,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1,Andrea Petagna,37.0,it ITA,FW,25-152,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,1.0,0.0,0.0,30.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,46.0,24.0,1.0,0.0,0.0,0.0,3.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,Lorenzo Insigne,24.0,it ITA,LW,29-178,90.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,55.0,8.0,0.0,2.0,0.0,0.2,0.2,0.0,1.0,1.0,33.0,49.0,67.3,5.0,36.0,10.0,0.0,0.0,534.0,193.0,16.0,19.0,84.2,14.0,18.0,77.8,2.0,9.0,22.2,1.0,4.0,1.0,0.0,46.0,3.0,0.0,0.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,35.0,4.0,10.0,3.0,43.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,12.5,3.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,31.0,25.0,3.0,51.0,0.0,0.0,0.0,241.0,192.0,4.0,1.0,0.0,2.0,53.0,41.0,77.4,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
3,Hirving Lozano,11.0,mx MEX,RW,25-122,66.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,28.0,18.0,1.0,0.0,2.0,0.2,0.2,0.0,1.0,0.0,8.0,14.0,57.1,0.0,19.0,5.0,0.0,0.0,106.0,13.0,5.0,8.0,62.5,2.0,3.0,66.7,1.0,1.0,100.0,1.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,5.0,27.8,5.0,8.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,6.0,18.0,6.0,28.0,0.0,0.0,0.0,159.0,99.0,0.0,3.0,3.0,2.0,26.0,16.0,61.5,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
4,Matteo Politano,21.0,it ITA,RW,27-118,24.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.8,0.8,0.0,4.0,2.0,7.0,7.0,100.0,2.0,8.0,0.0,4.0,4.0,119.0,41.0,5.0,5.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,8.0,100.0,4.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,10.0,6.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,Piotr Zieliński,20.0,pl POL,CM,26-193,77.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,49.0,6.0,0.0,0.0,0.0,0.1,0.1,0.2,5.0,1.0,39.0,42.0,92.9,7.0,34.0,8.0,2.0,2.0,635.0,153.0,21.0,23.0,91.3,13.0,13.0,100.0,3.0,3.0,100.0,2.0,5.0,2.0,0.0,41.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,35.0,4.0,3.0,11.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,37.0,14.0,3.0,48.0,100.0,2.0,0.0,283.0,226.0,6.0,1.0,2.0,2.0,44.0,38.0,86.4,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
6,Elif Elmas,7.0,mk MKD,CM,21-066,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,80.0,0.0,3.0,1.0,0.0,0.0,60.0,0.0,2.0,2.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0,14.0,10.0,1.0,0.0,0.0,0.0,10.0,6.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Fabián Ruiz Peña,8.0,es ESP,CM,24-240,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,22.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,40.0,50.0,80.0,1.0,36.0,4.0,0.0,1.0,970.0,172.0,13.0,17.0,76.5,17.0,20.0,85.0,10.0,10.0,100.0,0.0,6.0,0.0,0.0,50.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,33.0,10.0,7.0,44.0,4.0,1.0,0.0,1.0,1.0,0.0,5.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,66.7,1.0,7.0,31.8,6.0,12.0,4.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,14.0,37.0,12.0,2.0,57.0,0.0,1.0,0.0,199.0,115.0,2.0,0.0,1.0,0.0,52.0,44.0,84.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
8,Diego Demme,4.0,de GER,DM,29-008,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,20.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,62.0,68.0,91.2,3.0,45.0,2.0,0.0,0.0,1300.0,179.0,23.0,23.0,100.0,24.0,26.0,92.3,15.0,17.0,88.2,0.0,5.0,0.0,0.0,68.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,3.0,11.0,10.0,57.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,9.0,45.0,5.0,13.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0,21.0,54.0,1.0,0.0,75.0,0.0,0.0,0.0,167.0,92.0,0.0,0.0,0.0,0.0,61.0,57.0,93.4,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
9,Stanislav Lobotka,68.0,sk SVK,DM,26-004,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,0.0,5.0,0.0,0.0,0.0,48.0,11.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,8.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
