,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Mama Samba Baldé,17.0,gw GNB,FW,25-023,72.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,29.0,5.0,1.0,0.0,0.0,0.7,0.7,0.0,2.0,0.0,14.0,17.0,82.4,0.0,14.0,1.0,1.0,1.0,196.0,29.0,8.0,11.0,72.7,4.0,4.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,1.0,2.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,20.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,4.0,17.0,9.0,2.0,29.0,100.0,1.0,0.0,43.0,21.0,0.0,0.0,4.0,0.0,43.0,18.0,41.9,6.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,20.0
1,Moussa Konaté,11.0,sn SEN,FW,27-240,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,70.0,0.0,5.0,0.0,0.0,0.0,80.0,7.0,4.0,7.0,57.1,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,8.0,5.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,16.0,11.0,68.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
2,Mounir Chouiar,21.0,fr FRA,LW,21-311,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,22.0,25.0,88.0,2.0,26.0,4.0,0.0,5.0,481.0,65.0,10.0,11.0,90.9,7.0,7.0,100.0,5.0,5.0,100.0,0.0,1.0,0.0,0.0,24.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,7.0,4.0,1.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,33.3,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,8.0,19.0,17.0,0.0,41.0,0.0,0.0,0.0,103.0,64.0,1.0,0.0,2.0,2.0,34.0,26.0,76.5,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,7.0,2.0,2.0,50.0
3,Jordan Marié,14.0,fr FRA,LW,29-061,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,2.0,0.0,1.0,1.0,76.0,38.0,1.0,1.0,100.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,100.0,1.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
4,Junior Dina Ebimbe,8.0,fr FRA,RW,20-008,65.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,32.0,11.0,1.0,1.0,2.0,0.1,0.1,0.0,1.0,1.0,15.0,22.0,68.2,2.0,21.0,3.0,1.0,3.0,205.0,65.0,10.0,15.0,66.7,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.1,5.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,15.0,17.0,5.0,32.0,33.3,1.0,0.0,133.0,109.0,1.0,1.0,2.0,0.0,38.0,25.0,65.8,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
5,Roger Assalé,15.0,ci CIV,RW,27-016,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,0.0,6.0,0.0,0.0,1.0,72.0,36.0,1.0,3.0,33.3,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,2.0,0.0,9.0,0.0,0.0,0.0,17.0,9.0,0.0,0.0,0.0,1.0,16.0,6.0,37.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,50.0
6,Bersant Celina,9.0,xk KVX,AM,24-081,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,55.0,5.0,2.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,33.0,45.0,73.3,2.0,35.0,3.0,3.0,4.0,501.0,92.0,16.0,19.0,84.2,12.0,16.0,75.0,3.0,5.0,60.0,1.0,1.0,1.0,0.0,42.0,3.0,1.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,35.0,5.0,5.0,6.0,38.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,40.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,36.0,22.0,3.0,52.0,75.0,3.0,0.0,112.0,47.0,4.0,0.0,0.0,4.0,51.0,43.0,84.3,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
7,Pape Cheikh Diop,6.0,sn SEN,DM,23-113,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,13.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,40.0,43.0,93.0,2.0,36.0,3.0,1.0,1.0,757.0,146.0,16.0,18.0,88.9,20.0,21.0,95.2,4.0,4.0,100.0,0.0,4.0,0.0,0.0,43.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,4.0,4.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,4.0,30.8,4.0,9.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,4.0,17.0,36.0,4.0,0.0,54.0,100.0,1.0,0.0,171.0,88.0,0.0,0.0,0.0,4.0,40.0,37.0,92.5,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
8,Didier Ibrahim Ndong,22.0,ga GAB,DM,26-165,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,38.0,94.7,4.0,24.0,1.0,1.0,1.0,705.0,156.0,16.0,16.0,100.0,13.0,13.0,100.0,6.0,8.0,75.0,0.0,2.0,0.0,0.0,37.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,3.0,5.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,12.5,7.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,12.0,34.0,1.0,0.0,43.0,100.0,1.0,0.0,116.0,78.0,0.0,0.0,0.0,1.0,33.0,29.0,87.9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
9,Muzinga Ngonda,3.0,cd COD,LB,25-334,90.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,66.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,39.0,53.0,73.6,6.0,34.0,5.0,2.0,3.0,687.0,298.0,22.0,25.0,88.0,13.0,16.0,81.3,4.0,11.0,36.4,0.0,3.0,0.0,0.0,46.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,32.0,10.0,11.0,41.0,2.0,3.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,3.0,3.0,0.0,5.0,23.0,31.0,14.0,0.0,59.0,66.7,2.0,0.0,151.0,91.0,0.0,0.0,1.0,0.0,43.0,42.0,97.7,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
