,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Memphis Depay,10.0,nl NED,FW,27-092,90.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,57.0,8.0,0.0,0.0,0.0,0.6,0.6,0.1,6.0,1.0,37.0,50.0,74.0,7.0,46.0,6.0,1.0,2.0,592.0,176.0,26.0,30.0,86.7,4.0,7.0,57.1,5.0,9.0,55.6,2.0,6.0,1.0,0.0,45.0,5.0,2.0,0.0,10.0,3.0,1.0,2.0,1.0,0.0,0.0,42.0,4.0,4.0,3.0,45.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,37.5,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,22.0,3.0,53.0,50.0,1.0,0.0,183.0,115.0,2.0,2.0,0.0,0.0,62.0,48.0,77.4,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
1,Houssem Aouar,8.0,fr FRA,LW,22-320,63.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,49.0,11.0,0.0,1.0,1.0,0.7,0.7,0.1,3.0,0.0,29.0,37.0,78.4,1.0,42.0,10.0,3.0,4.0,468.0,95.0,15.0,20.0,75.0,9.0,12.0,75.0,2.0,2.0,100.0,2.0,1.0,0.0,0.0,35.0,2.0,0.0,0.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,33.0,2.0,2.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.3,0.0,6.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,28.0,23.0,9.0,47.0,75.0,3.0,0.0,193.0,141.0,3.0,2.0,1.0,3.0,40.0,35.0,87.5,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
2,Rayan Cherki,18.0,fr FRA,LW,17-272,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.0,7.0,8.0,87.5,1.0,8.0,1.0,0.0,1.0,119.0,28.0,4.0,4.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0,2.0,9.0,0.0,0.0,0.0,42.0,34.0,0.0,1.0,1.0,2.0,10.0,9.0,90.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Karl Toko Ekambi,7.0,cm CMR,RW,28-244,75.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,38.0,11.0,1.0,0.0,3.0,0.6,0.6,0.0,2.0,1.0,21.0,26.0,80.8,2.0,27.0,3.0,0.0,3.0,310.0,93.0,10.0,13.0,76.9,7.0,9.0,77.8,1.0,1.0,100.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,5.0,1.0,2.0,22.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,27.3,0.0,5.0,6.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,5.0,16.0,18.0,3.0,38.0,0.0,1.0,0.0,136.0,71.0,0.0,0.0,1.0,1.0,35.0,27.0,77.1,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
4,Islam Slimani,20.0,dz ALG,RW,32-332,15.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,6.0,8.0,75.0,0.0,7.0,0.0,0.0,0.0,88.0,40.0,4.0,4.0,100.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,33.3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,4.0,4.0,12.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,1.0,0.0,12.0,9.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
5,Lucas Paquetá,12.0,br BRA,AM,23-262,90.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,60.0,30.0,7.0,0.0,0.0,0.3,0.3,0.6,6.0,2.0,36.0,42.0,85.7,2.0,45.0,2.0,1.0,1.0,520.0,109.0,20.0,23.0,87.0,12.0,12.0,100.0,1.0,2.0,50.0,2.0,0.0,2.0,1.0,39.0,3.0,0.0,0.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,35.0,3.0,4.0,34.0,5.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,5.0,1.0,2.0,4.0,1.0,2.0,50.0,1.0,10.0,33.3,4.0,9.0,17.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,11.0,24.0,27.0,4.0,57.0,100.0,1.0,0.0,108.0,40.0,1.0,0.0,4.0,3.0,50.0,41.0,82.0,11.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,100.0
6,Maxence Caqueret,25.0,fr FRA,CM,21-090,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,17.0,2.0,1.0,4.0,0.0,0.0,0.1,5.0,0.0,64.0,72.0,88.9,9.0,66.0,3.0,2.0,2.0,1028.0,450.0,35.0,40.0,87.5,22.0,23.0,95.7,6.0,6.0,100.0,1.0,6.0,2.0,0.0,72.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,63.0,5.0,4.0,13.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,1.0,5.0,20.0,4.0,3.0,17.6,5.0,12.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,23.0,57.0,6.0,0.0,81.0,100.0,2.0,0.0,274.0,135.0,2.0,0.0,0.0,0.0,68.0,65.0,95.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
7,Bruno Guimarães,39.0,br BRA,CM,23-181,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,13.0,4.0,0.0,2.0,0.0,0.0,0.1,3.0,0.0,49.0,55.0,89.1,6.0,54.0,7.0,0.0,0.0,894.0,222.0,22.0,23.0,95.7,21.0,23.0,91.3,5.0,7.0,71.4,1.0,4.0,2.0,0.0,55.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,4.0,3.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,66.7,1.0,3.0,23.1,3.0,7.0,3.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0,17.0,45.0,7.0,0.0,65.0,0.0,0.0,0.0,303.0,163.0,2.0,0.0,1.0,2.0,50.0,49.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
8,Thiago Mendes,23.0,br BRA,CM,29-062,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,22.0,90.9,2.0,17.0,2.0,0.0,0.0,295.0,67.0,10.0,10.0,100.0,7.0,7.0,100.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,3.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,2.0,1.0,23.0,0.0,0.0,0.0,149.0,110.0,2.0,1.0,0.0,0.0,18.0,18.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
9,Maxwel Cornet,27.0,ci CIV,LB,24-231,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,10.0,1.0,2.0,1.0,0.1,0.1,0.1,2.0,1.0,50.0,61.0,82.0,3.0,42.0,4.0,2.0,2.0,747.0,274.0,29.0,31.0,93.5,18.0,24.0,75.0,2.0,2.0,100.0,1.0,1.0,0.0,0.0,50.0,11.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0,10.0,5.0,41.0,8.0,1.0,11.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,8.0,2.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,1.0,24.0,43.0,9.0,0.0,63.0,100.0,2.0,0.0,139.0,80.0,0.0,0.0,0.0,0.0,48.0,45.0,93.8,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,60.0
