,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Gaëtan Laborde,10.0,fr FRA,FW,26-264,67.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,7.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,8.0,16.0,50.0,1.0,12.0,1.0,1.0,1.0,91.0,28.0,7.0,12.0,58.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.3,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,18.0,7.0,2.0,27.0,100.0,1.0,0.0,28.0,10.0,0.0,0.0,5.0,2.0,39.0,20.0,51.3,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,71.4
1,Sepe Elye Wahi,33.0,fr FRA,LM,18-020,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,1.0,9.0,3.0,1.0,1.0,123.0,18.0,4.0,5.0,80.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,10.0,100.0,1.0,0.0,46.0,37.0,1.0,0.0,1.0,1.0,13.0,9.0,69.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Florent Mollet,25.0,fr FRA,AM,29-064,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,1.0,5.0,0.0,0.0,0.0,62.0,21.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,8.0,0.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,1.0,10.0,7.0,70.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
3,Joris Chotard,13.0,fr FRA,"AM,DM",19-120,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,12.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,16.0,62.5,0.0,16.0,1.0,1.0,2.0,233.0,55.0,3.0,5.0,60.0,4.0,5.0,80.0,3.0,6.0,50.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,100.0,0.0,5.0,41.7,5.0,6.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,2.0,11.0,15.0,2.0,0.0,26.0,50.0,1.0,0.0,44.0,17.0,0.0,0.0,2.0,1.0,14.0,12.0,85.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4,Mihailo Ristić,7.0,rs SRB,LM,25-083,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,1.0,2.0,0.0,0.0,0.0,32.0,27.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
5,Dimitry Bertaud,16.0,fr FRA,GK,22-230,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,28.0,60.7,0.0,7.0,0.0,0.0,0.0,922.0,663.0,0.0,0.0,0.0,1.0,1.0,100.0,16.0,27.0,59.3,0.0,2.0,0.0,0.0,9.0,19.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,23.0,0.0,22.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,32.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,57.0,47.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
6,Junior Sambia,6.0,fr FRA,"RM,DM",24-137,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,11.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,80.0,1.0,28.0,3.0,0.0,2.0,214.0,58.0,12.0,12.0,100.0,3.0,5.0,60.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,19.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,2.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,27.3,5.0,5.0,1.0,1.0,0.0,1.0,5.0,2.0,0.0,4.0,17.0,21.0,11.0,1.0,45.0,0.0,1.0,0.0,82.0,52.0,0.0,0.0,2.0,7.0,42.0,25.0,59.5,6.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,8.0,1.0,5.0,16.7
7,Téji Savanier,11.0,fr FRA,"DM,AM",29-031,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,39.0,16.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,29.0,58.6,2.0,17.0,3.0,1.0,2.0,284.0,91.0,9.0,12.0,75.0,6.0,9.0,66.7,2.0,8.0,25.0,0.0,2.0,0.0,0.0,23.0,6.0,2.0,0.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,14.0,4.0,11.0,3.0,24.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,18.8,7.0,8.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,11.0,23.0,6.0,1.0,33.0,50.0,1.0,0.0,99.0,51.0,0.0,0.0,2.0,0.0,39.0,26.0,66.7,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
8,Damien Le Tallec,14.0,fr FRA,DM,30-278,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,73.3,0.0,6.0,1.0,0.0,0.0,226.0,76.0,3.0,3.0,100.0,4.0,6.0,66.7,2.0,4.0,50.0,0.0,1.0,0.0,0.0,14.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.7,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,9.0,8.0,1.0,0.0,17.0,0.0,0.0,0.0,24.0,14.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
9,Stephy Mavididi,19.0,eng ENG,RM,22-236,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,7.0,0.0,0.0,1.0,78.0,11.0,4.0,4.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,9.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,13.0,8.0,61.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,33.3
