,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Kylian Mbappé,7.0,fr FRA,"FW,LW",22-119,90.0,2.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,51.0,11.0,2.0,1.0,1.0,1.5,0.7,0.1,5.0,1.0,17.0,29.0,58.6,1.0,39.0,9.0,4.0,9.0,219.0,61.0,12.0,14.0,85.7,5.0,11.0,45.5,0.0,2.0,0.0,2.0,1.0,1.0,0.0,25.0,4.0,0.0,0.0,5.0,0.0,2.0,4.0,1.0,0.0,0.0,24.0,3.0,2.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,18.2,2.0,2.0,7.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,15.0,38.0,9.0,46.0,44.4,4.0,2.0,249.0,190.0,4.0,1.0,5.0,2.0,46.0,37.0,80.4,14.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0
1,Moise Kean,18.0,it ITA,LW,21-049,67.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,27.0,81.5,2.0,11.0,2.0,1.0,1.0,246.0,34.0,19.0,22.0,86.4,1.0,2.0,50.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,25.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,1.0,2.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,62.5,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,14.0,2.0,30.0,100.0,1.0,0.0,61.0,34.0,0.0,0.0,0.0,3.0,41.0,24.0,58.5,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,Mauro Icardi,9.0,ar ARG,FW,28-058,23.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,6.0,6.0,100.0,0.0,2.0,0.0,0.0,0.0,77.0,0.0,4.0,4.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,26.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
3,Pablo Sarabia,19.0,es ESP,RW,28-342,66.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,32.0,40.0,80.0,4.0,27.0,3.0,1.0,1.0,516.0,190.0,17.0,20.0,85.0,9.0,11.0,81.8,3.0,6.0,50.0,1.0,3.0,2.0,0.0,33.0,7.0,0.0,0.0,4.0,2.0,1.0,4.0,4.0,0.0,0.0,26.0,5.0,9.0,29.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,25.0,3.0,7.0,31.8,3.0,8.0,11.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,5.0,17.0,29.0,2.0,41.0,100.0,1.0,0.0,121.0,70.0,2.0,0.0,0.0,3.0,46.0,32.0,69.6,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
4,Ángel Di María,11.0,ar ARG,RW,33-063,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,6.0,1.0,0.0,0.0,0.0,0.0,0.2,4.0,3.0,14.0,27.0,51.9,2.0,23.0,4.0,4.0,4.0,280.0,122.0,6.0,7.0,85.7,4.0,9.0,44.4,3.0,7.0,42.9,1.0,3.0,2.0,1.0,21.0,6.0,1.0,1.0,5.0,1.0,3.0,4.0,4.0,0.0,0.0,10.0,6.0,11.0,24.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,16.7,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,23.0,1.0,26.0,100.0,4.0,1.0,132.0,73.0,1.0,0.0,1.0,1.0,27.0,24.0,88.9,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,Rafinha,12.0,br BRA,AM,28-065,66.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,79.0,20.0,1.0,0.0,3.0,0.2,0.2,0.0,3.0,0.0,53.0,65.0,81.5,2.0,55.0,10.0,1.0,1.0,885.0,124.0,33.0,36.0,91.7,17.0,23.0,73.9,3.0,5.0,60.0,2.0,6.0,0.0,0.0,63.0,2.0,1.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,51.0,9.0,5.0,60.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,6.0,30.0,2.0,10.0,8.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,45.0,32.0,1.0,77.0,100.0,1.0,0.0,311.0,194.0,2.0,1.0,3.0,2.0,76.0,69.0,90.8,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
6,Marco Verratti,6.0,it ITA,AM,28-164,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,9.0,1.0,0.0,2.0,0.0,0.0,0.1,2.0,0.0,17.0,21.0,81.0,2.0,20.0,3.0,0.0,0.0,337.0,40.0,5.0,5.0,100.0,10.0,13.0,76.9,2.0,2.0,100.0,2.0,2.0,1.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,3.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,22.2,1.0,1.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,11.0,17.0,2.0,29.0,0.0,0.0,0.0,98.0,73.0,2.0,1.0,1.0,1.0,22.0,21.0,95.5,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
7,Ander Herrera,21.0,es ESP,DM,31-247,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,123.0,18.0,2.0,1.0,1.0,0.0,0.0,0.3,5.0,1.0,110.0,115.0,95.7,19.0,83.0,19.0,0.0,0.0,1829.0,629.0,55.0,58.0,94.8,48.0,49.0,98.0,6.0,6.0,100.0,2.0,15.0,4.0,0.0,109.0,6.0,5.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,105.0,5.0,5.0,11.0,101.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,7.0,38.9,5.0,6.0,7.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,16.0,89.0,30.0,1.0,117.0,0.0,0.0,0.0,536.0,374.0,5.0,0.0,1.0,1.0,103.0,101.0,98.1,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
8,Danilo Pereira,15.0,pt POR,DM,29-221,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,96.0,17.0,2.0,0.0,0.0,0.3,0.3,0.0,2.0,1.0,81.0,87.0,93.1,9.0,71.0,9.0,0.0,0.0,1392.0,396.0,39.0,42.0,92.9,37.0,38.0,97.4,5.0,7.0,71.4,0.0,10.0,1.0,0.0,85.0,2.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,76.0,7.0,4.0,4.0,81.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,8.0,47.1,2.0,10.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,14.0,75.0,19.0,2.0,95.0,0.0,0.0,0.0,446.0,232.0,2.0,0.0,1.0,1.0,88.0,80.0,90.9,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,60.0
9,Mitchel Bakker,25.0,nl NED,LB,20-302,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,16.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,67.0,76.0,88.2,4.0,50.0,4.0,2.0,2.0,971.0,243.0,43.0,46.0,93.5,23.0,26.0,88.5,1.0,4.0,25.0,0.0,3.0,0.0,0.0,67.0,9.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,56.0,12.0,8.0,59.0,5.0,2.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,6.0,37.5,6.0,5.0,5.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,15.0,45.0,28.0,0.0,71.0,100.0,2.0,0.0,213.0,68.0,1.0,0.0,0.0,0.0,59.0,54.0,91.5,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,100.0
