,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Donyell Malen,9.0,nl NED,FW,21-277,90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,42.0,9.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,23.0,28.0,82.1,1.0,33.0,3.0,0.0,3.0,282.0,69.0,16.0,19.0,84.2,5.0,7.0,71.4,1.0,1.0,100.0,2.0,1.0,0.0,0.0,26.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,4.0,2.0,2.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,33.3,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,22.0,4.0,40.0,0.0,0.0,0.0,127.0,81.0,1.0,2.0,4.0,2.0,58.0,34.0,58.6,10.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
1,Mohammed Ihattaren,10.0,nl NED,FW,18-253,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,60.0,18.0,2.0,0.0,1.0,0.0,0.0,0.1,5.0,0.0,33.0,50.0,66.0,5.0,46.0,4.0,0.0,1.0,550.0,179.0,16.0,24.0,66.7,15.0,20.0,75.0,2.0,5.0,40.0,2.0,3.0,1.0,1.0,48.0,2.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,5.0,3.0,40.0,8.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,7.0,38.9,2.0,11.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,26.0,29.0,0.0,58.0,0.0,0.0,0.0,146.0,61.0,1.0,0.0,1.0,1.0,54.0,44.0,81.5,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
2,Mauro Júnior,17.0,br BRA,"RM,LM",21-169,72.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,23.0,18.0,4.0,0.0,2.0,0.2,0.2,0.0,0.0,0.0,7.0,10.0,70.0,2.0,13.0,0.0,0.0,2.0,142.0,50.0,2.0,2.0,100.0,5.0,7.0,71.4,0.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,3.0,33.3,2.0,7.0,38.9,8.0,5.0,5.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,15.0,5.0,1.0,22.0,0.0,0.0,0.0,31.0,6.0,0.0,0.0,2.0,2.0,27.0,12.0,44.4,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
3,Chukwunonso Madueke,23.0,eng ENG,RM,18-226,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,4.0,75.0,0.0,6.0,0.0,0.0,1.0,33.0,9.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,7.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,1.0,0.0,6.0,5.0,83.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
4,Jorrit Hendrix,8.0,nl NED,CM,25-259,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,82.0,15.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,57.0,71.0,80.3,3.0,52.0,9.0,0.0,0.0,984.0,300.0,28.0,32.0,87.5,22.0,26.0,84.6,5.0,10.0,50.0,2.0,10.0,1.0,0.0,67.0,4.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,7.0,16.0,55.0,11.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,4.0,50.0,2.0,9.0,60.0,4.0,7.0,4.0,1.0,0.0,2.0,3.0,2.0,0.0,4.0,21.0,50.0,14.0,0.0,80.0,0.0,0.0,0.0,210.0,123.0,0.0,0.0,0.0,3.0,57.0,52.0,91.2,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,20.0,5.0,1.0,83.3
5,Ibrahim Sangaré,6.0,ci CIV,CM,22-325,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,15.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,39.0,50.0,78.0,4.0,44.0,3.0,2.0,2.0,775.0,185.0,11.0,18.0,61.1,20.0,22.0,90.9,7.0,8.0,87.5,0.0,5.0,0.0,0.0,49.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,4.0,6.0,2.0,44.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,7.0,14.3,6.0,4.0,26.7,6.0,6.0,3.0,2.0,0.0,1.0,5.0,5.0,0.0,5.0,22.0,39.0,10.0,0.0,66.0,100.0,2.0,0.0,210.0,138.0,2.0,0.0,0.0,1.0,50.0,41.0,82.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,75.0
6,Mario Götze,27.0,de GER,"RM,LM",28-141,45.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.0,9.0,0.0,0.0,2.0,0.1,0.1,0.2,2.0,0.0,15.0,20.0,75.0,3.0,22.0,3.0,2.0,2.0,174.0,63.0,11.0,13.0,84.6,3.0,4.0,75.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,19.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,3.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,33.3,4.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,16.0,10.0,1.0,25.0,100.0,2.0,0.0,94.0,51.0,1.0,0.0,0.0,1.0,25.0,19.0,76.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
7,Nick Viergever,4.0,nl NED,"LB,LM",31-080,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,25.0,72.0,1.0,17.0,3.0,0.0,0.0,301.0,86.0,9.0,11.0,81.8,7.0,11.0,63.6,2.0,3.0,66.7,0.0,1.0,0.0,0.0,23.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,3.0,6.0,18.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,12.0,14.0,6.0,0.0,28.0,0.0,0.0,0.0,110.0,72.0,1.0,0.0,1.0,0.0,21.0,18.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
8,Philipp Max,31.0,de GER,"LB,LM",27-022,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,24.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,24.0,35.0,68.6,1.0,24.0,5.0,0.0,0.0,426.0,124.0,12.0,15.0,80.0,10.0,14.0,71.4,2.0,6.0,33.3,0.0,1.0,0.0,0.0,29.0,6.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,20.0,2.0,13.0,24.0,4.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,75.0,1.0,6.0,25.0,13.0,10.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,2.0,15.0,20.0,15.0,1.0,40.0,0.0,0.0,0.0,124.0,61.0,3.0,0.0,0.0,0.0,28.0,24.0,85.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,25.0
9,Olivier Boscagli,28.0,fr FRA,CB,22-339,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,42.0,50.0,84.0,1.0,38.0,4.0,0.0,0.0,998.0,332.0,4.0,5.0,80.0,28.0,30.0,93.3,10.0,15.0,66.7,1.0,2.0,0.0,0.0,44.0,6.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,13.0,37.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,100.0,0.0,3.0,50.0,3.0,2.0,1.0,0.0,0.0,1.0,4.0,13.0,0.0,12.0,41.0,29.0,5.0,0.0,63.0,0.0,0.0,0.0,204.0,97.0,2.0,0.0,0.0,0.0,36.0,35.0,97.2,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,57.1
