,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Yussuf Poulsen,9.0,dk DEN,FW,26-187,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,57.1,1.0,9.0,1.0,0.0,1.0,46.0,12.0,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,31.3,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,14.0,0.0,0.0,0.0,20.0,14.0,0.0,0.0,2.0,1.0,22.0,12.0,54.5,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
1,Emil Forsberg,10.0,se SWE,"FW,AM",29-057,45.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,28.0,9.0,1.0,1.0,0.0,0.1,0.1,0.1,3.0,0.0,14.0,18.0,77.8,2.0,21.0,2.0,1.0,3.0,258.0,56.0,7.0,10.0,70.0,5.0,5.0,100.0,2.0,2.0,100.0,2.0,2.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,15.0,2.0,1.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,33.3,2.0,3.0,33.3,0.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,18.0,5.0,27.0,33.3,1.0,0.0,78.0,37.0,1.0,0.0,2.0,3.0,38.0,24.0,63.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
2,Angeliño,3.0,es ESP,"WB,LW",23-350,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,82.0,9.0,1.0,3.0,4.0,0.6,0.6,0.5,7.0,0.0,46.0,66.0,69.7,7.0,54.0,7.0,1.0,3.0,938.0,291.0,16.0,21.0,76.2,25.0,32.0,78.1,5.0,10.0,50.0,6.0,3.0,4.0,3.0,55.0,11.0,4.0,0.0,7.0,1.0,6.0,3.0,2.0,0.0,0.0,35.0,15.0,16.0,52.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,66.7,2.0,5.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,36.0,52.0,8.0,73.0,33.3,1.0,0.0,227.0,117.0,1.0,1.0,1.0,2.0,70.0,55.0,78.6,13.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0
3,Amadou Haidara,8.0,ml MLI,"RW,AM",22-323,61.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,40.0,15.0,6.0,0.0,1.0,0.2,0.2,0.1,4.0,0.0,19.0,28.0,67.9,6.0,24.0,2.0,0.0,2.0,335.0,157.0,9.0,13.0,69.2,7.0,8.0,87.5,2.0,4.0,50.0,1.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,3.0,8.0,5.0,18.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,4.0,2.0,2.0,100.0,0.0,9.0,60.0,0.0,9.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,4.0,17.0,21.0,3.0,40.0,0.0,0.0,0.0,100.0,37.0,1.0,0.0,3.0,0.0,31.0,22.0,71.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,33.3
4,Alexander Sørloth,19.0,no NOR,"FW,AM",25-014,29.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,7.0,9.0,77.8,3.0,4.0,0.0,1.0,1.0,111.0,27.0,3.0,4.0,75.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,14.0,6.0,15.0,100.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,1.0,22.0,13.0,59.1,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,87.5
5,Marcel Sabitzer,7.0,at AUT,AM,26-277,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,81.8,1.0,15.0,1.0,0.0,0.0,311.0,49.0,6.0,8.0,75.0,9.0,9.0,100.0,2.0,2.0,100.0,0.0,2.0,1.0,0.0,21.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,2.0,4.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,9.0,1.0,21.0,0.0,0.0,0.0,76.0,42.0,1.0,0.0,0.0,0.0,27.0,18.0,66.7,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
6,Dani Olmo,25.0,es ESP,AM,22-226,45.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,34.0,9.0,2.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,21.0,28.0,75.0,1.0,22.0,7.0,0.0,0.0,348.0,82.0,7.0,8.0,87.5,8.0,10.0,80.0,3.0,7.0,42.9,1.0,4.0,1.0,1.0,24.0,4.0,1.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,20.0,4.0,4.0,2.0,25.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,33.3,0.0,5.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,17.0,19.0,1.0,30.0,0.0,0.0,0.0,147.0,86.0,2.0,0.0,0.0,0.0,26.0,21.0,80.8,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
7,Kevin Kampl,44.0,si SVN,"CM,DM",30-071,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,12.0,1.0,1.0,3.0,0.4,0.4,0.3,3.0,0.0,40.0,48.0,83.3,4.0,33.0,2.0,1.0,1.0,799.0,166.0,15.0,16.0,93.8,17.0,20.0,85.0,8.0,10.0,80.0,1.0,4.0,1.0,0.0,44.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,32.0,7.0,9.0,4.0,39.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,3.0,25.0,2.0,9.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,5.0,39.0,15.0,1.0,52.0,100.0,1.0,0.0,216.0,94.0,1.0,0.0,0.0,1.0,41.0,37.0,90.2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
8,Dennis Borkowski,41.0,de GER,DM,18-328,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,83.3,0.0,5.0,0.0,0.0,0.0,107.0,0.0,1.0,2.0,50.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,7.0,0.0,0.0,0.0,28.0,4.0,0.0,0.0,1.0,0.0,8.0,7.0,87.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
9,Tyler Adams,14.0,us USA,"DM,CM",21-309,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,11.0,1.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,63.0,73.0,86.3,10.0,54.0,7.0,1.0,1.0,1154.0,319.0,23.0,25.0,92.0,32.0,36.0,88.9,7.0,10.0,70.0,1.0,4.0,2.0,0.0,72.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,6.0,8.0,8.0,57.0,4.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,54.5,3.0,6.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,12.0,60.0,11.0,0.0,77.0,100.0,1.0,0.0,259.0,135.0,2.0,0.0,1.0,0.0,64.0,59.0,92.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,100.0
