,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Antonio Sanabria,19.0,py PAR,FW,24-242,90.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,32.0,10.0,0.0,0.0,0.0,1.2,1.2,0.2,3.0,0.0,16.0,23.0,69.6,1.0,26.0,3.0,1.0,2.0,213.0,20.0,5.0,9.0,55.6,7.0,9.0,77.8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,21.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,3.0,3.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,20.0,7.0,30.0,50.0,2.0,0.0,118.0,50.0,1.0,1.0,2.0,0.0,42.0,26.0,61.9,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,25.0
1,Cristian Tello,11.0,es ESP,LW,29-082,90.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,54.0,15.0,1.0,0.0,2.0,0.5,0.5,0.5,2.0,1.0,38.0,43.0,88.4,6.0,44.0,7.0,3.0,3.0,548.0,182.0,24.0,24.0,100.0,10.0,13.0,76.9,3.0,3.0,100.0,1.0,5.0,2.0,0.0,43.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,37.0,2.0,4.0,13.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,33.3,0.0,7.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,27.0,25.0,7.0,54.0,100.0,3.0,0.0,153.0,85.0,0.0,2.0,2.0,1.0,46.0,40.0,87.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
2,Joaquín,17.0,es ESP,RW,39-103,64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,5.0,1.0,0.0,0.0,0.2,0.2,0.4,5.0,0.0,44.0,48.0,91.7,8.0,40.0,10.0,0.0,1.0,541.0,211.0,27.0,28.0,96.4,13.0,14.0,92.9,0.0,2.0,0.0,2.0,4.0,3.0,0.0,41.0,7.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,43.0,2.0,3.0,0.0,44.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,30.0,3.0,45.0,0.0,0.0,0.0,224.0,152.0,4.0,0.0,0.0,0.0,47.0,41.0,87.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,William Carvalho,14.0,pt POR,CM,28-208,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,47.0,97.9,2.0,42.0,1.0,1.0,1.0,733.0,168.0,26.0,26.0,100.0,16.0,17.0,94.1,3.0,3.0,100.0,0.0,4.0,0.0,0.0,47.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,3.0,0.0,9.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,45.0,5.0,1.0,51.0,100.0,1.0,0.0,179.0,75.0,0.0,0.0,1.0,1.0,44.0,44.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
4,Sergio Canales,10.0,es ESP,CM,29-259,90.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,11.0,2.0,0.0,2.0,0.0,0.0,0.9,6.0,2.0,52.0,59.0,88.1,5.0,50.0,3.0,0.0,0.0,1151.0,241.0,17.0,17.0,100.0,20.0,21.0,95.2,12.0,16.0,75.0,4.0,2.0,3.0,1.0,54.0,5.0,5.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,42.0,5.0,12.0,57.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,6.0,54.5,1.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,38.0,32.0,3.0,65.0,0.0,0.0,0.0,261.0,110.0,3.0,0.0,1.0,3.0,60.0,54.0,90.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
5,Nabil Fekir,8.0,fr FRA,"CM,RW",27-106,80.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,56.0,25.0,1.0,1.0,0.0,1.0,0.2,0.0,4.0,0.0,35.0,42.0,83.3,4.0,51.0,12.0,3.0,3.0,625.0,145.0,16.0,17.0,94.1,10.0,15.0,66.7,6.0,7.0,85.7,1.0,4.0,1.0,0.0,42.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,35.0,2.0,5.0,41.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,32.0,2.0,13.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31.0,30.0,7.0,56.0,100.0,3.0,0.0,237.0,153.0,4.0,1.0,1.0,1.0,51.0,47.0,92.2,6.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0
6,Diego Lainez,20.0,mx MEX,RW,20-145,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,93.3,0.0,15.0,3.0,1.0,1.0,206.0,1.0,10.0,11.0,90.9,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,16.0,100.0,1.0,0.0,171.0,75.0,3.0,0.0,0.0,1.0,16.0,14.0,87.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
7,Guido Rodríguez,21.0,ar ARG,DM,26-203,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,51.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,40.0,95.0,1.0,31.0,2.0,0.0,0.0,876.0,192.0,12.0,13.0,92.3,11.0,11.0,100.0,13.0,14.0,92.9,0.0,3.0,0.0,0.0,38.0,2.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,6.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,6.0,16.7,5.0,12.0,38.7,7.0,22.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,9.0,41.0,3.0,0.0,49.0,0.0,0.0,0.0,155.0,45.0,1.0,0.0,0.0,0.0,26.0,26.0,100.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
8,Álex Moreno,15.0,es ESP,LB,27-146,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,15.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,77.0,90.0,85.6,3.0,73.0,9.0,4.0,4.0,1305.0,482.0,38.0,39.0,97.4,28.0,32.0,87.5,9.0,13.0,69.2,0.0,6.0,2.0,1.0,80.0,10.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,64.0,11.0,15.0,68.0,7.0,4.0,10.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,3.0,66.7,1.0,5.0,33.3,5.0,10.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,3.0,26.0,62.0,17.0,1.0,88.0,100.0,4.0,0.0,379.0,176.0,3.0,1.0,1.0,0.0,65.0,65.0,100.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
9,Marc Bartra,5.0,es ESP,CB,29-291,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,12.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,60.0,91.7,2.0,53.0,6.0,1.0,1.0,1338.0,311.0,8.0,8.0,100.0,29.0,31.0,93.5,17.0,20.0,85.0,0.0,1.0,0.0,0.0,57.0,3.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,5.0,3.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,100.0,0.0,9.0,75.0,3.0,8.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,40.0,29.0,0.0,0.0,61.0,100.0,1.0,0.0,339.0,182.0,0.0,0.0,0.0,0.0,53.0,53.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
