,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Fernando Niño,34.0,es ESP,FW,20-050,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,18.0,9.0,1.0,0.0,1.0,0.3,0.3,0.0,0.0,0.0,10.0,12.0,83.3,0.0,8.0,1.0,0.0,0.0,194.0,10.0,6.0,7.0,85.7,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,33.3,4.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,9.0,2.0,17.0,0.0,0.0,0.0,74.0,23.0,1.0,0.0,1.0,0.0,19.0,11.0,57.9,4.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
1,Yeremi Pino,30.0,es ESP,FW,18-054,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,1.0,0.2,0.2,0.0,1.0,0.0,6.0,8.0,75.0,1.0,10.0,1.0,0.0,0.0,75.0,22.0,4.0,5.0,80.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,1.0,18.0,0.0,0.0,0.0,43.0,26.0,1.0,0.0,1.0,3.0,22.0,14.0,63.6,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,Gerard Moreno,7.0,es ESP,FW,28-250,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,49.0,5.0,0.0,0.0,2.0,0.1,0.1,0.3,1.0,0.0,21.0,36.0,58.3,2.0,25.0,2.0,1.0,1.0,394.0,64.0,9.0,16.0,56.3,6.0,9.0,66.7,4.0,6.0,66.7,1.0,0.0,1.0,1.0,34.0,2.0,0.0,0.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,23.0,5.0,8.0,22.0,11.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,6.0,24.0,23.0,6.0,47.0,100.0,1.0,0.0,108.0,40.0,3.0,0.0,4.0,3.0,49.0,41.0,83.7,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,100.0
3,Manu Trigueros,14.0,es ESP,LM,29-057,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,13.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,34.0,38.0,89.5,5.0,25.0,3.0,1.0,2.0,633.0,156.0,16.0,16.0,100.0,12.0,13.0,92.3,6.0,8.0,75.0,0.0,5.0,0.0,0.0,37.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,5.0,3.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,7.7,9.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,7.0,27.0,15.0,0.0,46.0,50.0,1.0,0.0,102.0,48.0,2.0,0.0,1.0,1.0,42.0,34.0,81.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
4,Takefusa Kubo,16.0,jp JPN,RM,19-192,57.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,6.0,0.0,1.0,0.0,0.4,0.4,0.0,1.0,0.0,16.0,21.0,76.2,5.0,16.0,7.0,1.0,1.0,339.0,124.0,6.0,9.0,66.7,7.0,8.0,87.5,3.0,4.0,75.0,1.0,2.0,1.0,0.0,20.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,13.0,4.0,4.0,19.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,13.0,10.0,3.0,24.0,100.0,1.0,0.0,136.0,95.0,0.0,1.0,1.0,0.0,24.0,20.0,83.3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5,Samuel Chukwueze,11.0,ng NGA,RM,21-205,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,50.0,0.0,5.0,2.0,0.0,1.0,43.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,8.0,0.0,1.0,0.0,67.0,47.0,1.0,1.0,0.0,0.0,10.0,5.0,50.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
6,Vicente Iborra,10.0,es ESP,DM,32-332,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,18.0,20.0,90.0,0.0,12.0,1.0,0.0,0.0,338.0,54.0,6.0,7.0,85.7,9.0,9.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,55.6,2.0,6.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,20.0,3.0,0.0,26.0,0.0,0.0,0.0,28.0,12.0,1.0,0.0,0.0,1.0,19.0,18.0,94.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
7,Francis Coquelin,19.0,fr FRA,DM,29-214,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,81.8,0.0,4.0,0.0,0.0,0.0,165.0,11.0,2.0,2.0,100.0,7.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,7.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,10.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
8,Jaume Costa,21.0,es ESP,DM,32-270,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,81.3,0.0,15.0,0.0,0.0,0.0,235.0,55.0,4.0,4.0,100.0,8.0,8.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,11.0,7.0,1.0,22.0,0.0,0.0,0.0,46.0,16.0,1.0,0.0,1.0,1.0,17.0,14.0,82.4,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
9,Daniel Parejo,5.0,es ESP,DM,31-241,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,99.0,9.0,2.0,1.0,3.0,0.0,0.0,0.3,4.0,1.0,75.0,89.0,84.3,7.0,50.0,5.0,1.0,1.0,1476.0,482.0,32.0,37.0,86.5,31.0,34.0,91.2,12.0,18.0,66.7,3.0,4.0,0.0,0.0,76.0,13.0,5.0,0.0,5.0,4.0,2.0,7.0,4.0,1.0,0.0,69.0,4.0,16.0,14.0,72.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,44.4,4.0,1.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,23.0,56.0,23.0,1.0,86.0,100.0,1.0,0.0,167.0,98.0,1.0,0.0,1.0,1.0,67.0,67.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
