,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Maxi Gómez,22.0,uy URU,FW,24-046,89.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,30.0,16.0,0.0,0.0,1.0,0.8,0.8,0.0,1.0,0.0,8.0,18.0,44.4,1.0,13.0,2.0,1.0,1.0,153.0,42.0,5.0,11.0,45.5,0.0,4.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,7.0,0.0,8.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,1.0,9.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,16.0,12.0,3.0,29.0,100.0,1.0,0.0,49.0,28.0,0.0,0.0,1.0,1.0,33.0,21.0,63.6,4.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,4.0,5.0,7.0,41.7
1,Manu Vallejo,21.0,es ESP,FW,23-228,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,1.0,0.0,0.0,39.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Lee Kangin,20.0,kr KOR,FW,19-223,69.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,25.0,29.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,13.0,17.0,76.5,0.0,16.0,2.0,1.0,1.0,178.0,15.0,9.0,9.0,100.0,4.0,4.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,0.0,12.0,2.0,3.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,13.8,6.0,17.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,15.0,9.0,2.0,20.0,100.0,1.0,0.0,112.0,39.0,1.0,1.0,1.0,3.0,21.0,16.0,76.2,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
3,Kévin Gameiro,9.0,fr FRA,FW,33-143,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,3.0,1.0,0.0,1.0,54.0,43.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,54.5,6.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,20.0,7.0,0.0,0.0,0.0,1.0,11.0,4.0,36.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3
4,Alejandro Blanco,37.0,es ESP,LM,21-288,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,13.0,69.2,0.0,15.0,4.0,0.0,0.0,116.0,33.0,6.0,7.0,85.7,3.0,5.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,33.3,14.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,8.0,8.0,1.0,23.0,0.0,0.0,0.0,92.0,70.0,0.0,0.0,1.0,3.0,21.0,15.0,71.4,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
5,Toni Lato,3.0,es ESP,LB,22-313,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,1.0,0.0,0.0,0.0,68.0,35.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
6,Yunus Musah,30.0,us USA,RM,17-305,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,21.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,16.0,50.0,0.0,11.0,3.0,0.0,1.0,162.0,21.0,2.0,4.0,50.0,6.0,11.0,54.5,0.0,1.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,23.8,7.0,7.0,7.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,8.0,13.0,7.0,1.0,27.0,0.0,0.0,0.0,80.0,54.0,1.0,1.0,0.0,1.0,18.0,13.0,72.2,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
7,Jason,23.0,es ESP,RM,26-085,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,42.9,0.0,5.0,1.0,0.0,0.0,29.0,9.0,3.0,4.0,75.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,0.0,10.0,0.0,0.0,0.0,55.0,23.0,1.0,0.0,0.0,1.0,6.0,6.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
8,Daniel Wass,18.0,dk DEN,DM,31-121,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,58.0,20.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,34.0,45.0,75.6,2.0,29.0,3.0,1.0,1.0,624.0,211.0,15.0,19.0,78.9,12.0,16.0,75.0,6.0,9.0,66.7,1.0,4.0,0.0,0.0,42.0,3.0,3.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,10.0,6.0,8.0,32.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,20.0,4.0,3.0,15.0,9.0,11.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,6.0,20.0,35.0,9.0,0.0,54.0,100.0,1.0,0.0,156.0,76.0,3.0,0.0,0.0,2.0,26.0,25.0,96.2,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,19.0,3.0,4.0,42.9
9,Geoffrey Kondogbia,6.0,cf CTA,DM,27-227,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,37.0,26.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,20.0,24.0,83.3,1.0,22.0,2.0,0.0,1.0,456.0,100.0,10.0,11.0,90.9,5.0,7.0,71.4,5.0,6.0,83.3,0.0,1.0,0.0,0.0,23.0,1.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,6.0,18.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,19.2,10.0,15.0,1.0,0.0,0.0,2.0,4.0,3.0,0.0,4.0,20.0,18.0,3.0,0.0,36.0,0.0,0.0,0.0,200.0,125.0,1.0,0.0,0.0,0.0,19.0,19.0,100.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,25.0
