,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Boulaye Dia,11.0,sn SEN,FW,24-104,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,28.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,18.0,22.0,81.8,2.0,25.0,4.0,1.0,1.0,229.0,21.0,13.0,15.0,86.7,5.0,6.0,83.3,0.0,1.0,0.0,2.0,0.0,2.0,0.0,21.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,31.3,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,20.0,2.0,27.0,100.0,1.0,0.0,134.0,93.0,2.0,0.0,3.0,2.0,58.0,22.0,37.9,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0
1,Moussa Doumbia,25.0,ml MLI,LM,26-197,58.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,30.0,83.3,0.0,33.0,8.0,1.0,1.0,290.0,51.0,18.0,20.0,90.0,3.0,4.0,75.0,1.0,3.0,33.3,0.0,0.0,1.0,1.0,30.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,22.0,2.0,6.0,7.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,3.0,5.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,23.0,16.0,3.0,40.0,100.0,1.0,0.0,180.0,94.0,3.0,2.0,4.0,1.0,35.0,29.0,82.9,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
2,Arber Zeneli,10.0,xk KVX,LM,26-003,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,8.0,13.0,61.5,1.0,20.0,4.0,0.0,3.0,156.0,95.0,3.0,5.0,60.0,4.0,6.0,66.7,1.0,2.0,50.0,1.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,9.0,1.0,3.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,7.0,18.0,5.0,25.0,0.0,0.0,0.0,99.0,78.0,2.0,0.0,2.0,3.0,22.0,18.0,81.8,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,66.7
3,Xavier Chavalerin,7.0,fr FRA,CM,29-358,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,19.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,50.0,84.0,6.0,51.0,5.0,1.0,2.0,857.0,235.0,20.0,22.0,90.9,14.0,15.0,93.3,8.0,12.0,66.7,1.0,5.0,0.0,0.0,50.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,38.0,2.0,10.0,47.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,7.0,36.8,2.0,13.0,4.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,17.0,37.0,12.0,2.0,61.0,50.0,1.0,0.0,243.0,138.0,1.0,0.0,0.0,1.0,49.0,46.0,93.9,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
4,Nathanael Mbuku,21.0,fr FRA,CM,18-349,73.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,18.0,2.0,1.0,1.0,0.2,0.2,0.0,2.0,0.0,18.0,20.0,90.0,3.0,32.0,3.0,2.0,3.0,276.0,76.0,10.0,11.0,90.9,6.0,6.0,100.0,1.0,2.0,50.0,1.0,3.0,1.0,0.0,19.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,27.8,1.0,8.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,21.0,17.0,4.0,37.0,66.7,2.0,0.0,139.0,95.0,2.0,0.0,4.0,3.0,34.0,26.0,76.5,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,100.0
5,Valon Berisha,14.0,xk KVX,CM,28-021,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,13.0,100.0,2.0,12.0,2.0,0.0,0.0,304.0,84.0,3.0,3.0,100.0,7.0,7.0,100.0,3.0,3.0,100.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,10.0,2.0,0.0,16.0,0.0,0.0,0.0,43.0,18.0,0.0,0.0,0.0,0.0,12.0,11.0,91.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
6,Mathieu Cafaro,24.0,fr FRA,RM,23-340,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,71.0,18.0,2.0,2.0,2.0,0.1,0.1,0.1,4.0,0.0,32.0,57.0,56.1,6.0,61.0,9.0,2.0,4.0,710.0,233.0,10.0,17.0,58.8,17.0,22.0,77.3,5.0,16.0,31.3,1.0,3.0,3.0,1.0,51.0,6.0,2.0,0.0,4.0,5.0,4.0,4.0,1.0,3.0,0.0,32.0,8.0,17.0,3.0,52.0,1.0,0.0,0.0,0.0,3.0,4.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,22.2,5.0,8.0,5.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,8.0,35.0,34.0,7.0,66.0,50.0,2.0,0.0,329.0,169.0,5.0,1.0,2.0,2.0,58.0,50.0,86.2,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,100.0
7,Moreto Cassamã,23.0,gw GNB,DM,23-012,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,45.0,86.7,5.0,43.0,4.0,0.0,0.0,861.0,168.0,16.0,16.0,100.0,15.0,17.0,88.2,8.0,12.0,66.7,0.0,3.0,0.0,0.0,45.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,10.0,7.0,38.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,33.3,1.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,12.0,34.0,7.0,0.0,50.0,0.0,0.0,0.0,252.0,108.0,0.0,0.0,1.0,1.0,39.0,37.0,94.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
8,El Bilal Touré,27.0,ml MLI,DM,19-148,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,3.0,1.0,0.0,0.0,43.0,5.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,9.0,9.0,1.0,0.0,0.0,2.0,5.0,4.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
9,Ghislain Konan,3.0,ci CIV,LB,25-063,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,13.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,52.0,82.7,4.0,37.0,3.0,1.0,2.0,737.0,338.0,18.0,20.0,90.0,22.0,28.0,78.6,3.0,4.0,75.0,0.0,1.0,0.0,0.0,37.0,15.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,9.0,12.0,31.0,6.0,1.0,14.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.7,8.0,3.0,2.0,1.0,0.0,1.0,5.0,4.0,0.0,3.0,26.0,26.0,18.0,0.0,49.0,50.0,1.0,0.0,228.0,150.0,2.0,0.0,0.0,0.0,31.0,28.0,90.3,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,3.0,3.0,50.0
