,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Antonino La Gumina,20.0,it ITA,FW,24-288,59.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,22.0,17.0,0.0,1.0,0.0,0.1,0.1,0.0,1.0,1.0,7.0,11.0,63.6,0.0,10.0,3.0,1.0,2.0,119.0,7.0,2.0,6.0,33.3,5.0,5.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.6,0.0,3.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,4.0,20.0,50.0,1.0,0.0,80.0,48.0,1.0,2.0,3.0,1.0,42.0,16.0,38.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,66.7
1,Fabio Quagliarella,27.0,it ITA,FW,37-323,31.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,11.0,0.0,0.0,1.0,0.4,0.4,0.0,1.0,0.0,5.0,8.0,62.5,0.0,7.0,0.0,0.0,0.0,60.0,1.0,4.0,6.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.2,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,14.0,0.0,0.0,0.0,16.0,5.0,1.0,0.0,2.0,1.0,24.0,11.0,45.8,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
2,Valerio Verre,8.0,it ITA,AM,26-343,60.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,14.0,1.0,0.0,0.0,0.1,0.1,0.0,3.0,1.0,16.0,28.0,57.1,1.0,30.0,4.0,0.0,1.0,308.0,38.0,8.0,8.0,100.0,2.0,5.0,40.0,4.0,10.0,40.0,0.0,0.0,1.0,0.0,26.0,2.0,1.0,0.0,9.0,2.0,1.0,1.0,0.0,1.0,0.0,20.0,3.0,5.0,6.0,20.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,14.3,0.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,19.0,26.0,3.0,41.0,0.0,0.0,0.0,135.0,54.0,2.0,0.0,5.0,2.0,49.0,37.0,75.5,9.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
3,Gastón Ramírez,11.0,uy URU,AM,30-017,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,24.0,75.0,2.0,12.0,0.0,0.0,0.0,349.0,127.0,10.0,13.0,76.9,4.0,6.0,66.7,4.0,4.0,100.0,0.0,1.0,0.0,0.0,22.0,2.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,12.0,5.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.2,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,9.0,0.0,23.0,0.0,0.0,0.0,47.0,22.0,0.0,0.0,0.0,0.0,23.0,20.0,87.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0
4,Mikkel Damsgaard,38.0,dk DEN,"LM,RM",20-169,88.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,56.0,28.0,0.0,4.0,0.0,0.6,0.6,0.1,2.0,0.0,30.0,41.0,73.2,4.0,39.0,8.0,2.0,3.0,554.0,193.0,18.0,21.0,85.7,6.0,10.0,60.0,5.0,6.0,83.3,2.0,2.0,1.0,0.0,41.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,9.0,6.0,7.0,31.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,21.4,4.0,11.0,13.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,6.0,26.0,26.0,4.0,56.0,66.7,3.0,0.0,190.0,104.0,1.0,2.0,1.0,6.0,52.0,44.0,84.6,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
5,Antonio Candreva,87.0,it ITA,RM,33-295,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,2.0,1.0,0.0,0.0,50.0,3.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,32.0,5.0,0.0,0.0,0.0,0.0,5.0,3.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Albin Ekdal,6.0,se SWE,CM,31-144,90.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,36.0,3.0,1.0,1.0,0.0,0.0,0.4,1.0,1.0,44.0,51.0,86.3,5.0,28.0,5.0,0.0,0.0,704.0,190.0,20.0,21.0,95.2,22.0,26.0,84.6,1.0,2.0,50.0,1.0,4.0,0.0,0.0,47.0,4.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,9.0,9.0,4.0,38.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,7.0,19.4,8.0,24.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,42.0,13.0,1.0,55.0,0.0,0.0,0.0,210.0,87.0,2.0,0.0,1.0,0.0,42.0,36.0,85.7,3.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,11.0,2.0,0.0,100.0
7,Adrien Silva,5.0,pt POR,CM,31-279,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,37.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,28.0,37.0,75.7,5.0,19.0,0.0,0.0,0.0,487.0,170.0,12.0,15.0,80.0,13.0,15.0,86.7,2.0,4.0,50.0,0.0,4.0,0.0,0.0,37.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,9.0,5.0,28.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,1.0,4.0,25.0,3.0,13.0,35.1,7.0,24.0,6.0,0.0,0.0,2.0,5.0,1.0,0.0,3.0,9.0,33.0,7.0,0.0,48.0,0.0,0.0,0.0,42.0,7.0,0.0,0.0,1.0,1.0,26.0,23.0,88.5,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,33.3
8,Maya Yoshida,22.0,jp JPN,CM,32-117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,3.0,0.0,0.0,0.0,64.0,36.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,37.0,21.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Jakub Jankto,14.0,cz CZE,"LM,RM",24-335,90.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,41.0,19.0,1.0,2.0,2.0,0.5,0.5,0.8,4.0,1.0,20.0,29.0,69.0,1.0,24.0,1.0,0.0,1.0,407.0,214.0,8.0,8.0,100.0,7.0,10.0,70.0,4.0,8.0,50.0,4.0,2.0,0.0,0.0,27.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,18.0,5.0,6.0,27.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,6.0,31.6,4.0,6.0,9.0,0.0,0.0,2.0,3.0,3.0,0.0,3.0,10.0,16.0,17.0,3.0,40.0,0.0,0.0,0.0,116.0,39.0,1.0,0.0,1.0,0.0,34.0,24.0,70.6,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
10,Tommaso Augello,3.0,it ITA,LB,26-111,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,40.0,53.0,75.5,4.0,29.0,5.0,0.0,0.0,658.0,334.0,17.0,20.0,85.0,17.0,21.0,81.0,4.0,8.0,50.0,1.0,1.0,0.0,0.0,40.0,13.0,3.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,28.0,12.0,13.0,40.0,0.0,2.0,10.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,2.0,22.2,3.0,4.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,13.0,25.0,23.0,2.0,44.0,0.0,0.0,0.0,206.0,96.0,4.0,1.0,0.0,0.0,32.0,30.0,93.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
11,Omar Colley,15.0,gm GAM,CB,28-056,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,15.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,28.0,32.0,87.5,6.0,16.0,1.0,0.0,0.0,652.0,248.0,4.0,5.0,80.0,15.0,16.0,93.8,7.0,9.0,77.8,0.0,7.0,0.0,0.0,32.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,10.0,23.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,8.0,53.3,7.0,8.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,15.0,23.0,1.0,1.0,39.0,0.0,0.0,0.0,51.0,13.0,0.0,0.0,1.0,0.0,20.0,19.0,95.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,3.0,40.0
12,Lorenzo Tonelli,21.0,it ITA,CB,30-337,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,15.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,38.0,65.8,1.0,16.0,1.0,0.0,0.0,510.0,98.0,9.0,10.0,90.0,10.0,14.0,71.4,5.0,12.0,41.7,0.0,0.0,0.0,0.0,35.0,3.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,13.0,4.0,25.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,46.7,5.0,9.0,1.0,0.0,0.0,1.0,5.0,3.0,0.0,6.0,26.0,22.0,1.0,0.0,45.0,0.0,0.0,0.0,95.0,44.0,0.0,0.0,1.0,0.0,17.0,17.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,100.0
