,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Francesco Caputo,9.0,it ITA,FW,33-045,90.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,22.0,7.0,1.0,0.0,0.0,1.1,1.1,0.0,3.0,0.0,8.0,10.0,80.0,1.0,17.0,3.0,1.0,1.0,100.0,30.0,5.0,6.0,83.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,42.9,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,13.0,9.0,20.0,100.0,1.0,0.0,62.0,31.0,0.0,1.0,1.0,1.0,27.0,15.0,55.6,9.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
1,Lukáš Haraslín,27.0,sk SVK,LW,24-117,61.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,47.0,15.0,2.0,0.0,0.0,0.4,0.4,0.4,6.0,0.0,24.0,33.0,72.7,3.0,32.0,7.0,2.0,4.0,328.0,94.0,18.0,21.0,85.7,5.0,5.0,100.0,1.0,7.0,14.3,4.0,1.0,2.0,0.0,27.0,6.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,3.0,2.0,20.0,5.0,8.0,3.0,28.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,4.0,26.7,1.0,8.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,20.0,32.0,5.0,41.0,50.0,3.0,0.0,176.0,128.0,2.0,1.0,1.0,2.0,41.0,35.0,85.4,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,Grégoire Defrel,92.0,mq MTQ,LW,29-095,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,15.0,17.0,88.2,3.0,15.0,5.0,0.0,0.0,194.0,39.0,9.0,10.0,90.0,6.0,7.0,85.7,0.0,0.0,0.0,3.0,0.0,3.0,1.0,17.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,14.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,13.0,2.0,19.0,0.0,0.0,0.0,141.0,76.0,3.0,0.0,0.0,0.0,20.0,16.0,80.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
3,Domenico Berardi,25.0,it ITA,RW,26-050,90.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,80.0,7.0,1.0,1.0,0.0,0.2,0.2,0.3,8.0,0.0,63.0,69.0,91.3,12.0,65.0,18.0,2.0,2.0,1158.0,236.0,29.0,29.0,100.0,24.0,26.0,92.3,8.0,11.0,72.7,5.0,3.0,7.0,1.0,65.0,4.0,3.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,55.0,5.0,9.0,63.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.6,2.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,7.0,34.0,47.0,4.0,77.0,100.0,2.0,0.0,486.0,287.0,3.0,2.0,2.0,1.0,74.0,64.0,86.5,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0
4,Filip Đuričić,10.0,rs SRB,AM,28-234,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,15.0,5.0,0.0,0.0,0.0,0.0,0.6,11.0,0.0,29.0,34.0,85.3,5.0,32.0,7.0,0.0,1.0,424.0,111.0,16.0,16.0,100.0,9.0,13.0,69.2,2.0,2.0,100.0,5.0,3.0,1.0,0.0,34.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,5.0,1.0,6.0,26.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,3.0,0.0,2.0,3.0,66.7,1.0,9.0,60.0,3.0,9.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,7.0,20.0,21.0,3.0,44.0,0.0,0.0,0.0,275.0,151.0,4.0,1.0,0.0,4.0,41.0,33.0,80.5,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
5,Kaan Ayhan,5.0,tr TUR,AM,25-315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Manuel Locatelli,73.0,it ITA,DM,22-256,90.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,135.0,13.0,3.0,1.0,2.0,0.2,0.2,0.1,5.0,0.0,106.0,124.0,85.5,10.0,88.0,8.0,3.0,3.0,2071.0,533.0,42.0,44.0,95.5,49.0,58.0,84.5,14.0,18.0,77.8,2.0,15.0,1.0,0.0,115.0,9.0,7.0,0.0,4.0,5.0,2.0,2.0,0.0,1.0,1.0,103.0,8.0,13.0,32.0,91.0,0.0,0.0,1.0,1.0,0.0,9.0,3.0,3.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,30.8,6.0,6.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,4.0,27.0,92.0,23.0,1.0,127.0,100.0,3.0,0.0,424.0,235.0,2.0,0.0,1.0,0.0,116.0,114.0,98.3,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,25.0
7,Pedro Obiang,14.0,gq EQG,DM,28-177,62.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,49.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,37.0,41.0,90.2,0.0,29.0,3.0,0.0,0.0,599.0,70.0,18.0,19.0,94.7,13.0,14.0,92.9,4.0,6.0,66.7,1.0,3.0,0.0,0.0,39.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,3.0,3.0,38.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,12.5,5.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,9.0,37.0,8.0,0.0,47.0,0.0,0.0,0.0,172.0,54.0,1.0,0.0,0.0,1.0,40.0,40.0,100.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
8,Mehdi Bourabia,68.0,ma MAR,DM,29-044,28.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,3.0,2.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,32.0,35.0,91.4,0.0,25.0,3.0,0.0,0.0,581.0,120.0,23.0,24.0,95.8,3.0,4.0,75.0,6.0,6.0,100.0,0.0,5.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,6.0,10.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,2.0,66.7,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,31.0,4.0,0.0,38.0,0.0,0.0,0.0,54.0,31.0,2.0,0.0,0.0,0.0,33.0,32.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
9,Rogério,6.0,br BRA,LB,22-251,61.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,44.0,7.0,3.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,23.0,30.0,76.7,0.0,18.0,4.0,1.0,2.0,385.0,95.0,13.0,15.0,86.7,9.0,11.0,81.8,1.0,3.0,33.3,0.0,3.0,0.0,0.0,27.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,6.0,25.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,50.0,1.0,6.0,85.7,3.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,19.0,18.0,12.0,0.0,42.0,50.0,1.0,0.0,81.0,59.0,2.0,0.0,1.0,3.0,28.0,26.0,92.9,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
