,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Ángel Correa,10.0,ar ARG,FW,25-264,64.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,43.0,12.0,0.0,0.0,1.0,0.1,0.1,0.0,3.0,0.0,25.0,35.0,71.4,2.0,34.0,1.0,0.0,1.0,326.0,39.0,17.0,20.0,85.0,6.0,6.0,100.0,1.0,6.0,16.7,2.0,1.0,1.0,0.0,31.0,4.0,1.0,0.0,6.0,1.0,2.0,2.0,1.0,0.0,0.0,26.0,2.0,7.0,6.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.7,1.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,31.0,9.0,39.0,0.0,0.0,0.0,83.0,33.0,0.0,1.0,3.0,1.0,43.0,32.0,74.4,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
1,Vitolo,20.0,es ESP,FW,31-026,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,0.0,4.0,1.0,0.0,0.0,99.0,1.0,2.0,3.0,66.7,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,8.0,0.0,0.0,0.0,21.0,13.0,0.0,1.0,1.0,0.0,13.0,7.0,53.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
2,Thomas Lemar,11.0,fr FRA,AM,25-016,64.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,55.0,13.0,2.0,0.0,0.0,0.2,0.2,0.2,3.0,0.0,38.0,45.0,84.4,4.0,49.0,3.0,3.0,3.0,602.0,175.0,21.0,23.0,91.3,13.0,15.0,86.7,3.0,5.0,60.0,3.0,3.0,4.0,1.0,44.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,38.0,2.0,5.0,36.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,38.5,1.0,9.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,23.0,32.0,1.0,54.0,100.0,3.0,0.0,250.0,123.0,2.0,0.0,1.0,0.0,49.0,44.0,89.8,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
3,Geoffrey Kondogbia,4.0,cf CTA,"DM,AM",27-287,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,22.0,77.3,0.0,19.0,2.0,0.0,0.0,428.0,38.0,4.0,6.0,66.7,8.0,9.0,88.9,5.0,6.0,83.3,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,1.0,33.3,0.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,21.0,4.0,0.0,28.0,0.0,0.0,0.0,81.0,35.0,1.0,0.0,0.0,0.0,19.0,19.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
4,Marcos Llorente,14.0,es ESP,AM,25-303,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,51.0,29.0,5.0,3.0,2.0,0.1,0.1,0.0,1.0,0.0,33.0,38.0,86.8,0.0,40.0,4.0,1.0,1.0,535.0,99.0,23.0,24.0,95.8,7.0,9.0,77.8,3.0,3.0,100.0,1.0,1.0,1.0,1.0,38.0,0.0,0.0,0.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,32.0,4.0,2.0,6.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,66.7,1.0,6.0,20.7,5.0,17.0,7.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,8.0,23.0,23.0,6.0,51.0,100.0,1.0,0.0,182.0,84.0,2.0,0.0,1.0,0.0,46.0,31.0,67.4,8.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3
5,Saúl Ñíguez,8.0,es ESP,DM,26-007,59.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,55.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,47.0,50.0,94.0,3.0,49.0,5.0,2.0,3.0,856.0,135.0,24.0,25.0,96.0,18.0,18.0,100.0,5.0,7.0,71.4,1.0,6.0,1.0,0.0,50.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,40.0,4.0,6.0,36.0,11.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,12.5,3.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,34.0,15.0,1.0,55.0,66.7,2.0,0.0,254.0,79.0,0.0,0.0,1.0,0.0,45.0,40.0,88.9,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,100.0
6,Yannick Carrasco,21.0,be BEL,"WB,DM",27-085,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,1.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,21.0,27.0,77.8,1.0,27.0,9.0,0.0,1.0,329.0,71.0,14.0,16.0,87.5,6.0,8.0,75.0,1.0,3.0,33.3,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,21.0,2.0,4.0,4.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,60.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,16.0,17.0,4.0,30.0,0.0,0.0,0.0,220.0,136.0,4.0,3.0,1.0,0.0,29.0,25.0,86.2,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
7,Koke,6.0,es ESP,DM,28-325,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0,18.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,80.0,94.0,85.1,6.0,81.0,10.0,0.0,0.0,1363.0,300.0,41.0,44.0,93.2,28.0,33.0,84.8,7.0,11.0,63.6,0.0,8.0,0.0,0.0,89.0,5.0,3.0,0.0,13.0,4.0,2.0,2.0,1.0,0.0,0.0,73.0,8.0,13.0,5.0,86.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,6.0,33.3,3.0,11.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,9.0,64.0,29.0,0.0,96.0,0.0,0.0,0.0,285.0,122.0,0.0,0.0,0.0,0.0,84.0,78.0,92.9,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,25.0
8,Renan Lodi,12.0,br BRA,WB,22-234,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,36.0,86.1,2.0,31.0,8.0,0.0,0.0,442.0,92.0,18.0,18.0,100.0,13.0,14.0,92.9,0.0,3.0,0.0,0.0,1.0,1.0,0.0,33.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,3.0,4.0,31.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,19.0,20.0,3.0,36.0,0.0,0.0,0.0,144.0,94.0,1.0,1.0,0.0,1.0,35.0,33.0,94.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
9,João Félix,7.0,pt POR,"WB,AM",21-018,45.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,30.0,5.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,19.0,22.0,86.4,2.0,25.0,5.0,1.0,2.0,340.0,79.0,13.0,13.0,100.0,3.0,5.0,60.0,3.0,3.0,100.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,3.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,16.0,17.0,1.0,30.0,50.0,1.0,0.0,134.0,78.0,2.0,0.0,1.0,0.0,32.0,23.0,71.9,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,3.0,25.0
