,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Paco Alcácer,17.0,es ESP,FW,27-242,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,2.0,0.0,0.0,0.0,27.0,1.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.5,1.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,41.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,Francis Coquelin,19.0,fr FRA,"FW,CM",29-351,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,1.0,0.0,0.0,0.0,0.0,0.6,3.0,0.0,24.0,25.0,96.0,2.0,19.0,5.0,0.0,0.0,324.0,38.0,16.0,16.0,100.0,8.0,8.0,100.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,1.0,4.0,18.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,17.0,6.0,1.0,26.0,0.0,0.0,0.0,122.0,83.0,2.0,1.0,0.0,0.0,22.0,22.0,100.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
2,Gerard Moreno,7.0,es ESP,FW,29-022,90.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,40.0,17.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,16.0,24.0,66.7,2.0,29.0,1.0,0.0,3.0,320.0,45.0,6.0,8.0,75.0,7.0,9.0,77.8,3.0,3.0,100.0,0.0,2.0,0.0,0.0,23.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,2.0,18.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,6.0,35.3,2.0,9.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,22.0,16.0,7.0,39.0,0.0,0.0,0.0,94.0,37.0,0.0,0.0,3.0,4.0,52.0,35.0,67.3,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,50.0
3,Manu Trigueros,14.0,es ESP,LM,29-194,79.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.0,19.0,4.0,0.0,0.0,0.1,0.1,0.1,2.0,0.0,30.0,34.0,88.2,3.0,28.0,3.0,2.0,2.0,467.0,111.0,18.0,18.0,100.0,10.0,10.0,100.0,2.0,4.0,50.0,1.0,4.0,0.0,0.0,34.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,1.0,8.0,25.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,7.0,36.8,7.0,10.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,23.0,10.0,2.0,37.0,100.0,2.0,0.0,148.0,74.0,1.0,0.0,0.0,0.0,46.0,30.0,65.2,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
4,Moi Gómez,23.0,es ESP,LM,26-310,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,43.0,29.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,5.0,3.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Daniel Parejo,5.0,es ESP,CM,32-013,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,15.0,1.0,1.0,0.0,0.0,0.0,0.3,2.0,0.0,41.0,50.0,82.0,4.0,40.0,3.0,2.0,3.0,944.0,229.0,12.0,13.0,92.3,18.0,20.0,90.0,11.0,16.0,68.8,1.0,5.0,1.0,0.0,43.0,7.0,3.0,0.0,3.0,4.0,1.0,3.0,0.0,2.0,0.0,39.0,4.0,7.0,3.0,44.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,26.7,5.0,4.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,11.0,31.0,17.0,1.0,51.0,66.7,3.0,1.0,160.0,73.0,1.0,0.0,1.0,1.0,40.0,39.0,97.5,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
6,Étienne Capoue,25.0,fr FRA,"CM,FW",32-292,79.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,39.0,16.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,26.0,31.0,83.9,1.0,21.0,1.0,1.0,1.0,459.0,103.0,12.0,14.0,85.7,13.0,16.0,81.3,1.0,1.0,100.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,3.0,3.0,25.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,50.0,1.0,4.0,25.0,10.0,4.0,2.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,14.0,25.0,1.0,0.0,39.0,100.0,1.0,0.0,96.0,37.0,0.0,0.0,0.0,0.0,27.0,26.0,96.3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
7,Samuel Chukwueze,11.0,ng NGA,RM,21-342,90.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,11.0,1.0,0.0,0.0,0.1,0.1,0.3,3.0,1.0,23.0,28.0,82.1,6.0,36.0,7.0,4.0,11.0,345.0,96.0,12.0,14.0,85.7,11.0,14.0,78.6,0.0,0.0,0.0,2.0,0.0,5.0,0.0,26.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,3.0,2.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,5.0,45.5,2.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,14.0,28.0,7.0,37.0,36.4,4.0,0.0,129.0,90.0,1.0,0.0,1.0,2.0,37.0,31.0,83.8,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
8,Alfonso Pedraza,24.0,es ESP,LB,25-020,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,37.0,75.7,1.0,23.0,5.0,0.0,3.0,507.0,215.0,14.0,16.0,87.5,11.0,16.0,68.8,3.0,5.0,60.0,0.0,0.0,0.0,0.0,26.0,11.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,16.0,13.0,8.0,21.0,2.0,3.0,11.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,22.0,15.0,10.0,2.0,34.0,0.0,1.0,0.0,141.0,88.0,1.0,2.0,2.0,0.0,32.0,28.0,87.5,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
9,Alberto Moreno,18.0,es ESP,LB,28-298,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,0.0,4.0,0.0,0.0,0.0,97.0,34.0,3.0,3.0,100.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
