,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Alfreð Finnbogason,27.0,is ISL,FW,31-350,57.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,8.0,14.0,57.1,0.0,10.0,0.0,0.0,1.0,125.0,2.0,5.0,10.0,50.0,3.0,4.0,75.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,2.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,1.0,17.0,0.0,0.0,0.0,25.0,12.0,0.0,0.0,1.0,0.0,19.0,13.0,68.4,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
1,Florian Niederlechner,7.0,de GER,FW,30-084,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,42.9,0.0,6.0,0.0,0.0,0.0,79.0,0.0,0.0,1.0,0.0,2.0,5.0,40.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,22.0,7.0,31.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
2,Ruben Vargas,16.0,ch SUI,LW,22-164,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,89.3,2.0,31.0,2.0,3.0,6.0,428.0,59.0,15.0,16.0,93.8,7.0,8.0,87.5,3.0,4.0,75.0,0.0,1.0,1.0,0.0,28.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,3.0,3.0,23.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,27.3,0.0,8.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,18.0,19.0,2.0,37.0,50.0,3.0,0.0,132.0,20.0,1.0,0.0,3.0,2.0,51.0,31.0,60.8,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,25.0
3,Noah Joel Sarenren Bazee,17.0,ng NGA,"LW,RM",24-148,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,28.6,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,3.0,37.5,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
4,André Hahn,28.0,de GER,RW,30-156,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,24.0,2.0,2.0,2.0,0.2,0.2,0.0,1.0,0.0,18.0,33.0,54.5,0.0,22.0,1.0,1.0,2.0,314.0,28.0,6.0,13.0,46.2,9.0,13.0,69.2,1.0,4.0,25.0,1.0,0.0,1.0,1.0,33.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,7.0,9.0,2.0,24.0,2.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,6.0,25.0,3.0,12.0,9.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,7.0,22.0,16.0,4.0,43.0,50.0,1.0,0.0,144.0,51.0,0.0,0.0,0.0,0.0,52.0,27.0,51.9,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,4.0,1.0,80.0
5,Carlos Gruezo,25.0,ec ECU,DM,25-272,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,33.0,72.7,1.0,17.0,1.0,0.0,0.0,503.0,91.0,11.0,11.0,100.0,6.0,9.0,66.7,7.0,11.0,63.6,0.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,8.0,4.0,25.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,25.0,4.0,5.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,10.0,25.0,5.0,0.0,38.0,0.0,0.0,0.0,87.0,31.0,0.0,0.0,0.0,0.0,24.0,19.0,79.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0
6,Rani Khedira,8.0,de GER,DM,26-355,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,19.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,23.0,31.0,74.2,4.0,19.0,4.0,0.0,0.0,386.0,137.0,11.0,13.0,84.6,10.0,14.0,71.4,2.0,3.0,66.7,0.0,5.0,2.0,1.0,30.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,9.0,10.0,4.0,22.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.6,5.0,9.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,6.0,26.0,9.0,1.0,39.0,0.0,0.0,0.0,83.0,44.0,1.0,0.0,2.0,2.0,30.0,22.0,73.3,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,33.3
7,Tim Civeja,41.0,de GER,"CB,DM",19-012,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Mads Pedersen,3.0,dk DEN,WB,24-137,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,10.0,2.0,2.0,0.0,0.0,0.0,0.3,2.0,0.0,30.0,42.0,71.4,0.0,29.0,1.0,2.0,3.0,568.0,137.0,14.0,15.0,93.3,12.0,18.0,66.7,4.0,8.0,50.0,2.0,0.0,0.0,0.0,31.0,11.0,3.0,0.0,8.0,1.0,1.0,2.0,2.0,0.0,0.0,22.0,7.0,13.0,29.0,3.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,40.0,2.0,5.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,21.0,17.0,1.0,39.0,66.7,2.0,0.0,167.0,61.0,1.0,0.0,2.0,0.0,32.0,28.0,87.5,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3
9,Daniel Caligiuri,20.0,it ITA,WB,33-001,57.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,59.0,10.0,2.0,2.0,0.0,0.0,0.0,0.1,3.0,0.0,41.0,48.0,85.4,3.0,35.0,4.0,3.0,6.0,842.0,321.0,14.0,16.0,87.5,17.0,19.0,89.5,8.0,10.0,80.0,2.0,2.0,0.0,0.0,33.0,15.0,1.0,0.0,14.0,3.0,1.0,2.0,0.0,1.0,1.0,27.0,10.0,11.0,2.0,34.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,40.0,3.0,5.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,8.0,29.0,25.0,2.0,44.0,50.0,3.0,0.0,166.0,82.0,0.0,0.0,1.0,2.0,39.0,33.0,84.6,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
