,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Michail Antonio,30.0,jm JAM,FW,30-358,90.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,37.0,13.0,2.0,1.0,0.0,1.1,1.1,0.4,5.0,3.0,18.0,23.0,78.3,2.0,22.0,3.0,0.0,0.0,276.0,70.0,12.0,16.0,75.0,5.0,5.0,100.0,1.0,1.0,100.0,3.0,1.0,3.0,1.0,23.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,4.0,2.0,2.0,17.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,4.0,30.8,3.0,4.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,11.0,23.0,8.0,37.0,0.0,0.0,0.0,118.0,61.0,0.0,2.0,2.0,3.0,56.0,26.0,46.4,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,7.0,30.0
1,Saïd Benrahma,9.0,dz ALG,LW,25-223,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.0,1.0,1.0,0.0,0.0,0.0,0.9,4.0,1.0,17.0,23.0,73.9,3.0,23.0,4.0,2.0,3.0,239.0,111.0,12.0,16.0,75.0,5.0,6.0,83.3,0.0,1.0,0.0,2.0,3.0,2.0,1.0,23.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,5.0,3.0,4.0,19.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,5.3,9.0,8.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,14.0,18.0,3.0,33.0,66.7,2.0,0.0,131.0,92.0,0.0,1.0,1.0,2.0,31.0,23.0,74.2,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
2,Ryan Fredericks,24.0,eng ENG,LW,28-162,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,1.0,0.0,0.0,8.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,27.0,12.0,1.0,0.0,0.0,0.0,4.0,3.0,75.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Jarrod Bowen,20.0,eng ENG,RW,24-091,73.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,33.0,11.0,1.0,1.0,0.0,0.2,0.2,0.0,1.0,0.0,14.0,21.0,66.7,1.0,19.0,1.0,2.0,3.0,234.0,73.0,8.0,9.0,88.9,5.0,7.0,71.4,1.0,3.0,33.3,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,5.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,18.2,3.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,7.0,7.0,20.0,4.0,33.0,66.7,2.0,0.0,62.0,10.0,1.0,0.0,2.0,2.0,31.0,23.0,74.2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,25.0
4,Mark Noble,16.0,eng ENG,RW,33-317,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,70.0,0.0,5.0,1.0,0.0,0.0,128.0,24.0,3.0,3.0,100.0,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,6.0,2.0,0.0,10.0,0.0,0.0,0.0,44.0,28.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
5,Jesse Lingard,11.0,eng ENG,AM,28-096,90.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,42.0,15.0,1.0,0.0,1.0,0.1,0.1,0.1,4.0,1.0,24.0,32.0,75.0,5.0,34.0,7.0,3.0,5.0,313.0,85.0,14.0,17.0,82.4,8.0,9.0,88.9,0.0,2.0,0.0,1.0,2.0,3.0,0.0,26.0,6.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,23.0,7.0,2.0,2.0,29.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,33.3,5.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,24.0,22.0,5.0,36.0,60.0,3.0,0.0,261.0,222.0,5.0,3.0,0.0,2.0,41.0,27.0,65.9,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
6,Declan Rice,41.0,eng ENG,CM,22-066,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,48.0,10.0,1.0,1.0,3.0,0.1,0.1,0.0,2.0,0.0,29.0,35.0,82.9,0.0,30.0,4.0,0.0,0.0,563.0,113.0,14.0,14.0,100.0,10.0,12.0,83.3,5.0,9.0,55.6,0.0,2.0,0.0,0.0,34.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,3.0,6.0,4.0,30.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,6.0,4.0,0.0,2.0,0.0,1.0,2.0,8.0,0.0,7.0,23.0,19.0,12.0,1.0,47.0,0.0,0.0,0.0,280.0,136.0,2.0,1.0,0.0,0.0,29.0,28.0,96.6,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,100.0
7,Tomáš Souček,28.0,cz CZE,CM,26-022,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,47.0,19.0,4.0,2.0,2.0,0.8,0.8,0.0,2.0,0.0,22.0,33.0,66.7,2.0,17.0,2.0,0.0,0.0,334.0,106.0,9.0,11.0,81.8,8.0,11.0,72.7,2.0,5.0,40.0,0.0,1.0,1.0,0.0,33.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,5.0,3.0,26.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,25.0,3.0,6.0,31.6,9.0,6.0,4.0,2.0,0.0,0.0,6.0,4.0,0.0,4.0,14.0,21.0,13.0,5.0,47.0,0.0,0.0,0.0,76.0,34.0,1.0,0.0,0.0,0.0,31.0,20.0,64.5,1.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,16.0,5.0,4.0,55.6
8,Aaron Cresswell,3.0,eng ENG,LB,31-096,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,40.0,50.0,80.0,8.0,32.0,2.0,0.0,0.0,888.0,453.0,19.0,21.0,90.5,14.0,18.0,77.8,7.0,11.0,63.6,1.0,7.0,1.0,0.0,38.0,12.0,2.0,0.0,4.0,4.0,1.0,2.0,1.0,1.0,0.0,28.0,7.0,15.0,38.0,4.0,0.0,8.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,5.0,3.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,6.0,17.0,26.0,16.0,0.0,45.0,0.0,0.0,0.0,132.0,66.0,0.0,0.0,0.0,0.0,35.0,31.0,88.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
9,Issa Diop,23.0,fr FRA,CB,24-071,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,22.0,81.8,0.0,11.0,0.0,0.0,0.0,402.0,112.0,5.0,6.0,83.3,10.0,12.0,83.3,3.0,3.0,100.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,2.0,4.0,15.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,80.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,15.0,12.0,0.0,0.0,26.0,0.0,0.0,0.0,90.0,27.0,0.0,0.0,0.0,0.0,15.0,15.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,75.0
