,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Jarrod Bowen,20.0,eng ENG,FW,24-057,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,14.0,0.0,0.0,1.0,0.1,0.1,0.0,5.0,2.0,16.0,20.0,80.0,0.0,18.0,2.0,0.0,1.0,271.0,14.0,9.0,13.0,69.2,5.0,5.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,4.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.6,2.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,13.0,13.0,2.0,27.0,0.0,0.0,0.0,65.0,34.0,1.0,1.0,0.0,2.0,41.0,24.0,58.5,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,40.0
1,Jesse Lingard,11.0,eng ENG,"LW,AM",28-062,81.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,56.0,29.0,1.0,1.0,1.0,0.3,0.3,0.0,4.0,1.0,27.0,36.0,75.0,3.0,35.0,5.0,3.0,7.0,427.0,123.0,13.0,15.0,86.7,9.0,9.0,100.0,3.0,7.0,42.9,0.0,5.0,1.0,0.0,33.0,3.0,0.0,0.0,6.0,1.0,1.0,2.0,1.0,1.0,0.0,20.0,7.0,9.0,2.0,33.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,31.0,4.0,19.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,31.0,27.0,5.0,53.0,42.9,3.0,1.0,227.0,172.0,2.0,3.0,2.0,4.0,49.0,43.0,87.8,3.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0
2,Saïd Benrahma,9.0,dz ALG,AM,25-189,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,3.0,4.0,75.0,0.0,4.0,3.0,0.0,0.0,51.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,62.0,51.0,0.0,2.0,0.0,1.0,10.0,4.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
3,Manuel Lanzini,10.0,ar ARG,RW,28-000,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,13.0,1.0,0.0,1.0,0.0,0.0,0.2,4.0,0.0,24.0,26.0,92.3,2.0,24.0,3.0,0.0,0.0,458.0,136.0,12.0,14.0,85.7,10.0,10.0,100.0,2.0,2.0,100.0,3.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,1.0,4.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,30.8,5.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,6.0,17.0,12.0,1.0,33.0,0.0,0.0,0.0,127.0,59.0,2.0,0.0,1.0,1.0,42.0,25.0,59.5,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
4,Mark Noble,16.0,eng ENG,DM,33-283,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,21.0,95.2,0.0,14.0,0.0,0.0,0.0,351.0,101.0,10.0,10.0,100.0,7.0,8.0,87.5,3.0,3.0,100.0,0.0,0.0,0.0,0.0,19.0,2.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,3.0,2.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,16.0,4.0,0.0,21.0,0.0,0.0,0.0,54.0,13.0,0.0,0.0,0.0,0.0,18.0,18.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
5,Declan Rice,41.0,eng ENG,"DM,CM",22-032,90.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,55.0,17.0,2.0,1.0,0.0,0.8,0.1,0.0,2.0,0.0,42.0,47.0,89.4,1.0,36.0,3.0,1.0,1.0,731.0,181.0,20.0,23.0,87.0,18.0,18.0,100.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,46.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,3.0,7.0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,3.0,17.6,6.0,10.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,17.0,34.0,9.0,3.0,52.0,100.0,1.0,0.0,266.0,192.0,1.0,0.0,1.0,1.0,45.0,41.0,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
6,Tomáš Souček,28.0,cz CZE,"DM,CM",25-354,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,9.0,1.0,3.0,2.0,0.0,0.0,0.2,2.0,0.0,39.0,47.0,83.0,2.0,36.0,3.0,1.0,1.0,733.0,141.0,15.0,16.0,93.8,20.0,25.0,80.0,2.0,4.0,50.0,2.0,2.0,1.0,0.0,44.0,3.0,3.0,1.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,33.0,6.0,8.0,8.0,35.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,3.0,3.0,3.0,1.0,0.0,1.0,4.0,4.0,0.0,6.0,18.0,30.0,14.0,2.0,55.0,100.0,1.0,0.0,188.0,88.0,0.0,0.0,1.0,1.0,44.0,36.0,81.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,3.0,66.7
7,Ben Johnson,31.0,eng ENG,WB,21-022,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,36.0,77.8,4.0,36.0,6.0,2.0,2.0,466.0,157.0,16.0,16.0,100.0,9.0,13.0,69.2,2.0,4.0,50.0,1.0,1.0,0.0,0.0,34.0,2.0,1.0,0.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,23.0,7.0,6.0,10.0,22.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,8.3,10.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,12.0,24.0,16.0,0.0,45.0,100.0,2.0,0.0,238.0,164.0,2.0,0.0,1.0,3.0,31.0,30.0,96.8,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,66.7
8,Ryan Fredericks,24.0,eng ENG,WB,28-128,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Vladimír Coufal,5.0,cz CZE,WB,28-177,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,61.0,21.0,3.0,2.0,2.0,0.5,0.5,0.0,1.0,0.0,33.0,48.0,68.8,2.0,33.0,7.0,0.0,1.0,511.0,209.0,21.0,23.0,91.3,10.0,17.0,58.8,2.0,6.0,33.3,0.0,0.0,1.0,0.0,38.0,10.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,10.0,12.0,7.0,29.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,6.0,28.6,10.0,9.0,2.0,0.0,0.0,2.0,5.0,3.0,0.0,4.0,10.0,38.0,17.0,4.0,51.0,0.0,0.0,0.0,235.0,144.0,3.0,2.0,1.0,2.0,38.0,35.0,92.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
10,Aaron Cresswell,3.0,eng ENG,CB,31-062,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,3.0,1.0,0.0,0.0,0.0,0.0,0.2,4.0,2.0,48.0,57.0,84.2,2.0,40.0,4.0,0.0,0.0,955.0,438.0,18.0,18.0,100.0,22.0,23.0,95.7,8.0,15.0,53.3,2.0,5.0,0.0,0.0,47.0,10.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,4.0,0.0,35.0,11.0,11.0,50.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,33.3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,21.0,34.0,12.0,0.0,51.0,0.0,0.0,0.0,187.0,117.0,0.0,0.0,0.0,1.0,41.0,40.0,97.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3
11,Craig Dawson,15.0,eng ENG,CB,30-285,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,8.0,0.0,3.0,0.0,0.1,0.1,0.0,0.0,0.0,33.0,36.0,91.7,0.0,23.0,0.0,0.0,0.0,826.0,168.0,6.0,7.0,85.7,15.0,17.0,88.2,12.0,12.0,100.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,5.0,0.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,6.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,9.0,33.0,11.0,1.0,1.0,44.0,0.0,0.0,0.0,95.0,45.0,0.0,0.0,0.0,0.0,28.0,28.0,100.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,8.0,5.0,2.0,71.4
