,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Moanes Dabbur,10.0,il ISR,FW,28-178,90.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,57.0,27.0,2.0,0.0,0.0,0.9,0.1,0.0,2.0,0.0,27.0,40.0,67.5,4.0,38.0,6.0,1.0,3.0,481.0,237.0,12.0,18.0,66.7,12.0,15.0,80.0,2.0,2.0,100.0,0.0,4.0,3.0,2.0,38.0,2.0,0.0,1.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,26.0,9.0,5.0,2.0,32.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,29.6,3.0,16.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,23.0,28.0,9.0,53.0,33.3,1.0,0.0,167.0,93.0,0.0,1.0,2.0,4.0,49.0,39.0,79.6,13.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,10.0,4.0,1.0,80.0
1,Ishak Belfodil,19.0,dz ALG,FW,28-301,58.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.3,0.3,0.0,2.0,0.0,8.0,15.0,53.3,0.0,22.0,3.0,5.0,5.0,96.0,0.0,4.0,7.0,57.1,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,16.0,6.0,24.0,100.0,5.0,0.0,88.0,54.0,1.0,2.0,4.0,1.0,30.0,19.0,63.3,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,Mijat Gaćinović,20.0,rs SRB,FW,25-274,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,5.0,0.0,0.0,1.0,0.1,0.1,0.1,1.0,0.0,10.0,16.0,62.5,2.0,8.0,1.0,0.0,1.0,145.0,57.0,5.0,11.0,45.5,4.0,4.0,100.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,15.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,2.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,3.0,20.0,0.0,1.0,0.0,16.0,12.0,0.0,0.0,0.0,2.0,14.0,13.0,92.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
3,Florian Grillitsch,11.0,at AUT,CM,25-093,58.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,20.0,1.0,0.0,2.0,0.1,0.1,0.2,1.0,0.0,17.0,27.0,63.0,2.0,18.0,1.0,0.0,1.0,322.0,95.0,3.0,6.0,50.0,12.0,13.0,92.3,1.0,2.0,50.0,1.0,0.0,3.0,2.0,24.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,3.0,5.0,4.0,18.0,3.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,30.0,3.0,8.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,19.0,15.0,3.0,33.0,0.0,0.0,0.0,94.0,50.0,1.0,0.0,2.0,0.0,26.0,21.0,80.8,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,25.0
4,Sargis Adamyan,23.0,am ARM,CM,27-169,32.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,21.0,2.0,0.0,0.0,1.0,0.4,0.4,0.0,1.0,0.0,9.0,13.0,69.2,2.0,10.0,0.0,0.0,0.0,117.0,26.0,6.0,9.0,66.7,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,18.0,8.0,21.0,0.0,0.0,0.0,61.0,12.0,2.0,0.0,2.0,0.0,20.0,16.0,80.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
5,Christoph Baumgartner,14.0,at AUT,CM,21-099,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,61.0,26.0,2.0,0.0,0.0,0.1,0.1,0.2,4.0,0.0,32.0,44.0,72.7,4.0,40.0,10.0,1.0,2.0,546.0,187.0,15.0,17.0,88.2,13.0,21.0,61.9,3.0,4.0,75.0,2.0,2.0,2.0,2.0,40.0,4.0,1.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,27.0,9.0,8.0,7.0,33.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,11.0,42.3,5.0,15.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,34.0,30.0,8.0,56.0,50.0,1.0,0.0,270.0,199.0,5.0,1.0,5.0,2.0,45.0,40.0,88.9,6.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,50.0
6,Diadie Samassékou,18.0,ml MLI,DM,24-302,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,19.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,28.0,36.0,77.8,3.0,23.0,0.0,1.0,1.0,532.0,107.0,11.0,14.0,78.6,12.0,15.0,80.0,5.0,7.0,71.4,0.0,5.0,0.0,0.0,35.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,5.0,5.0,28.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,100.0,0.0,7.0,36.8,2.0,15.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,10.0,29.0,7.0,0.0,44.0,100.0,1.0,0.0,59.0,22.0,0.0,0.0,1.0,2.0,25.0,21.0,84.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,1.0,2.0,33.3
7,Ihlas Bebou,9.0,tg TOG,DM,26-199,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,8.0,87.5,1.0,5.0,0.0,0.0,0.0,92.0,33.0,5.0,5.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,0.0,9.0,0.0,0.0,0.0,18.0,7.0,0.0,0.0,0.0,1.0,7.0,7.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
8,Ryan Sessegnon,17.0,eng ENG,WB,20-174,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,20.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,49.0,74.0,66.2,10.0,42.0,5.0,0.0,0.0,1025.0,544.0,12.0,16.0,75.0,28.0,40.0,70.0,8.0,13.0,61.5,0.0,7.0,1.0,0.0,57.0,17.0,2.0,0.0,11.0,2.0,4.0,0.0,0.0,0.0,0.0,37.0,18.0,19.0,45.0,10.0,2.0,15.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,50.0,8.0,9.0,3.0,0.0,0.0,7.0,2.0,1.0,0.0,3.0,23.0,40.0,24.0,4.0,66.0,0.0,0.0,0.0,292.0,181.0,3.0,1.0,0.0,1.0,44.0,41.0,93.2,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,66.7
9,Sebastian Rudy,16.0,de GER,WB,30-254,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,67.0,24.0,2.0,0.0,2.0,0.0,0.0,0.2,6.0,0.0,42.0,59.0,71.2,2.0,33.0,2.0,1.0,2.0,850.0,247.0,17.0,20.0,85.0,14.0,19.0,73.7,10.0,14.0,71.4,4.0,3.0,3.0,3.0,46.0,13.0,2.0,0.0,9.0,2.0,7.0,6.0,4.0,1.0,0.0,29.0,15.0,15.0,5.0,45.0,2.0,5.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,10.0,41.7,4.0,13.0,7.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,10.0,33.0,26.0,4.0,54.0,50.0,1.0,0.0,111.0,47.0,1.0,0.0,2.0,1.0,41.0,39.0,95.1,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,50.0
