,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Jeong Woo-yeong,29.0,kr KOR,FW,22-047,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,77.8,1.0,19.0,3.0,3.0,3.0,175.0,30.0,8.0,8.0,100.0,5.0,9.0,55.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,1.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,12.0,2.0,22.0,100.0,3.0,0.0,105.0,79.0,1.0,0.0,1.0,3.0,36.0,20.0,55.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,33.3
1,Kevin Schade,20.0,de GER,"FW,RM",19-344,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,16.0,43.8,1.0,10.0,3.0,1.0,1.0,81.0,44.0,6.0,10.0,60.0,1.0,2.0,50.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,1.0,9.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,28.6,1.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,6.0,10.0,3.0,18.0,100.0,1.0,0.0,132.0,84.0,1.0,2.0,0.0,1.0,22.0,10.0,45.5,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7
2,Vincenzo Grifo,32.0,it ITA,"AM,LM",28-213,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,55.0,19.0,0.0,2.0,0.0,0.2,0.2,0.1,3.0,1.0,34.0,46.0,73.9,5.0,39.0,5.0,1.0,1.0,597.0,197.0,17.0,19.0,89.5,12.0,18.0,66.7,5.0,8.0,62.5,2.0,4.0,2.0,0.0,40.0,6.0,2.0,0.0,4.0,0.0,3.0,2.0,2.0,0.0,0.0,29.0,7.0,10.0,3.0,39.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,21.1,2.0,7.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,29.0,22.0,2.0,49.0,100.0,1.0,0.0,197.0,110.0,1.0,1.0,4.0,2.0,55.0,40.0,72.7,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
3,Lucas Höler,9.0,de GER,"AM,FW",27-119,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,47.0,22.0,6.0,1.0,2.0,0.2,0.2,0.0,0.0,0.0,21.0,32.0,65.6,3.0,25.0,2.0,0.0,1.0,290.0,83.0,15.0,22.0,68.2,4.0,7.0,57.1,1.0,1.0,100.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,7.0,3.0,18.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,50.0,1.0,8.0,36.4,2.0,11.0,9.0,0.0,0.0,2.0,7.0,0.0,0.0,2.0,8.0,16.0,25.0,1.0,47.0,0.0,0.0,0.0,147.0,68.0,1.0,0.0,2.0,3.0,68.0,31.0,45.6,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,5.0,61.5
4,Nicolas Höfler,27.0,de GER,DM,31-242,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,21.0,3.0,1.0,0.0,0.2,0.2,0.0,1.0,0.0,27.0,33.0,81.8,7.0,23.0,0.0,0.0,1.0,408.0,158.0,17.0,19.0,89.5,9.0,11.0,81.8,1.0,2.0,50.0,1.0,2.0,1.0,0.0,33.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,5.0,7.0,20.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,66.7,1.0,8.0,38.1,8.0,7.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,10.0,25.0,8.0,1.0,43.0,0.0,0.0,0.0,88.0,37.0,0.0,0.0,1.0,1.0,22.0,19.0,86.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,100.0
5,Maximilian Eggestein,8.0,de GER,DM,24-333,72.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,11.0,4.0,2.0,3.0,0.1,0.1,0.0,1.0,0.0,13.0,21.0,61.9,3.0,19.0,1.0,0.0,1.0,174.0,53.0,9.0,12.0,75.0,4.0,7.0,57.1,0.0,2.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0,5.0,5.0,13.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,5.0,40.0,3.0,4.0,36.4,4.0,3.0,4.0,1.0,0.0,2.0,6.0,3.0,0.0,4.0,13.0,10.0,13.0,3.0,35.0,0.0,0.0,0.0,49.0,23.0,0.0,1.0,0.0,0.0,25.0,19.0,76.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
6,Janik Haberer,19.0,de GER,DM,27-218,18.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,2.0,0.0,1.0,3.0,0.2,0.2,0.0,1.0,0.0,5.0,8.0,62.5,2.0,7.0,2.0,0.0,0.0,115.0,84.0,1.0,1.0,100.0,3.0,4.0,75.0,1.0,2.0,50.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,3.0,7.0,1.0,13.0,0.0,0.0,0.0,37.0,26.0,1.0,0.0,0.0,0.0,6.0,6.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
7,Christian Günter,30.0,de GER,"WB,LB",28-251,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,9.0,1.0,1.0,2.0,0.0,0.0,0.2,4.0,0.0,31.0,48.0,64.6,3.0,33.0,7.0,4.0,4.0,507.0,238.0,13.0,16.0,81.3,16.0,21.0,76.2,2.0,9.0,22.2,3.0,3.0,1.0,0.0,40.0,8.0,2.0,0.0,6.0,3.0,3.0,2.0,1.0,1.0,0.0,25.0,11.0,12.0,36.0,7.0,1.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,1.0,5.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,5.0,12.0,29.0,22.0,2.0,47.0,100.0,4.0,0.0,181.0,125.0,7.0,0.0,0.0,2.0,38.0,32.0,84.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
8,Lukas Kübler,17.0,de GER,WB,29-068,79.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,39.0,11.0,2.0,2.0,1.0,0.2,0.2,0.0,0.0,0.0,20.0,32.0,62.5,1.0,18.0,3.0,0.0,0.0,312.0,117.0,11.0,14.0,78.6,7.0,12.0,58.3,1.0,3.0,33.3,0.0,2.0,0.0,0.0,31.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,6.0,6.0,2.0,25.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,36.4,4.0,4.0,3.0,0.0,0.0,1.0,4.0,2.0,0.0,3.0,9.0,13.0,17.0,4.0,38.0,0.0,0.0,0.0,99.0,44.0,0.0,0.0,0.0,0.0,26.0,25.0,96.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,75.0
9,Kiliann Sildillia,25.0,fr FRA,RB,19-174,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,1.0,11.0,14.0,78.6,0.0,8.0,3.0,0.0,0.0,225.0,99.0,2.0,2.0,100.0,5.0,6.0,83.3,3.0,4.0,75.0,1.0,0.0,1.0,1.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,50.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,6.0,5.0,0.0,10.0,0.0,0.0,0.0,64.0,34.0,1.0,0.0,0.0,0.0,6.0,5.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
