,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Robert Lewandowski,9.0,pl POL,FW,33-077,90.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,28.0,7.0,0.0,1.0,0.0,1.4,1.4,0.1,4.0,0.0,11.0,15.0,73.3,1.0,20.0,2.0,2.0,3.0,175.0,34.0,5.0,8.0,62.5,6.0,7.0,85.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,28.6,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,19.0,9.0,28.0,66.7,2.0,0.0,118.0,65.0,2.0,1.0,2.0,2.0,53.0,24.0,45.3,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,40.0
1,Leroy Sané,10.0,de GER,LW,25-299,83.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,42.0,9.0,1.0,1.0,0.0,0.5,0.5,0.4,6.0,1.0,26.0,29.0,89.7,3.0,31.0,4.0,2.0,4.0,477.0,105.0,13.0,15.0,86.7,7.0,8.0,87.5,5.0,5.0,100.0,2.0,1.0,2.0,0.0,29.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,2.0,24.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,1.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,24.0,17.0,5.0,41.0,50.0,2.0,0.0,151.0,135.0,3.0,1.0,2.0,3.0,46.0,36.0,78.3,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
2,Eric Maxim Choupo-Moting,13.0,cm CMR,LW,32-228,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,5.0,0.0,1.0,1.0,59.0,27.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,5.0,100.0,1.0,1.0,28.0,19.0,0.0,0.0,0.0,0.0,5.0,2.0,40.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
3,Kingsley Coman,11.0,fr FRA,RW,25-146,65.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,45.0,10.0,0.0,1.0,0.0,0.3,0.3,0.0,1.0,0.0,29.0,35.0,82.9,5.0,36.0,11.0,1.0,1.0,542.0,182.0,13.0,13.0,100.0,12.0,16.0,75.0,4.0,5.0,80.0,1.0,1.0,4.0,2.0,35.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,25.0,2.0,8.0,6.0,26.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,20.0,23.0,7.0,45.0,100.0,1.0,0.0,274.0,170.0,2.0,1.0,2.0,1.0,51.0,38.0,74.5,9.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
4,Serge Gnabry,7.0,de GER,RW,26-115,25.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,20.0,3.0,1.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,10.0,16.0,62.5,1.0,18.0,7.0,1.0,1.0,159.0,47.0,4.0,6.0,66.7,6.0,8.0,75.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,14.0,7.0,1.0,20.0,100.0,1.0,0.0,227.0,181.0,3.0,0.0,1.0,1.0,20.0,19.0,95.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,Thomas Müller,25.0,de GER,AM,32-054,70.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,11.0,2.0,0.0,1.0,0.1,0.1,0.6,9.0,1.0,39.0,54.0,72.2,9.0,33.0,5.0,0.0,0.0,674.0,203.0,18.0,23.0,78.3,17.0,24.0,70.8,4.0,7.0,57.1,3.0,2.0,6.0,2.0,51.0,3.0,0.0,1.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,33.0,9.0,12.0,9.0,40.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,45.5,2.0,7.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,29.0,29.0,6.0,60.0,0.0,0.0,0.0,108.0,73.0,0.0,1.0,4.0,2.0,59.0,51.0,86.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,25.0
6,Jamal Musiala,42.0,de GER,AM,18-253,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,10.0,1.0,1.0,0.0,0.1,0.1,0.1,1.0,0.0,9.0,9.0,100.0,1.0,15.0,1.0,1.0,4.0,133.0,30.0,7.0,7.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,6.0,2.0,16.0,25.0,1.0,0.0,58.0,45.0,0.0,1.0,1.0,1.0,20.0,12.0,60.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
7,Leon Goretzka,8.0,de GER,DM,26-273,70.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,50.0,11.0,1.0,1.0,1.0,0.9,0.9,0.1,6.0,1.0,35.0,40.0,87.5,0.0,24.0,3.0,0.0,0.0,571.0,159.0,12.0,13.0,92.3,17.0,19.0,89.5,2.0,4.0,50.0,3.0,2.0,0.0,0.0,40.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8.0,4.0,1.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,27.3,4.0,5.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,13.0,25.0,15.0,5.0,50.0,0.0,0.0,0.0,111.0,49.0,1.0,0.0,0.0,2.0,39.0,37.0,94.9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,66.7
8,Corentin Tolisso,24.0,fr FRA,DM,27-095,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,16.0,17.0,94.1,3.0,14.0,2.0,0.0,0.0,266.0,99.0,6.0,6.0,100.0,10.0,10.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,6.0,0.0,17.0,0.0,0.0,0.0,65.0,28.0,1.0,0.0,1.0,0.0,14.0,13.0,92.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
9,Joshua Kimmich,6.0,de GER,DM,26-271,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,114.0,19.0,2.0,2.0,0.0,0.2,0.2,0.2,4.0,0.0,88.0,101.0,87.1,16.0,64.0,8.0,0.0,0.0,1975.0,701.0,32.0,33.0,97.0,34.0,39.0,87.2,22.0,29.0,75.9,3.0,14.0,3.0,0.0,87.0,14.0,5.0,1.0,7.0,6.0,1.0,6.0,3.0,1.0,0.0,72.0,10.0,19.0,18.0,76.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,36.8,7.0,10.0,2.0,0.0,0.0,0.0,4.0,5.0,1.0,9.0,35.0,61.0,25.0,5.0,101.0,0.0,0.0,0.0,371.0,220.0,2.0,1.0,0.0,1.0,77.0,77.0,100.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
