,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Jamie Leweling,40.0,de GER,FW,20-359,61.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,19.0,17.0,0.0,2.0,0.0,0.5,0.5,0.0,1.0,0.0,3.0,6.0,50.0,1.0,11.0,3.0,0.0,1.0,55.0,20.0,1.0,1.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.4,2.0,13.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,11.0,7.0,1.0,18.0,0.0,0.0,0.0,109.0,72.0,2.0,1.0,5.0,1.0,29.0,13.0,44.8,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7
1,Maximilian Bauer,4.0,de GER,"DM,CB",22-011,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,3.0,0.0,0.0,0.0,63.0,23.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,5.0,8.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
2,Branimir Hrgota,10.0,se SWE,FW,29-039,68.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,21.0,15.0,1.0,0.0,1.0,0.3,0.3,0.0,2.0,1.0,6.0,10.0,60.0,1.0,14.0,0.0,1.0,3.0,125.0,82.0,2.0,3.0,66.7,3.0,4.0,75.0,1.0,2.0,50.0,1.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,4.0,26.7,4.0,9.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,10.0,6.0,2.0,21.0,33.3,1.0,1.0,91.0,15.0,0.0,0.0,3.0,1.0,32.0,13.0,40.6,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
3,Afimico Pululu,9.0,fr FRA,FW,22-334,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,6.0,2.0,1.0,2.0,72.0,26.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,5.0,50.0,1.0,0.0,33.0,30.0,1.0,0.0,0.0,1.0,7.0,4.0,57.1,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4,Jeremy Dudziak,28.0,tn TUN,AM,26-176,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,3.0,0.0,0.0,1.0,35.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,40.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,66.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
5,Håvard Nielsen,16.0,no NOR,"AM,FW",28-220,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,14.0,57.1,0.0,15.0,1.0,1.0,4.0,87.0,27.0,5.0,7.0,71.4,2.0,6.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,5.0,50.0,7.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,13.0,6.0,1.0,22.0,25.0,1.0,0.0,62.0,44.0,0.0,0.0,1.0,1.0,30.0,16.0,53.3,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,60.0
6,Timothy Tillman,21.0,de GER,"CM,AM,DM",23-047,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,15.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0,18.0,55.6,1.0,20.0,3.0,3.0,4.0,167.0,61.0,5.0,5.0,100.0,4.0,5.0,80.0,1.0,6.0,16.7,0.0,1.0,0.0,0.0,17.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,2.0,3.0,5.0,11.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,100.0,0.0,6.0,40.0,8.0,6.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,15.0,9.0,6.0,0.0,27.0,75.0,3.0,1.0,90.0,56.0,0.0,0.0,2.0,0.0,18.0,13.0,72.2,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
7,Paul Seguin,33.0,de GER,CM,26-328,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,21.0,2.0,5.0,1.0,0.0,0.0,0.2,2.0,0.0,21.0,28.0,75.0,5.0,17.0,1.0,0.0,0.0,357.0,162.0,8.0,8.0,100.0,9.0,12.0,75.0,2.0,4.0,50.0,2.0,1.0,2.0,1.0,24.0,4.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,4.0,5.0,2.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,4.0,50.0,2.0,4.0,19.0,10.0,10.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,7.0,25.0,7.0,0.0,31.0,0.0,0.0,0.0,95.0,55.0,1.0,0.0,1.0,1.0,21.0,16.0,76.2,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
8,Julian Green,37.0,us USA,"CM,AM",26-259,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,42.9,1.0,4.0,2.0,0.0,0.0,102.0,49.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,6.0,33.3,0.0,0.0,1.0,1.0,3.0,4.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,33.3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,6.0,0.0,0.0,0.0,50.0,25.0,1.0,0.0,0.0,0.0,4.0,3.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
9,Max Christiansen,13.0,de GER,"DM,CM",25-148,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,11.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,69.6,1.0,15.0,0.0,0.0,0.0,352.0,146.0,6.0,7.0,85.7,6.0,10.0,60.0,3.0,5.0,60.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,11.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,3.0,3.0,100.0,0.0,3.0,27.3,5.0,6.0,0.0,1.0,0.0,3.0,9.0,5.0,0.0,7.0,22.0,17.0,5.0,0.0,43.0,0.0,0.0,0.0,65.0,40.0,0.0,0.0,1.0,1.0,14.0,14.0,100.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,100.0
