,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Anthony Modeste,27.0,fr FRA,FW,33-130,75.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,26.0,22.0,1.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,14.0,18.0,77.8,1.0,11.0,2.0,1.0,1.0,302.0,35.0,5.0,5.0,100.0,5.0,8.0,62.5,4.0,4.0,100.0,0.0,1.0,0.0,0.0,14.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,2.0,2.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,2.0,9.1,3.0,10.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,18.0,8.0,2.0,22.0,100.0,1.0,0.0,39.0,14.0,1.0,0.0,1.0,0.0,44.0,18.0,40.9,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,57.1
1,Tim Lemperle,25.0,de GER,FW,19-198,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,2.0,6.0,1.0,0.0,2.0,91.0,29.0,2.0,2.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,9.0,0.0,0.0,0.0,37.0,24.0,1.0,0.0,1.0,0.0,11.0,6.0,54.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,Mark Uth,13.0,de GER,FW,29-363,65.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,32.0,25.0,0.0,4.0,2.0,0.4,0.4,0.2,8.0,0.0,12.0,17.0,70.6,3.0,18.0,3.0,1.0,3.0,293.0,105.0,3.0,5.0,60.0,5.0,6.0,83.3,4.0,6.0,66.7,2.0,3.0,0.0,0.0,15.0,2.0,0.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,7.0,6.0,4.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,2.0,12.0,11.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,15.0,13.0,3.0,30.0,33.3,1.0,0.0,79.0,29.0,0.0,1.0,4.0,0.0,33.0,21.0,63.6,4.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
3,Ondrej Duda,18.0,sk SVK,"CM,AM,FW",26-260,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,82.6,0.0,21.0,1.0,1.0,2.0,331.0,61.0,10.0,11.0,90.9,6.0,8.0,75.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,21.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,4.0,2.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,15.0,10.0,1.0,26.0,50.0,1.0,0.0,135.0,10.0,0.0,0.0,1.0,2.0,24.0,22.0,91.7,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
4,Dejan Ljubicic,7.0,at AUT,AM,23-318,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,24.0,1.0,1.0,3.0,0.0,0.0,0.1,2.0,0.0,14.0,25.0,56.0,3.0,22.0,4.0,1.0,1.0,234.0,75.0,5.0,6.0,83.3,9.0,12.0,75.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,2.0,0.0,24.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,20.8,5.0,13.0,6.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,13.0,18.0,6.0,1.0,33.0,100.0,1.0,0.0,171.0,84.0,2.0,0.0,0.0,1.0,23.0,16.0,69.6,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
5,Louis Schaub,21.0,at AUT,"AM,CM",26-236,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,71.4,1.0,14.0,3.0,1.0,1.0,136.0,21.0,6.0,9.0,66.7,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,66.7,1.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,2.0,15.0,100.0,1.0,0.0,70.0,40.0,1.0,1.0,1.0,0.0,15.0,11.0,73.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
6,Florian Kainz,11.0,at AUT,CM,28-302,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,13.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,17.0,31.0,54.8,2.0,23.0,2.0,2.0,3.0,393.0,151.0,4.0,5.0,80.0,4.0,8.0,50.0,7.0,14.0,50.0,1.0,1.0,0.0,0.0,28.0,3.0,2.0,0.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,19.0,3.0,9.0,12.0,19.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,100.0,0.0,6.0,46.2,3.0,7.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11.0,24.0,9.0,1.0,37.0,66.7,2.0,0.0,131.0,53.0,1.0,0.0,1.0,0.0,30.0,23.0,76.7,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
7,Sebastian Andersson,9.0,se SWE,FW,30-038,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,5.0,1.0,1.0,2.0,60.0,3.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,9.0,50.0,1.0,0.0,25.0,22.0,1.0,0.0,2.0,0.0,12.0,8.0,66.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8,Jan Thielmann,29.0,de GER,CM,19-088,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,29.0,3.0,3.0,3.0,0.1,0.1,0.1,3.0,1.0,29.0,43.0,67.4,7.0,36.0,3.0,0.0,0.0,506.0,194.0,11.0,12.0,91.7,15.0,18.0,83.3,2.0,6.0,33.3,1.0,3.0,0.0,0.0,42.0,1.0,0.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,22.0,12.0,9.0,2.0,37.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,6.0,20.7,8.0,14.0,7.0,1.0,0.0,2.0,6.0,1.0,0.0,2.0,12.0,32.0,19.0,1.0,56.0,0.0,0.0,0.0,196.0,129.0,2.0,0.0,4.0,2.0,43.0,34.0,79.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,50.0
9,Ellyes Skhiri,28.0,tn TUN,DM,26-104,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,20.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,44.0,93.2,2.0,31.0,2.0,2.0,3.0,802.0,139.0,16.0,17.0,94.1,19.0,19.0,100.0,6.0,7.0,85.7,0.0,2.0,0.0,0.0,42.0,2.0,2.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,5.0,8.0,1.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,50.0,1.0,9.0,45.0,11.0,8.0,1.0,0.0,0.0,1.0,8.0,2.0,0.0,7.0,26.0,30.0,3.0,0.0,56.0,66.7,2.0,0.0,138.0,53.0,0.0,0.0,1.0,2.0,30.0,28.0,93.3,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,100.0
