,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Jamie Leweling,40.0,de GER,FW,21-007,66.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,23.0,22.0,0.0,1.0,0.0,0.1,0.1,0.0,2.0,0.0,8.0,13.0,61.5,0.0,14.0,1.0,0.0,0.0,107.0,0.0,6.0,9.0,66.7,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.7,0.0,2.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,10.0,11.0,4.0,22.0,0.0,0.0,0.0,75.0,12.0,0.0,0.0,2.0,3.0,31.0,18.0,58.1,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0
1,Dickson Abiama,11.0,ng NGA,FW,23-122,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,4.0,0.0,0.0,0.0,29.0,0.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,2.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,10.0,5.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Branimir Hrgota,10.0,se SWE,"FW,AM",29-052,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,43.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,22.0,81.8,2.0,32.0,2.0,0.0,3.0,233.0,66.0,12.0,15.0,80.0,4.0,5.0,80.0,1.0,1.0,100.0,1.0,2.0,1.0,1.0,21.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,4.0,3.0,16.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,7.0,36.8,2.0,8.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,18.0,25.0,6.0,42.0,0.0,0.0,0.0,98.0,27.0,0.0,0.0,4.0,7.0,42.0,33.0,78.6,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0
3,Jeremy Dudziak,28.0,tn TUN,AM,26-189,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,10.0,2.0,0.0,0.0,0.5,0.5,0.0,2.0,0.0,11.0,15.0,73.3,2.0,12.0,1.0,0.0,0.0,190.0,43.0,4.0,5.0,80.0,5.0,6.0,83.3,1.0,3.0,33.3,0.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,9.0,10.0,1.0,21.0,0.0,0.0,0.0,32.0,16.0,0.0,0.0,0.0,3.0,16.0,13.0,81.3,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
4,Håvard Nielsen,16.0,no NOR,"AM,CM",28-233,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,23.0,78.3,2.0,17.0,2.0,0.0,0.0,250.0,88.0,11.0,13.0,84.6,6.0,7.0,85.7,1.0,1.0,100.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,4.0,4.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,16.0,9.0,3.0,27.0,0.0,0.0,0.0,59.0,19.0,1.0,1.0,1.0,0.0,21.0,19.0,90.5,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,50.0
5,Timothy Tillman,21.0,de GER,CM,23-060,81.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,57.0,18.0,0.0,3.0,1.0,0.1,0.1,0.1,4.0,0.0,28.0,44.0,63.6,3.0,43.0,2.0,3.0,3.0,590.0,205.0,11.0,15.0,73.3,12.0,14.0,85.7,4.0,11.0,36.4,2.0,2.0,2.0,1.0,36.0,8.0,2.0,0.0,7.0,4.0,3.0,5.0,4.0,1.0,0.0,26.0,6.0,12.0,10.0,32.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,44.4,7.0,7.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,12.0,30.0,19.0,3.0,48.0,100.0,3.0,0.0,166.0,46.0,1.0,0.0,6.0,2.0,41.0,36.0,87.8,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0
6,Julian Green,37.0,us USA,CM,26-272,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,1.0,7.0,1.0,0.0,0.0,63.0,19.0,1.0,1.0,100.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,9.0,0.0,0.0,0.0,26.0,24.0,1.0,0.0,0.0,0.0,6.0,5.0,83.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
7,Paul Seguin,33.0,de GER,"CM,DM",26-341,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,27.0,6.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,37.0,53.0,69.8,6.0,39.0,1.0,1.0,2.0,633.0,193.0,18.0,24.0,75.0,14.0,18.0,77.8,5.0,6.0,83.3,0.0,4.0,0.0,0.0,52.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,9.0,15.0,6.0,35.0,11.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,1.0,3.0,2.0,1.0,6.0,16.7,5.0,10.0,37.0,10.0,13.0,4.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,17.0,40.0,16.0,0.0,68.0,50.0,1.0,0.0,173.0,49.0,0.0,0.0,2.0,4.0,44.0,44.0,100.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0
8,Max Christiansen,13.0,de GER,DM,25-161,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,10.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,41.0,87.8,5.0,24.0,0.0,0.0,0.0,641.0,233.0,12.0,13.0,92.3,18.0,19.0,94.7,3.0,6.0,50.0,0.0,0.0,0.0,0.0,39.0,2.0,1.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,16.0,2.0,30.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,40.0,5.0,5.0,0.0,0.0,0.0,4.0,5.0,5.0,0.0,7.0,26.0,28.0,2.0,0.0,52.0,0.0,0.0,0.0,108.0,55.0,0.0,0.0,0.0,1.0,26.0,25.0,96.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,7.0,3.0,70.0
9,Afimico Pululu,9.0,fr FRA,FW,22-347,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,100.0,0.0,7.0,0.0,1.0,1.0,65.0,14.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,1.0,8.0,100.0,1.0,0.0,25.0,4.0,0.0,0.0,1.0,1.0,7.0,6.0,85.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
