,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Robert Lewandowski,9.0,pl POL,FW,33-105,90.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,36.0,14.0,1.0,1.0,2.0,1.1,0.4,0.0,7.0,1.0,17.0,25.0,68.0,4.0,31.0,4.0,4.0,4.0,207.0,69.0,14.0,17.0,82.4,3.0,6.0,50.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,25.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,7.0,3.0,3.0,17.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.6,2.0,4.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,15.0,21.0,9.0,35.0,100.0,4.0,0.0,87.0,49.0,2.0,2.0,1.0,2.0,40.0,28.0,70.0,9.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,33.3
1,Leroy Sané,10.0,de GER,LW,25-327,64.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,32.0,21.0,3.0,1.0,0.0,0.4,0.4,0.2,4.0,0.0,17.0,21.0,81.0,4.0,24.0,3.0,2.0,2.0,267.0,62.0,7.0,10.0,70.0,9.0,10.0,90.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,21.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,100.0,0.0,6.0,28.6,2.0,11.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,18.0,16.0,4.0,31.0,100.0,2.0,0.0,122.0,79.0,2.0,0.0,3.0,1.0,31.0,21.0,67.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2,Serge Gnabry,7.0,de GER,"LW,RW",26-143,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,62.5,1.0,10.0,3.0,0.0,0.0,151.0,14.0,3.0,5.0,60.0,6.0,7.0,85.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,11.0,2.0,3.0,5.0,8.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,30.0,4.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,8.0,9.0,0.0,15.0,0.0,0.0,0.0,84.0,48.0,1.0,0.0,0.0,0.0,15.0,12.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Kingsley Coman,11.0,fr FRA,RW,25-174,87.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,43.0,17.0,1.0,2.0,2.0,0.3,0.3,0.0,2.0,0.0,23.0,32.0,71.9,1.0,38.0,8.0,2.0,2.0,348.0,88.0,12.0,15.0,80.0,8.0,9.0,88.9,2.0,3.0,66.7,0.0,1.0,1.0,1.0,32.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0,9.0,5.0,9.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.9,4.0,9.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,18.0,26.0,9.0,43.0,100.0,2.0,0.0,211.0,135.0,2.0,3.0,2.0,2.0,44.0,35.0,79.5,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
4,Nianzou Kouassi,23.0,fr FRA,DM,19-180,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,2.0,6.0,0.0,0.0,0.0,95.0,53.0,3.0,4.0,75.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,8.0,1.0,0.0,12.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,1.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0
5,Thomas Müller,25.0,de GER,AM,32-082,90.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,66.0,24.0,1.0,1.0,2.0,0.1,0.1,0.3,4.0,1.0,41.0,55.0,74.5,5.0,41.0,10.0,2.0,2.0,614.0,200.0,21.0,24.0,87.5,17.0,21.0,81.0,2.0,7.0,28.6,3.0,3.0,2.0,0.0,44.0,11.0,1.0,0.0,12.0,3.0,1.0,4.0,1.0,2.0,1.0,30.0,13.0,12.0,8.0,39.0,3.0,3.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,33.3,4.0,11.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,6.0,36.0,30.0,5.0,55.0,100.0,2.0,0.0,158.0,116.0,3.0,2.0,1.0,4.0,57.0,47.0,82.5,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,50.0
6,Corentin Tolisso,24.0,fr FRA,DM,27-123,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,33.0,2.0,1.0,2.0,0.1,0.1,0.0,1.0,0.0,55.0,66.0,83.3,12.0,49.0,3.0,0.0,0.0,985.0,278.0,29.0,31.0,93.5,20.0,24.0,83.3,6.0,9.0,66.7,0.0,6.0,1.0,0.0,65.0,1.0,1.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,49.0,9.0,8.0,11.0,48.0,5.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,4.0,50.0,2.0,9.0,27.3,12.0,20.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,5.0,14.0,48.0,15.0,0.0,73.0,0.0,0.0,0.0,240.0,138.0,0.0,0.0,1.0,0.0,50.0,49.0,98.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,100.0
7,Leon Goretzka,8.0,de GER,DM,26-301,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,16.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,38.0,44.0,86.4,6.0,32.0,0.0,1.0,2.0,622.0,211.0,19.0,21.0,90.5,14.0,15.0,93.3,4.0,6.0,66.7,0.0,5.0,2.0,0.0,44.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,12.0,3.0,36.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,5.0,9.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,9.0,32.0,10.0,1.0,51.0,50.0,1.0,0.0,43.0,16.0,0.0,0.0,1.0,1.0,36.0,34.0,94.4,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,100.0
8,Jamal Musiala,42.0,de GER,"DM,LW",18-281,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,0.0,12.0,1.0,0.0,2.0,98.0,5.0,3.0,5.0,60.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,8.0,0.0,13.0,0.0,0.0,1.0,48.0,17.0,1.0,0.0,1.0,1.0,13.0,12.0,92.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
9,Alphonso Davies,19.0,ca CAN,LB,21-032,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,21.0,1.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,35.0,45.0,77.8,3.0,43.0,10.0,4.0,8.0,464.0,127.0,23.0,23.0,100.0,11.0,15.0,73.3,1.0,4.0,25.0,1.0,1.0,2.0,0.0,35.0,10.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,9.0,5.0,32.0,4.0,0.0,9.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,8.0,38.1,10.0,4.0,7.0,0.0,0.0,5.0,5.0,0.0,0.0,4.0,21.0,30.0,20.0,3.0,50.0,50.0,5.0,0.0,267.0,223.0,5.0,3.0,1.0,1.0,37.0,31.0,83.8,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
