,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Stevan Jovetić,19.0,me MNE,FW,32-102,90.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,56.0,10.0,1.0,0.0,0.0,0.8,0.8,0.4,5.0,0.0,29.0,43.0,67.4,8.0,37.0,5.0,0.0,0.0,460.0,172.0,19.0,25.0,76.0,6.0,9.0,66.7,3.0,4.0,75.0,3.0,1.0,4.0,0.0,42.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,9.0,3.0,33.0,4.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,20.0,2.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,23.0,31.0,9.0,54.0,0.0,0.0,0.0,148.0,110.0,3.0,1.0,1.0,1.0,57.0,43.0,75.4,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,100.0
1,Ishak Belfodil,14.0,dz ALG,FW,30-031,67.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,33.0,7.0,0.0,0.0,0.0,0.1,0.1,0.0,5.0,0.0,21.0,26.0,80.8,1.0,30.0,3.0,4.0,5.0,295.0,64.0,15.0,15.0,100.0,5.0,7.0,71.4,1.0,1.0,100.0,1.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,4.0,2.0,2.0,22.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,24.0,4.0,31.0,80.0,4.0,0.0,93.0,33.0,0.0,0.0,1.0,2.0,42.0,28.0,66.7,10.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,40.0
2,Davie Selke,7.0,de GER,FW,27-023,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,1.0,0.1,0.1,0.2,1.0,0.0,4.0,7.0,57.1,0.0,7.0,0.0,0.0,0.0,28.0,2.0,3.0,3.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,10.0,3.0,13.0,0.0,0.0,0.0,14.0,9.0,0.0,0.0,2.0,2.0,16.0,8.0,50.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,66.7
3,Myziane Maolida,11.0,fr FRA,LM,22-363,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,18.0,25.0,72.0,2.0,26.0,3.0,2.0,3.0,234.0,90.0,11.0,14.0,78.6,7.0,10.0,70.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,25.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,3.0,2.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,27.3,5.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,12.0,13.0,0.0,28.0,66.7,2.0,0.0,209.0,151.0,1.0,0.0,1.0,0.0,26.0,22.0,84.6,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
4,Marco Richter,23.0,de GER,RM,24-080,45.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0.3,0.3,0.0,3.0,0.0,14.0,16.0,87.5,2.0,20.0,2.0,1.0,2.0,202.0,64.0,10.0,11.0,90.9,2.0,2.0,100.0,1.0,2.0,50.0,1.0,1.0,1.0,0.0,15.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,1.0,13.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,6.0,25.0,50.0,1.0,0.0,60.0,32.0,0.0,2.0,1.0,2.0,24.0,20.0,83.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,20.0
5,Suat Serdar,8.0,de GER,"RM,LM",24-307,80.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,38.0,15.0,0.0,2.0,1.0,0.1,0.1,0.1,3.0,0.0,18.0,24.0,75.0,4.0,35.0,2.0,2.0,4.0,233.0,80.0,9.0,10.0,90.0,6.0,7.0,85.7,0.0,1.0,0.0,2.0,0.0,3.0,0.0,22.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,1.0,3.0,19.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,1.0,8.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,16.0,22.0,2.0,37.0,50.0,2.0,0.0,149.0,91.0,2.0,0.0,2.0,6.0,42.0,30.0,71.4,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
6,Lee Dongjun,30.0,kr KOR,LM,25-011,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.2,0.2,0.0,1.0,1.0,1.0,2.0,50.0,0.0,3.0,1.0,0.0,0.0,22.0,7.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,14.0,13.0,0.0,0.0,1.0,0.0,4.0,3.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Vladimír Darida,6.0,cz CZE,DM,31-188,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,66.0,18.0,1.0,2.0,0.0,0.1,0.1,0.5,5.0,1.0,43.0,60.0,71.7,1.0,45.0,4.0,0.0,0.0,860.0,302.0,18.0,21.0,85.7,16.0,20.0,80.0,8.0,15.0,53.3,3.0,4.0,1.0,1.0,49.0,11.0,3.0,0.0,10.0,3.0,4.0,7.0,2.0,3.0,2.0,33.0,7.0,20.0,10.0,47.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,16.7,6.0,9.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,10.0,25.0,34.0,1.0,55.0,0.0,0.0,0.0,170.0,83.0,0.0,0.0,0.0,0.0,52.0,42.0,80.8,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,100.0
8,Lucas Tousart,29.0,fr FRA,DM,24-289,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,63.0,27.0,3.0,2.0,1.0,0.2,0.2,0.1,2.0,0.0,38.0,48.0,79.2,5.0,42.0,4.0,1.0,2.0,866.0,288.0,9.0,11.0,81.8,18.0,20.0,90.0,9.0,12.0,75.0,1.0,10.0,1.0,1.0,46.0,2.0,2.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,9.0,9.0,2.0,41.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,50.0,1.0,13.0,48.1,9.0,9.0,9.0,1.0,0.0,0.0,5.0,4.0,0.0,4.0,21.0,33.0,12.0,2.0,62.0,50.0,1.0,0.0,345.0,112.0,1.0,0.0,1.0,0.0,41.0,35.0,85.4,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,13.0,5.0,2.0,71.4
9,Maximilian Mittelstädt,17.0,de GER,LB,24-331,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,21.0,4.0,4.0,3.0,0.0,0.0,0.3,5.0,0.0,62.0,80.0,77.5,13.0,63.0,9.0,1.0,2.0,1280.0,702.0,22.0,27.0,81.5,29.0,33.0,87.9,10.0,15.0,66.7,3.0,9.0,2.0,2.0,67.0,13.0,0.0,0.0,12.0,2.0,4.0,1.0,0.0,1.0,0.0,47.0,19.0,14.0,54.0,11.0,1.0,12.0,1.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,0.0,1.0,4.0,25.0,3.0,5.0,23.8,15.0,2.0,4.0,1.0,0.0,2.0,8.0,0.0,0.0,4.0,29.0,53.0,28.0,2.0,83.0,50.0,1.0,0.0,507.0,347.0,4.0,1.0,2.0,0.0,60.0,54.0,90.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,100.0
