,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Erling Haaland,9.0,no NOR,FW,21-185,62.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,26.0,11.0,0.0,0.0,0.0,0.9,0.9,0.0,1.0,1.0,11.0,16.0,68.8,0.0,10.0,1.0,0.0,2.0,113.0,19.0,8.0,10.0,80.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,8.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,15.0,8.0,3.0,24.0,0.0,1.0,0.0,22.0,7.0,0.0,0.0,1.0,2.0,33.0,18.0,54.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
1,Axel Witsel,28.0,be BEL,DM,33-010,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,66.7,1.0,12.0,3.0,0.0,0.0,102.0,26.0,5.0,8.0,62.5,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,42.9,1.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,13.0,3.0,0.0,18.0,0.0,0.0,0.0,91.0,52.0,1.0,0.0,2.0,0.0,15.0,12.0,80.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
2,Donyell Malen,21.0,nl NED,"LW,FW",23-003,82.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,14.0,0.0,2.0,0.0,0.0,0.0,1.4,2.0,2.0,22.0,28.0,78.6,1.0,18.0,3.0,0.0,0.0,278.0,86.0,13.0,15.0,86.7,7.0,10.0,70.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,26.0,2.0,0.0,1.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,20.0,7.0,1.0,4.0,23.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.1,0.0,6.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,22.0,12.0,4.0,34.0,0.0,0.0,0.0,81.0,55.0,0.0,1.0,1.0,2.0,38.0,28.0,73.7,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
3,Youssoufa Moukoko,18.0,de GER,FW,17-063,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,12.0,4.0,33.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
4,Marco Reus,11.0,de GER,RW,32-236,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.0,22.0,0.0,1.0,3.0,0.5,0.5,0.0,0.0,0.0,25.0,31.0,80.6,1.0,27.0,2.0,1.0,2.0,320.0,77.0,17.0,19.0,89.5,5.0,5.0,100.0,2.0,4.0,50.0,0.0,4.0,0.0,0.0,30.0,1.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,1.0,6.0,5.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,40.9,0.0,15.0,7.0,1.0,0.0,2.0,1.0,3.0,0.0,5.0,14.0,22.0,10.0,2.0,43.0,50.0,1.0,0.0,115.0,58.0,1.0,0.0,2.0,2.0,46.0,28.0,60.9,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0
5,Jude Bellingham,22.0,eng ENG,"CM,LW,DM",18-207,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,34.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,29.0,35.0,82.9,2.0,30.0,2.0,0.0,0.0,505.0,113.0,10.0,12.0,83.3,16.0,17.0,94.1,2.0,5.0,40.0,0.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0,3.0,5.0,26.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,4.0,50.0,2.0,2.0,5.9,6.0,21.0,7.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,14.0,31.0,8.0,1.0,52.0,0.0,0.0,0.0,124.0,44.0,0.0,0.0,3.0,1.0,47.0,37.0,78.7,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,40.0
6,Julian Brandt,19.0,de GER,CM,25-265,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,14.0,2.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,17.0,28.0,60.7,1.0,17.0,1.0,0.0,0.0,274.0,72.0,5.0,9.0,55.6,6.0,8.0,75.0,2.0,6.0,33.3,1.0,1.0,0.0,0.0,26.0,2.0,1.0,0.0,10.0,1.0,3.0,1.0,1.0,0.0,0.0,17.0,6.0,5.0,4.0,21.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,3.0,21.4,3.0,7.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,15.0,12.0,1.0,33.0,0.0,0.0,0.0,51.0,20.0,0.0,0.0,2.0,1.0,33.0,28.0,84.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
7,Thorgan Hazard,10.0,be BEL,WB,28-299,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,59.1,1.0,9.0,0.0,1.0,1.0,230.0,61.0,6.0,8.0,75.0,4.0,9.0,44.4,1.0,3.0,33.3,0.0,1.0,0.0,0.0,17.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,11.0,2.0,9.0,2.0,15.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,33.3,2.0,6.0,40.0,6.0,9.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,11.0,16.0,3.0,0.0,24.0,100.0,1.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,14.0,9.0,64.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
8,Mahmoud Dahoud,8.0,de GER,DM,26-021,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,30.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,31.0,37.0,83.8,3.0,21.0,1.0,0.0,0.0,535.0,158.0,14.0,15.0,93.3,12.0,14.0,85.7,3.0,5.0,60.0,1.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,7.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,9.0,30.0,9.0,20.0,1.0,1.0,0.0,2.0,5.0,2.0,0.0,4.0,12.0,31.0,5.0,0.0,46.0,0.0,0.0,0.0,151.0,45.0,1.0,0.0,1.0,0.0,34.0,28.0,82.4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
9,Raphaël Guerreiro,13.0,pt POR,"LB,WB",28-031,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,15.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,58.0,73.0,79.5,6.0,51.0,2.0,1.0,1.0,954.0,438.0,26.0,30.0,86.7,28.0,32.0,87.5,3.0,7.0,42.9,0.0,4.0,1.0,0.0,63.0,10.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,9.0,18.0,59.0,3.0,4.0,6.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,2.0,50.0,1.0,2.0,13.3,7.0,6.0,2.0,0.0,0.0,1.0,9.0,0.0,0.0,3.0,39.0,40.0,7.0,1.0,73.0,100.0,1.0,0.0,172.0,85.0,1.0,0.0,0.0,1.0,55.0,51.0,92.7,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
