,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Alexander Isak,19.0,se SWE,FW,22-156,89.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,24.0,0.0,1.0,0.0,0.2,0.2,0.1,4.0,0.0,12.0,20.0,60.0,0.0,18.0,3.0,1.0,1.0,199.0,15.0,7.0,11.0,63.6,4.0,6.0,66.7,1.0,2.0,50.0,2.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,3.0,2.0,12.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,0.0,4.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,15.0,17.0,5.0,28.0,100.0,1.0,0.0,93.0,45.0,1.0,0.0,3.0,4.0,40.0,22.0,55.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,50.0
1,Naïs Djouahra,37.0,fr FRA,FW,22-093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,1.0,12.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Mikel Oyarzabal,10.0,es ESP,"LM,LW",24-309,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,22.0,2.0,0.0,2.0,0.0,0.0,0.4,3.0,1.0,12.0,17.0,70.6,1.0,19.0,1.0,1.0,1.0,212.0,56.0,7.0,10.0,70.0,3.0,4.0,75.0,2.0,2.0,100.0,2.0,0.0,1.0,0.0,16.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,12.0,2.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,36.4,1.0,4.0,17.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,15.0,13.0,2.0,27.0,100.0,1.0,0.0,102.0,25.0,1.0,0.0,4.0,2.0,31.0,17.0,54.8,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,66.7
3,Martín Zubimendi,3.0,es ESP,"CM,DM",23-022,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,63.0,24.0,3.0,4.0,1.0,0.3,0.3,0.0,1.0,0.0,40.0,51.0,78.4,6.0,37.0,7.0,1.0,1.0,731.0,190.0,16.0,19.0,84.2,18.0,22.0,81.8,5.0,6.0,83.3,0.0,3.0,1.0,0.0,51.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,6.0,8.0,10.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,29.2,8.0,16.0,0.0,0.0,0.0,1.0,7.0,3.0,0.0,2.0,16.0,40.0,10.0,2.0,63.0,100.0,1.0,0.0,240.0,160.0,1.0,0.0,0.0,1.0,50.0,40.0,80.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,100.0
4,Rafinha,17.0,br BRA,"CM,DM",29-012,83.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,43.0,95.3,3.0,37.0,3.0,0.0,1.0,652.0,104.0,20.0,21.0,95.2,20.0,21.0,95.2,1.0,1.0,100.0,0.0,1.0,1.0,0.0,42.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,6.0,1.0,35.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,22.7,5.0,16.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,14.0,36.0,7.0,1.0,53.0,0.0,1.0,0.0,184.0,94.0,0.0,1.0,1.0,2.0,42.0,41.0,97.6,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
5,Alexander Sørloth,23.0,no NOR,FW,26-081,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,3.0,3.0,100.0,0.0,3.0,0.0,0.0,0.0,35.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Portu,7.0,es ESP,RM,29-279,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,5.0,0.0,0.0,1.0,32.0,0.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.3,4.0,3.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,9.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,14.0,6.0,42.9,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7,Adnan Januzaj,11.0,be BEL,"RW,RM",27-019,29.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,24.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,40.0,2.0,18.0,3.0,1.0,2.0,163.0,67.0,0.0,1.0,0.0,4.0,5.0,80.0,2.0,8.0,25.0,0.0,1.0,0.0,0.0,8.0,7.0,4.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,8.0,1.0,6.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,13.0,0.0,19.0,50.0,1.0,1.0,72.0,39.0,0.0,0.0,1.0,3.0,19.0,17.0,89.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,Robin Le Normand,24.0,fr FRA,DM,25-105,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,53.0,54.0,98.1,0.0,47.0,0.0,0.0,0.0,1235.0,179.0,12.0,12.0,100.0,30.0,30.0,100.0,11.0,12.0,91.7,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,2.0,3.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,43.0,28.0,1.0,1.0,60.0,0.0,0.0,0.0,307.0,213.0,0.0,0.0,0.0,0.0,55.0,55.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,66.7
9,David Silva,21.0,es ESP,"AM,DM",36-047,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,76.5,3.0,16.0,4.0,0.0,0.0,195.0,95.0,10.0,11.0,90.9,2.0,3.0,66.7,1.0,2.0,50.0,0.0,4.0,2.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,3.0,0.0,19.0,0.0,0.0,0.0,86.0,40.0,0.0,0.0,0.0,1.0,12.0,12.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
