player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ollie Watkins,FW,24-362,90.0,0.0,1.0,0.0,0.0,10.0,3.0,0.0,0.0,37.0,5.0,0.0,0.0,0.0,1.5,1.5,0.2,9.0,3.0,18.0,22.0,81.8,1.0,19.0,7.0,0.0,0.0,260.0,47.0,11.0,12.0,91.7,6.0,6.0,100.0,1.0,2.0,50.0,3.0,2.0,2.0,1.0,22.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,6.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,12.0,37.0,0.0,0.0,0.0,149.0,95.0,1.0,3.0,2.0,1.0,64.0,31.0,48.4,12.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,6.0,7.0,46.2
Anwar El Ghazi,"LW,RW",25-237,85.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,52.0,9.0,0.0,1.0,1.0,0.6,0.6,0.5,6.0,0.0,24.0,41.0,58.5,0.0,40.0,10.0,5.0,6.0,351.0,74.0,14.0,19.0,73.7,6.0,8.0,75.0,2.0,9.0,22.2,2.0,0.0,1.0,1.0,39.0,2.0,1.0,0.0,8.0,2.0,5.0,1.0,1.0,0.0,0.0,23.0,8.0,10.0,6.0,30.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,11.1,6.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,17.0,37.0,6.0,51.0,83.3,5.0,1.0,214.0,168.0,3.0,2.0,2.0,0.0,63.0,43.0,68.3,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,37.5
Ahmed Elmohamady,RW,33-108,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,0.0,0.0,36.0,17.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bertrand Traoré,RW,25-111,44.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,29.0,7.0,0.0,0.0,0.0,0.5,0.5,0.4,5.0,0.0,14.0,23.0,60.9,2.0,19.0,2.0,2.0,3.0,370.0,160.0,4.0,8.0,50.0,4.0,5.0,80.0,6.0,10.0,60.0,3.0,2.0,1.0,1.0,18.0,5.0,2.0,0.0,1.0,3.0,5.0,3.0,0.0,3.0,0.0,8.0,6.0,9.0,20.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,15.0,5.0,24.0,66.7,2.0,0.0,85.0,40.0,0.0,1.0,1.0,1.0,24.0,18.0,75.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Ezri Konsa,CB,23-064,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,4.0,0.0,1.0,1.0,76.0,66.0,2.0,3.0,66.7,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,5.0,0.0,0.0,8.0,100.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Jack Grealish,"LW,AM",25-107,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45.0,13.0,1.0,0.0,3.0,0.4,0.4,0.9,9.0,1.0,27.0,36.0,75.0,7.0,32.0,9.0,1.0,1.0,448.0,191.0,11.0,13.0,84.6,8.0,8.0,100.0,4.0,9.0,44.4,6.0,2.0,5.0,0.0,32.0,4.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,6.0,6.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,38.5,3.0,7.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,9.0,23.0,20.0,3.0,42.0,100.0,1.0,0.0,384.0,259.0,3.0,1.0,0.0,0.0,38.0,26.0,68.4,4.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,66.7
John McGinn,"DM,CM",26-069,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,21.0,85.7,2.0,23.0,2.0,0.0,2.0,451.0,105.0,4.0,4.0,100.0,8.0,10.0,80.0,6.0,7.0,85.7,0.0,4.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,4.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,20.0,4.0,10.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,7.0,22.0,9.0,0.0,32.0,0.0,0.0,0.0,168.0,106.0,0.0,0.0,0.0,0.0,28.0,24.0,85.7,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Douglas Luiz,"DM,CM",22-231,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,33.0,39.0,84.6,4.0,32.0,4.0,1.0,1.0,594.0,160.0,12.0,14.0,85.7,14.0,15.0,93.3,4.0,5.0,80.0,0.0,3.0,1.0,0.0,36.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,7.0,7.0,4.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,5.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,4.0,13.0,24.0,15.0,2.0,47.0,100.0,1.0,0.0,172.0,67.0,2.0,0.0,1.0,1.0,31.0,28.0,90.3,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,33.3
Jacob Ramsey,DM,19-212,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Targett,LB,25-099,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,12.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,26.0,35.0,74.3,3.0,22.0,3.0,2.0,3.0,412.0,294.0,14.0,16.0,87.5,6.0,12.0,50.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,25.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,6.0,22.0,1.0,2.0,9.0,0.0,0.0,0.0,4.0,1.0,4.0,4.0,1.0,0.0,1.0,2.0,50.0,1.0,5.0,41.7,8.0,3.0,1.0,1.0,0.0,3.0,6.0,5.0,0.0,4.0,18.0,24.0,9.0,0.0,41.0,66.7,2.0,0.0,82.0,54.0,0.0,0.0,0.0,0.0,19.0,17.0,89.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,75.0
