player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Jay Rodriguez,FW,31-199,90.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,42.0,16.0,2.0,0.0,1.0,0.3,0.3,0.1,2.0,1.0,21.0,29.0,72.4,2.0,27.0,5.0,1.0,1.0,270.0,58.0,16.0,18.0,88.9,4.0,7.0,57.1,1.0,3.0,33.3,1.0,2.0,1.0,0.0,29.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,4.0,3.0,20.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,18.8,4.0,5.0,7.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,5.0,15.0,23.0,4.0,42.0,100.0,1.0,0.0,182.0,75.0,1.0,1.0,3.0,2.0,55.0,32.0,58.2,10.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,50.0
Ashley Barnes,FW,31-106,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,41.0,13.0,0.0,0.0,0.0,0.4,0.4,0.1,5.0,1.0,14.0,25.0,56.0,1.0,26.0,1.0,1.0,1.0,208.0,37.0,9.0,13.0,69.2,3.0,7.0,42.9,1.0,3.0,33.3,2.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,6.0,8.0,3.0,12.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,23.1,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,23.0,8.0,41.0,100.0,1.0,0.0,67.0,27.0,1.0,0.0,2.0,4.0,59.0,29.0,49.2,7.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,10.0,6.0,7.0,46.2
Dwight McNeil,LM,21-083,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,17.0,0.0,1.0,2.0,0.0,0.0,0.3,3.0,1.0,21.0,29.0,72.4,2.0,30.0,5.0,3.0,3.0,471.0,119.0,5.0,6.0,83.3,10.0,11.0,90.9,5.0,9.0,55.6,2.0,2.0,1.0,0.0,24.0,5.0,1.0,0.0,4.0,2.0,1.0,4.0,4.0,0.0,0.0,19.0,2.0,8.0,26.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.5,4.0,7.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,6.0,21.0,17.0,1.0,36.0,100.0,3.0,0.0,221.0,66.0,1.0,1.0,4.0,2.0,31.0,24.0,77.4,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
Jóhann Berg Guðmundsson,RM,30-109,71.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,34.0,8.0,1.0,1.0,0.0,0.3,0.3,0.0,2.0,0.0,21.0,25.0,84.0,2.0,26.0,8.0,0.0,1.0,325.0,98.0,11.0,11.0,100.0,4.0,5.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,21.0,2.0,2.0,20.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,2.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,11.0,18.0,4.0,34.0,0.0,0.0,0.0,166.0,107.0,2.0,2.0,0.0,1.0,37.0,25.0,67.6,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Robbie Brady,RM,29-030,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,1.0,7.0,2.0,0.0,0.0,81.0,13.0,3.0,6.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,8.0,0.0,13.0,0.0,0.0,0.0,49.0,21.0,1.0,0.0,2.0,0.0,12.0,10.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Jack Cork,DM,31-233,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,25.0,76.0,3.0,17.0,2.0,0.0,0.0,306.0,90.0,9.0,11.0,81.8,8.0,9.0,88.9,1.0,4.0,25.0,0.0,3.0,0.0,0.0,25.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0,1.0,18.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,22.2,2.0,5.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,6.0,27.0,4.0,1.0,36.0,0.0,0.0,0.0,83.0,16.0,0.0,0.0,0.0,1.0,26.0,22.0,84.6,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,42.9
Ashley Westwood,DM,30-318,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,8.0,0.0,2.0,0.0,0.1,0.1,0.0,1.0,0.0,42.0,53.0,79.2,3.0,33.0,1.0,0.0,0.0,826.0,284.0,15.0,18.0,83.3,19.0,20.0,95.0,6.0,11.0,54.5,0.0,3.0,1.0,0.0,49.0,4.0,3.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,35.0,7.0,11.0,1.0,47.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,11.0,36.0,14.0,1.0,55.0,0.0,0.0,0.0,134.0,71.0,0.0,0.0,0.0,1.0,41.0,34.0,82.9,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,100.0
Erik Pieters,LB,32-190,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,12.0,2.0,0.0,4.0,0.0,0.0,0.1,1.0,0.0,30.0,43.0,69.8,2.0,30.0,4.0,0.0,1.0,705.0,265.0,8.0,9.0,88.9,14.0,17.0,82.4,8.0,16.0,50.0,1.0,4.0,0.0,0.0,37.0,6.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,5.0,13.0,35.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,25.0,6.0,6.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,3.0,18.0,33.0,6.0,0.0,48.0,0.0,0.0,0.0,148.0,79.0,2.0,0.0,1.0,1.0,34.0,32.0,94.1,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
Phil Bardsley,LB,35-230,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Ben Mee,CB,31-143,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,6.0,5.0,2.0,1.0,0.0,0.0,0.1,2.0,0.0,25.0,34.0,73.5,2.0,17.0,0.0,1.0,1.0,631.0,211.0,7.0,9.0,77.8,11.0,13.0,84.6,7.0,12.0,58.3,2.0,1.0,0.0,0.0,30.0,4.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,10.0,23.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,3.0,25.0,19.0,2.0,2.0,39.0,100.0,1.0,0.0,60.0,21.0,0.0,0.0,0.0,0.0,20.0,18.0,90.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,75.0
