player,position,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Tammy Abraham,FW,90.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,29.0,9.0,0.0,0.0,3.0,0.8,0.8,0.0,1.0,0.0,18.0,23.0,78.3,1.0,15.0,1.0,2.0,2.0,199.0,50.0,14.0,16.0,87.5,4.0,6.0,66.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,8.0,5.0,0.0,13.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,1.0,5.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,13.0,15.0,4.0,29.0,100.0,2.0,0.0,96.0,26.0,1.0,0.0,1.0,0.0,43.0,21.0,48.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,33.3
Timo Werner,LW,90.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,48.0,8.0,0.0,0.0,2.0,0.7,0.7,0.0,1.0,1.0,23.0,31.0,74.2,1.0,36.0,7.0,1.0,4.0,401.0,90.0,12.0,12.0,100.0,10.0,11.0,90.9,1.0,7.0,14.3,0.0,3.0,0.0,0.0,31.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,19.0,3.0,9.0,6.0,22.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,12.5,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,20.0,27.0,7.0,48.0,25.0,1.0,0.0,260.0,171.0,1.0,2.0,3.0,3.0,54.0,37.0,68.5,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Christian Pulisic,RW,83.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,8.0,0.0,0.0,2.0,0.4,0.4,0.3,4.0,1.0,23.0,27.0,85.2,8.0,34.0,10.0,2.0,8.0,313.0,117.0,11.0,12.0,91.7,9.0,11.0,81.8,1.0,1.0,100.0,1.0,2.0,3.0,0.0,27.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,2.0,1.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,2.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,19.0,27.0,6.0,45.0,25.0,2.0,0.0,216.0,137.0,4.0,0.0,3.0,1.0,48.0,37.0,77.1,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Kai Havertz,RW,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,0.0,7.0,0.0,0.0,0.0,75.0,1.0,3.0,3.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,8.0,0.0,0.0,0.0,24.0,8.0,1.0,0.0,1.0,0.0,8.0,6.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mason Mount,CM,90.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,17.0,3.0,1.0,1.0,0.0,0.0,0.6,4.0,1.0,39.0,47.0,83.0,4.0,37.0,10.0,1.0,1.0,753.0,169.0,19.0,19.0,100.0,12.0,15.0,80.0,8.0,12.0,66.7,4.0,3.0,1.0,0.0,41.0,6.0,1.0,0.0,3.0,1.0,4.0,4.0,0.0,3.0,0.0,38.0,1.0,8.0,4.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,4.0,25.0,3.0,3.0,17.6,8.0,7.0,2.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,8.0,32.0,21.0,3.0,51.0,100.0,1.0,1.0,249.0,111.0,3.0,0.0,1.0,0.0,48.0,40.0,83.3,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,12.5
N'Golo Kanté,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,12.0,2.0,2.0,1.0,0.0,0.0,0.2,2.0,0.0,45.0,47.0,95.7,4.0,34.0,2.0,0.0,0.0,767.0,225.0,21.0,23.0,91.3,21.0,21.0,100.0,3.0,3.0,100.0,1.0,2.0,1.0,0.0,45.0,2.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,6.0,5.0,38.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,66.7,1.0,3.0,25.0,5.0,3.0,4.0,0.0,0.0,1.0,4.0,2.0,0.0,4.0,13.0,35.0,11.0,0.0,52.0,0.0,0.0,0.0,216.0,152.0,2.0,0.0,1.0,0.0,38.0,37.0,97.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,66.7
Jorginho,DM,65.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,7.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,42.0,51.0,82.4,4.0,38.0,4.0,1.0,1.0,840.0,267.0,11.0,15.0,73.3,26.0,27.0,96.3,4.0,8.0,50.0,0.0,3.0,1.0,0.0,51.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,14.0,4.0,43.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,57.1,0.0,7.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,4.0,24.0,38.0,6.0,0.0,64.0,100.0,1.0,0.0,179.0,92.0,1.0,0.0,0.0,1.0,41.0,37.0,90.2,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,25.0
Mateo Kovačić,DM,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,27.0,96.3,1.0,25.0,1.0,0.0,1.0,535.0,52.0,7.0,8.0,87.5,16.0,16.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,21.0,5.0,0.0,30.0,0.0,0.0,0.0,156.0,49.0,0.0,0.0,0.0,0.0,29.0,28.0,96.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Ben Chilwell,LB,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,21.0,13.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Emerson Palmieri,LB,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,11.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,54.0,77.8,0.0,34.0,2.0,0.0,1.0,763.0,187.0,24.0,25.0,96.0,10.0,14.0,71.4,7.0,10.0,70.0,0.0,1.0,1.0,1.0,44.0,10.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,23.0,17.0,14.0,35.0,4.0,5.0,9.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,18.2,5.0,3.0,3.0,0.0,0.0,2.0,3.0,7.0,0.0,4.0,19.0,34.0,20.0,1.0,59.0,0.0,0.0,0.0,183.0,115.0,1.0,1.0,1.0,2.0,38.0,36.0,94.7,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,100.0
Thiago Silva,CB,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,89.0,5.0,1.0,0.0,3.0,0.2,0.2,0.0,0.0,0.0,68.0,74.0,91.9,2.0,55.0,3.0,0.0,0.0,1587.0,401.0,17.0,18.0,94.4,37.0,40.0,92.5,14.0,15.0,93.3,0.0,4.0,1.0,0.0,73.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,61.0,3.0,10.0,6.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,10.0,0.0,12.0,45.0,48.0,3.0,2.0,88.0,0.0,0.0,0.0,287.0,130.0,0.0,0.0,0.0,0.0,65.0,64.0,98.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,3.0,75.0
Kurt Zouma,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,63.0,90.5,4.0,53.0,4.0,0.0,0.0,1275.0,183.0,11.0,11.0,100.0,36.0,38.0,94.7,10.0,13.0,76.9,0.0,2.0,0.0,0.0,63.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,7.0,9.0,50.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,12.0,44.0,34.0,0.0,0.0,74.0,0.0,0.0,0.0,255.0,100.0,0.0,0.0,0.0,0.0,59.0,58.0,98.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0
