player,position,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ferrán Torres,FW,76.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,17.0,0.0,0.0,1.0,0.6,0.6,0.1,3.0,0.0,11.0,13.0,84.6,1.0,11.0,1.0,2.0,3.0,135.0,18.0,8.0,9.0,88.9,1.0,1.0,100.0,1.0,1.0,100.0,2.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,1.0,10.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.4,0.0,3.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,5.0,17.0,66.7,2.0,0.0,24.0,15.0,0.0,0.0,2.0,0.0,21.0,12.0,57.1,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Riyad Mahrez,FW,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,17.0,88.2,1.0,16.0,1.0,0.0,0.0,198.0,38.0,9.0,9.0,100.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,0.0,18.0,0.0,0.0,0.0,52.0,27.0,1.0,0.0,1.0,0.0,19.0,18.0,94.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil Foden,LW,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,74.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,60.0,69.0,87.0,3.0,63.0,6.0,1.0,3.0,875.0,150.0,39.0,40.0,97.5,18.0,21.0,85.7,3.0,6.0,50.0,0.0,2.0,2.0,1.0,69.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,60.0,2.0,7.0,61.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,45.0,3.0,6.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,31.0,42.0,4.0,74.0,33.3,1.0,0.0,250.0,157.0,1.0,0.0,1.0,1.0,76.0,68.0,89.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
Raheem Sterling,RW,90.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,46.0,7.0,1.0,0.0,1.0,0.8,0.8,0.4,3.0,1.0,31.0,34.0,91.2,1.0,37.0,1.0,5.0,8.0,392.0,83.0,18.0,20.0,90.0,10.0,10.0,100.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,28.6,0.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,15.0,31.0,7.0,46.0,62.5,5.0,1.0,92.0,33.0,0.0,0.0,2.0,3.0,52.0,38.0,73.1,7.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
Kevin De Bruyne,CM,81.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,76.0,17.0,2.0,1.0,1.0,0.1,0.1,1.4,3.0,2.0,52.0,70.0,74.3,8.0,51.0,7.0,1.0,1.0,1202.0,264.0,16.0,18.0,88.9,24.0,31.0,77.4,11.0,18.0,61.1,3.0,2.0,1.0,0.0,61.0,9.0,4.0,0.0,8.0,4.0,6.0,5.0,3.0,1.0,0.0,50.0,8.0,12.0,10.0,60.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,29.4,0.0,4.0,13.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,39.0,36.0,4.0,69.0,100.0,1.0,1.0,216.0,116.0,3.0,0.0,1.0,1.0,66.0,62.0,93.9,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Cole Palmer,CM,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,4.0,0.0,0.0,0.0,62.0,3.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,7.0,4.0,57.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
İlkay Gündoğan,CM,77.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.0,15.0,1.0,0.0,1.0,0.3,0.3,0.0,2.0,0.0,54.0,61.0,88.5,5.0,54.0,6.0,0.0,1.0,994.0,185.0,23.0,25.0,92.0,23.0,26.0,88.5,8.0,10.0,80.0,1.0,8.0,4.0,0.0,61.0,0.0,0.0,0.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,51.0,6.0,4.0,15.0,44.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,26.7,0.0,9.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,37.0,33.0,2.0,68.0,0.0,0.0,0.0,179.0,87.0,4.0,1.0,1.0,1.0,73.0,65.0,89.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Bernardo Silva,CM,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,95.5,0.0,14.0,3.0,0.0,0.0,345.0,29.0,10.0,11.0,90.9,11.0,11.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,15.0,5.0,0.0,23.0,0.0,0.0,0.0,57.0,30.0,1.0,0.0,0.0,0.0,21.0,21.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Rodri,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,24.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,90.0,98.0,91.8,2.0,82.0,17.0,0.0,0.0,2269.0,342.0,17.0,19.0,89.5,45.0,46.0,97.8,28.0,33.0,84.8,0.0,10.0,0.0,0.0,97.0,1.0,1.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,77.0,4.0,17.0,10.0,84.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,9.0,37.5,3.0,16.0,5.0,0.0,0.0,3.0,2.0,3.0,0.0,4.0,16.0,82.0,13.0,0.0,105.0,0.0,0.0,0.0,422.0,263.0,1.0,0.0,0.0,0.0,89.0,86.0,96.6,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,100.0
Oleksandr Zinchenko,LB,67.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,115.0,7.0,1.0,0.0,3.0,0.1,0.1,0.0,0.0,0.0,92.0,108.0,85.2,5.0,90.0,15.0,0.0,0.0,1478.0,408.0,48.0,53.0,90.6,38.0,46.0,82.6,6.0,8.0,75.0,0.0,8.0,1.0,0.0,102.0,6.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,89.0,12.0,7.0,78.0,19.0,4.0,6.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,14.3,1.0,4.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,8.0,74.0,41.0,3.0,109.0,0.0,0.0,0.0,317.0,216.0,7.0,0.0,1.0,0.0,100.0,96.0,96.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
