player,position,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Che Adams,FW,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,13.0,19.0,68.4,2.0,25.0,2.0,1.0,1.0,321.0,75.0,5.0,7.0,71.4,3.0,5.0,60.0,5.0,6.0,83.3,1.0,2.0,0.0,0.0,19.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,1.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,14.3,0.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,18.0,2.0,27.0,100.0,1.0,0.0,111.0,34.0,1.0,0.0,1.0,1.0,53.0,20.0,37.7,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,12.5
Danny Ings,FW,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,32.0,27.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,19.0,21.0,90.5,0.0,21.0,2.0,1.0,2.0,278.0,46.0,11.0,11.0,100.0,7.0,9.0,77.8,1.0,1.0,100.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,2.0,2.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,33.3,2.0,4.0,14.8,3.0,7.0,17.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,6.0,14.0,15.0,2.0,31.0,50.0,1.0,0.0,92.0,26.0,1.0,0.0,1.0,0.0,39.0,16.0,41.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
Theo Walcott,LM,62.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,34.0,13.0,2.0,1.0,1.0,0.4,0.4,0.0,0.0,0.0,13.0,18.0,72.2,1.0,27.0,2.0,2.0,4.0,185.0,32.0,8.0,9.0,88.9,5.0,7.0,71.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,4.0,2.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,30.8,3.0,6.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,6.0,18.0,11.0,4.0,34.0,50.0,2.0,0.0,40.0,18.0,0.0,0.0,2.0,2.0,31.0,24.0,77.4,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
Moussa Djenepo,LM,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,14.0,17.0,82.4,0.0,19.0,4.0,1.0,1.0,192.0,22.0,9.0,9.0,100.0,5.0,6.0,83.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,17.0,2.0,21.0,100.0,1.0,0.0,74.0,42.0,0.0,1.0,3.0,0.0,25.0,18.0,72.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Stuart Armstrong,RM,62.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,13.0,0.0,0.0,2.0,0.0,0.0,0.1,1.0,0.0,19.0,28.0,67.9,1.0,24.0,4.0,0.0,0.0,333.0,87.0,10.0,14.0,71.4,8.0,8.0,100.0,1.0,2.0,50.0,1.0,0.0,1.0,0.0,27.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,4.0,6.0,19.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,38.5,3.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,20.0,15.0,2.0,35.0,0.0,0.0,0.0,187.0,120.0,3.0,1.0,1.0,1.0,31.0,23.0,74.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
Nathan Redmond,RM,28.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,2.0,0.0,19.0,24.0,79.2,4.0,25.0,3.0,2.0,2.0,390.0,87.0,7.0,8.0,87.5,10.0,14.0,71.4,2.0,2.0,100.0,0.0,2.0,4.0,0.0,24.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,15.0,2.0,7.0,2.0,21.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,3.0,26.0,100.0,2.0,0.0,150.0,58.0,2.0,0.0,0.0,0.0,24.0,23.0,95.8,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Oriol Romeu,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,13.0,3.0,0.0,1.0,0.0,0.0,0.4,1.0,0.0,63.0,72.0,87.5,2.0,65.0,4.0,1.0,1.0,1025.0,156.0,36.0,40.0,90.0,21.0,23.0,91.3,5.0,8.0,62.5,1.0,4.0,1.0,0.0,72.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.0,11.0,18.0,51.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,4.0,50.0,2.0,6.0,46.2,3.0,5.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,16.0,47.0,20.0,2.0,79.0,100.0,1.0,0.0,164.0,79.0,3.0,2.0,0.0,1.0,60.0,60.0,100.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
James Ward-Prowse,DM,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,114.0,12.0,1.0,1.0,2.0,0.1,0.1,0.0,0.0,0.0,83.0,104.0,79.8,2.0,84.0,7.0,1.0,1.0,1770.0,282.0,22.0,24.0,91.7,48.0,54.0,88.9,12.0,24.0,50.0,0.0,11.0,0.0,0.0,88.0,16.0,9.0,0.0,7.0,7.0,3.0,7.0,3.0,4.0,0.0,73.0,7.0,24.0,8.0,92.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,50.0,3.0,8.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,16.0,69.0,35.0,2.0,99.0,100.0,1.0,0.0,283.0,166.0,2.0,0.0,0.0,1.0,89.0,84.0,94.4,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0
Ryan Bertrand,LB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,84.0,8.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,61.0,73.0,83.6,3.0,61.0,9.0,0.0,0.0,1027.0,337.0,36.0,39.0,92.3,22.0,28.0,78.6,3.0,4.0,75.0,0.0,6.0,1.0,0.0,67.0,6.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,63.0,3.0,7.0,63.0,4.0,1.0,5.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,33.3,2.0,4.0,50.0,1.0,3.0,4.0,0.0,0.0,3.0,2.0,3.0,0.0,2.0,23.0,40.0,33.0,2.0,79.0,0.0,0.0,0.0,351.0,239.0,4.0,1.0,0.0,0.0,69.0,61.0,88.4,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Jannik Vestergaard,CB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,104.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,88.0,100.0,88.0,6.0,87.0,16.0,0.0,0.0,1845.0,512.0,25.0,26.0,96.2,52.0,57.0,91.2,11.0,16.0,68.8,1.0,10.0,1.0,0.0,100.0,0.0,0.0,1.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,79.0,6.0,15.0,20.0,75.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,37.0,62.0,12.0,1.0,104.0,0.0,0.0,0.0,446.0,306.0,4.0,0.0,0.0,0.0,95.0,93.0,97.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,75.0
