player,position,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Anthony Martial,FW,89.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,40.0,7.0,0.0,0.0,1.0,0.8,0.8,0.6,4.0,2.0,25.0,27.0,92.6,4.0,24.0,8.0,1.0,1.0,354.0,113.0,16.0,16.0,100.0,6.0,6.0,100.0,1.0,2.0,50.0,3.0,4.0,1.0,0.0,26.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,7.0,2.0,2.0,22.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,42.9,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,16.0,21.0,7.0,39.0,100.0,1.0,0.0,165.0,116.0,0.0,1.0,2.0,2.0,47.0,28.0,59.6,10.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
Scott McTominay,FW,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Marcus Rashford,LW,90.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,49.0,13.0,0.0,0.0,3.0,0.9,0.9,0.1,4.0,0.0,27.0,31.0,87.1,1.0,34.0,9.0,3.0,5.0,463.0,44.0,14.0,16.0,87.5,10.0,11.0,90.9,2.0,2.0,100.0,1.0,0.0,1.0,0.0,30.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,5.0,6.0,24.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.4,1.0,6.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,24.0,26.0,4.0,48.0,60.0,3.0,2.0,182.0,137.0,3.0,2.0,3.0,2.0,58.0,41.0,70.7,4.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
Mason Greenwood,RW,73.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,39.0,7.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,24.0,28.0,85.7,2.0,29.0,2.0,0.0,1.0,376.0,68.0,11.0,14.0,78.6,11.0,11.0,100.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,2.0,21.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,4.0,39.0,0.0,0.0,0.0,146.0,53.0,1.0,1.0,3.0,2.0,40.0,34.0,85.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Juan Mata,RW,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,5.0,9.0,55.6,1.0,10.0,2.0,1.0,2.0,73.0,14.0,2.0,3.0,66.7,3.0,4.0,75.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,3.0,2.0,12.0,50.0,1.0,0.0,32.0,31.0,0.0,0.0,0.0,1.0,11.0,10.0,90.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Bruno Fernandes,AM,79.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,44.0,56.0,78.6,8.0,39.0,5.0,1.0,2.0,873.0,234.0,17.0,18.0,94.4,17.0,20.0,85.0,8.0,13.0,61.5,1.0,7.0,4.0,0.0,48.0,8.0,3.0,0.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,31.0,9.0,16.0,2.0,51.0,1.0,2.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,36.4,1.0,8.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,7.0,34.0,26.0,0.0,58.0,50.0,1.0,0.0,188.0,91.0,2.0,0.0,1.0,1.0,58.0,49.0,84.5,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
Donny van de Beek,AM,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,25.0,1.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Pogba,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,85.0,11.0,3.0,1.0,1.0,0.0,0.0,0.1,4.0,0.0,56.0,69.0,81.2,5.0,50.0,1.0,1.0,1.0,1226.0,311.0,22.0,26.0,84.6,18.0,21.0,85.7,14.0,18.0,77.8,1.0,6.0,1.0,0.0,69.0,0.0,0.0,1.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,46.0,7.0,16.0,9.0,52.0,5.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,27.3,5.0,5.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,3.0,29.0,50.0,8.0,0.0,85.0,100.0,1.0,0.0,186.0,73.0,0.0,0.0,2.0,2.0,63.0,58.0,92.1,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,15.0,5.0,2.0,71.4
Nemanja Matić,DM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,60.0,64.0,93.8,2.0,42.0,2.0,1.0,1.0,1210.0,210.0,19.0,20.0,95.0,28.0,30.0,93.3,10.0,11.0,90.9,0.0,1.0,0.0,0.0,61.0,3.0,3.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,47.0,8.0,9.0,48.0,11.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,11.1,8.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,33.0,42.0,8.0,0.0,70.0,100.0,1.0,0.0,346.0,238.0,1.0,0.0,0.0,2.0,51.0,50.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,66.7
Alex Telles,LB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,10.0,3.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,58.0,78.0,74.4,1.0,49.0,2.0,1.0,1.0,1036.0,391.0,27.0,29.0,93.1,22.0,30.0,73.3,7.0,16.0,43.8,2.0,4.0,0.0,0.0,61.0,17.0,2.0,0.0,6.0,1.0,2.0,2.0,0.0,2.0,0.0,39.0,12.0,27.0,57.0,3.0,4.0,13.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,10.0,5.0,3.0,2.0,0.0,0.0,1.0,4.0,7.0,0.0,10.0,42.0,37.0,18.0,0.0,77.0,100.0,1.0,0.0,256.0,160.0,0.0,0.0,1.0,1.0,55.0,53.0,96.4,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,50.0
