player,position,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Gabriel Jesus,FW,90.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,48.0,13.0,0.0,0.0,1.0,0.3,0.3,0.3,5.0,0.0,26.0,34.0,76.5,2.0,41.0,6.0,2.0,4.0,330.0,48.0,16.0,18.0,88.9,7.0,9.0,77.8,1.0,2.0,50.0,1.0,1.0,0.0,0.0,33.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,4.0,5.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,23.1,0.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,19.0,29.0,3.0,47.0,50.0,2.0,0.0,152.0,91.0,1.0,1.0,2.0,3.0,73.0,39.0,53.4,14.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,7.0,1.0,3.0,25.0
Raheem Sterling,LW,80.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,54.0,7.0,1.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,33.0,39.0,84.6,2.0,46.0,5.0,1.0,3.0,403.0,66.0,23.0,25.0,92.0,6.0,7.0,85.7,1.0,2.0,50.0,1.0,2.0,0.0,0.0,38.0,1.0,1.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,34.0,4.0,1.0,9.0,27.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,57.1,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,30.0,22.0,7.0,53.0,33.3,1.0,0.0,137.0,75.0,0.0,0.0,3.0,5.0,55.0,43.0,78.2,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Ferrán Torres,LW,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Phil Foden,RW,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,61.0,13.0,2.0,0.0,1.0,0.4,0.4,0.0,3.0,1.0,48.0,52.0,92.3,5.0,59.0,4.0,4.0,7.0,808.0,151.0,23.0,23.0,100.0,19.0,23.0,82.6,5.0,5.0,100.0,1.0,2.0,2.0,0.0,52.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,2.0,46.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,33.3,2.0,8.0,61.5,1.0,7.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,19.0,33.0,4.0,61.0,57.1,5.0,0.0,196.0,71.0,0.0,1.0,0.0,1.0,69.0,55.0,79.7,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
Kevin De Bruyne,AM,90.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,94.0,14.0,5.0,0.0,2.0,1.2,0.4,0.4,11.0,4.0,61.0,83.0,73.5,12.0,77.0,15.0,2.0,3.0,1183.0,312.0,20.0,25.0,80.0,29.0,35.0,82.9,10.0,16.0,62.5,6.0,7.0,4.0,0.0,75.0,8.0,1.0,3.0,11.0,3.0,2.0,6.0,1.0,1.0,1.0,68.0,6.0,9.0,8.0,72.0,2.0,0.0,0.0,1.0,1.0,4.0,8.0,4.0,0.0,4.0,1.0,2.0,5.0,40.0,3.0,8.0,57.1,0.0,10.0,4.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,7.0,49.0,46.0,8.0,84.0,66.7,2.0,0.0,395.0,273.0,4.0,4.0,1.0,1.0,78.0,68.0,87.2,12.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,100.0
Rodri,CM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,102.0,16.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,84.0,94.0,89.4,3.0,81.0,2.0,2.0,2.0,1601.0,285.0,33.0,37.0,89.2,40.0,43.0,93.0,11.0,13.0,84.6,1.0,6.0,0.0,0.0,94.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,5.0,14.0,12.0,74.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,3.0,6.0,50.0,3.0,5.0,31.3,3.0,12.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,21.0,75.0,10.0,0.0,102.0,100.0,2.0,0.0,252.0,94.0,0.0,0.0,0.0,1.0,75.0,74.0,98.7,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,21.0,2.0,1.0,66.7
Fernandinho,CM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,101.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,80.0,94.0,85.1,12.0,85.0,4.0,0.0,1.0,1389.0,453.0,42.0,44.0,95.5,29.0,37.0,78.4,8.0,12.0,66.7,0.0,8.0,2.0,0.0,93.0,1.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,74.0,8.0,12.0,14.0,74.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,41.7,2.0,8.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,7.0,18.0,72.0,15.0,1.0,100.0,0.0,1.0,0.0,233.0,123.0,3.0,1.0,0.0,0.0,83.0,83.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,100.0
Benjamin Mendy,LB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,82.0,16.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,58.0,69.0,84.1,3.0,51.0,10.0,1.0,1.0,1056.0,401.0,21.0,24.0,87.5,32.0,34.0,94.1,5.0,11.0,45.5,0.0,6.0,0.0,0.0,58.0,11.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,15.0,11.0,50.0,3.0,6.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,40.0,3.0,5.0,31.3,4.0,10.0,2.0,1.0,0.0,5.0,2.0,1.0,0.0,4.0,22.0,48.0,18.0,0.0,71.0,100.0,1.0,0.0,260.0,189.0,4.0,0.0,0.0,2.0,55.0,49.0,89.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0
Nathan Aké,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,55.0,89.1,0.0,44.0,2.0,0.0,0.0,1031.0,267.0,12.0,13.0,92.3,31.0,34.0,91.2,5.0,7.0,71.4,0.0,1.0,0.0,0.0,54.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,7.0,42.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,26.0,34.0,1.0,0.0,56.0,0.0,0.0,0.0,253.0,97.0,0.0,0.0,0.0,0.0,45.0,44.0,97.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,75.0
John Stones,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,67.0,75.0,89.3,2.0,63.0,5.0,0.0,0.0,1464.0,363.0,18.0,19.0,94.7,38.0,40.0,95.0,11.0,15.0,73.3,0.0,2.0,0.0,0.0,74.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,62.0,4.0,9.0,14.0,56.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,50.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,11.0,44.0,37.0,1.0,0.0,77.0,0.0,0.0,0.0,255.0,89.0,1.0,0.0,0.0,0.0,65.0,65.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,100.0
