player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Joelinton,FW,24-134,70.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,27.0,1.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,13.0,19.0,68.4,0.0,15.0,2.0,0.0,1.0,183.0,11.0,7.0,8.0,87.5,4.0,7.0,57.1,1.0,3.0,33.3,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,4.0,4.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,7.4,1.0,21.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,24.0,5.0,2.0,29.0,0.0,0.0,0.0,72.0,29.0,1.0,0.0,2.0,2.0,40.0,22.0,55.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,5.0,54.5
Andy Carroll,FW,31-355,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,6.0,0.0,0.0,0.0,62.0,12.0,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,10.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,1.0,0.0,11.0,8.0,72.7,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,75.0
Miguel Almirón,LW,26-320,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,24.0,0.0,3.0,0.0,0.0,0.0,0.1,2.0,0.0,21.0,26.0,80.8,3.0,26.0,2.0,1.0,1.0,432.0,110.0,8.0,8.0,100.0,11.0,12.0,91.7,2.0,5.0,40.0,2.0,2.0,2.0,2.0,26.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,18.0,2.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,12.5,5.0,14.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,6.0,17.0,10.0,1.0,32.0,100.0,1.0,0.0,148.0,61.0,1.0,0.0,0.0,1.0,32.0,22.0,68.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
Dwight Gayle,LW,30-070,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jacob Murphy,RW,25-306,90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,28.0,24.0,1.0,1.0,2.0,0.1,0.1,0.0,1.0,0.0,15.0,19.0,78.9,3.0,17.0,2.0,0.0,1.0,252.0,98.0,7.0,9.0,77.8,5.0,5.0,100.0,2.0,4.0,50.0,0.0,2.0,3.0,0.0,16.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,5.0,2.0,13.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,4.2,5.0,13.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,7.0,11.0,12.0,1.0,25.0,0.0,1.0,1.0,157.0,119.0,1.0,1.0,2.0,1.0,24.0,12.0,50.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0
Matthew Longstaff,DM,20-280,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,43.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,28.0,31.0,90.3,1.0,26.0,0.0,1.0,1.0,594.0,96.0,12.0,13.0,92.3,8.0,8.0,100.0,8.0,8.0,100.0,1.0,2.0,1.0,1.0,31.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,8.0,5.0,4.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,8.0,18.6,16.0,27.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,9.0,26.0,4.0,0.0,39.0,100.0,1.0,0.0,56.0,13.0,0.0,0.0,0.0,0.0,26.0,21.0,80.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Isaac Hayden,DM,25-279,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,31.0,77.4,1.0,26.0,1.0,1.0,2.0,429.0,108.0,12.0,13.0,92.3,9.0,11.0,81.8,3.0,5.0,60.0,0.0,1.0,0.0,0.0,29.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,6.0,5.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,11.1,8.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,23.0,6.0,0.0,35.0,50.0,1.0,0.0,78.0,22.0,0.0,0.0,0.0,0.0,26.0,22.0,84.6,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
Matt Ritchie,WB,31-107,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,25.0,56.0,0.0,16.0,1.0,0.0,0.0,291.0,78.0,4.0,4.0,100.0,7.0,10.0,70.0,3.0,11.0,27.3,0.0,1.0,0.0,0.0,19.0,6.0,1.0,0.0,3.0,1.0,2.0,3.0,2.0,1.0,0.0,11.0,2.0,12.0,18.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,20.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,5.0,13.0,14.0,9.0,0.0,28.0,0.0,0.0,0.0,44.0,23.0,1.0,0.0,0.0,1.0,16.0,16.0,100.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
Jamal Lewis,WB,22-336,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,84.6,1.0,9.0,2.0,1.0,1.0,145.0,58.0,6.0,7.0,85.7,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,8.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,2.0,0.0,10.0,100.0,1.0,0.0,44.0,29.0,1.0,0.0,0.0,0.0,10.0,9.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DeAndre Yedlin,WB,27-170,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,18.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,22.0,32.0,68.8,3.0,25.0,5.0,0.0,1.0,314.0,123.0,12.0,16.0,75.0,9.0,12.0,75.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,25.0,7.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,15.0,12.0,5.0,1.0,22.0,2.0,7.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,22.2,10.0,5.0,3.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0,9.0,16.0,22.0,1.0,38.0,0.0,0.0,0.0,83.0,65.0,3.0,0.0,2.0,0.0,30.0,23.0,76.7,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
